Track #0, length 10
 38840976 (1255) module 37, x -11.2325, y -4.2775, z 263.531
 36742302 (1191) module 35, x -10.4625, y -3.975, z 238.531
 34643885 (1132) module 33, x -9.6375, y -3.6725, z 213.531
 32545212 (1076) module 31, x -8.8125, y -3.3425, z 188.531
 30446794 (1017) module 29, x -8.0425, y -3.0675, z 163.531
 28348121 (940) module 27, x -7.2175, y -2.7375, z 138.531
 26249447 (862) module 25, x -6.42917, y -2.42583, z 113.531
 24151030 (789) module 23, x -5.6225, y -2.1325, z 88.531

Track #10, length 7
 54106814 (1655) module 51, x -14.6725, y  8.675, z 750.469
 52013768 (1603) module 49, x -13.765, y 8.1525, z 705.469
 49920977 (1549) module 47, x -12.8575, y   7.63, z 660.469
 47827931 (1496) module 45, x -11.9775, y 7.1075, z 615.469
 45742070 (1442) module 43, x -9.5575, y 5.6225, z 496.921
 42994644 (1380) module 41, x -7.4925, y 4.4675, z 402.473
 40901875 (1317) module 39, x -5.7875, y 3.5325, z 325.525

Track #11, length 11
 54341444 (1657) module 51, x -11.7025, y 29.355, z 751.531
 52240743 (1605) module 49, x -10.96, y 27.4575, z 706.531
 50140298 (1551) module 47, x -10.2175, y 25.5325, z 661.531
 48039596 (1499) module 45, x -9.4475, y 23.635, z 616.531
 45751050 (1446) module 43, x -7.4675, y 18.6025, z 496.921
 43661652 (1384) module 41, x -5.8175, y 14.5325, z 401.411
 41570447 (1322) module 39, x -4.5525, y 11.2875, z 324.463
 39478206 (1263) module 37, x -3.5075, y 8.7025, z 262.469
 37382865 (1200) module 35, x -3.1225, y 7.6575, z 237.469
 35287780 (1138) module 33, x -2.6825, y  6.585, z 212.469
 33192695 (1081) module 31, x -2.2425, y   5.54, z 187.469

Track #12, length 6
 53485742 (1661) module 51, x -9.5825, y 3.3125, z 751.531
 51389367 (1609) module 49, x -9.0875, y   3.12, z 706.531
 49293248 (1555) module 47, x -8.5925, y 2.9275, z 661.531
 47196874 (1503) module 45, x -8.0425, y 2.7625, z 616.531
 45101794 (1448) module 43, x -6.7225, y 2.3225, z 497.982
 43006454 (1386) module 41, x -5.6225, y 1.9375, z 402.473

Track #13, length 5
 54141626 (1663) module 51, x -7.0825, y  8.895, z 750.469
 52046533 (1611) module 49, x -6.6425, y 8.3175, z 705.469
 49951439 (1557) module 47, x -6.16583, y 7.73083, z 660.469
 47856602 (1505) module 45, x -5.7075, y 7.1625, z 615.469
 45765109 (1450) module 43, x -4.4975, y   5.65, z 496.921

Track #14, length 6
 54196388 (1669) module 51, x 4.6875, y 10.1325, z 750.469
 52097967 (1615) module 49, x 4.4125, y 9.5275, z 705.469
 49999546 (1561) module 47, x 4.1375, y 8.9225, z 660.469
 47901125 (1508) module 45, x 3.8625, y 8.3175, z 615.469
 45800417 (1455) module 43, x   3.12, y   6.75, z 496.921
 43700729 (1394) module 41, x 2.5425, y 5.4575, z 401.411

Track #15, length 9
 53778532 (1646) module 51, x -27.6042, y -29.9358, z 750.469
 51691406 (1596) module 49, x -25.285, y -27.8275, z 705.469
 49604024 (1542) module 47, x -23.0025, y -25.71, z 660.469
 47516386 (1489) module 45, x -20.6925, y -23.5925, z 615.469
 45196371 (1436) module 43, x -14.5875, y -18.1375, z 497.982
 43078569 (1378) module 41, x -9.8575, y -13.6825, z 402.473
 40964591 (1316) module 39, x -6.0075, y -10.0525, z 325.525
 38456806 (1213) module 36, x -2.3225, y -6.5025, z 250.469
 36354044 (1151) module 34, x  -1.14, y -5.2925, z 225.469

Track #16, length 9
 53860842 (1652) module 51, x -20.225, y -12.2075, z 750.469
 51456516 (1600) module 49, x -18.9325, y -11.4275, z 706.531
 49355547 (1545) module 47, x -17.6675, y -10.63, z 661.531
 47254835 (1493) module 45, x -16.3475, y -9.8325, z 616.531
 45148530 (1438) module 43, x -12.8825, y -7.7425, z 497.982
 43043748 (1376) module 41, x -10.1325, y -6.0925, z 402.473
 40940237 (1313) module 39, x -7.8775, y -4.7175, z 325.525
 38837998 (1259) module 37, x -6.0625, y -3.645, z 263.531
 36738811 (1196) module 35, x -5.3475, y -3.205, z 238.531

Track #17, length 7
 54108310 (1656) module 51, x -14.3425, y 10.9025, z 750.469
 52015267 (1604) module 49, x -13.4258, y 10.1508, z 705.469
 49922481 (1550) module 47, x  -12.5, y 9.4175, z 660.469
 47829694 (1498) module 45, x -11.5925, y 8.7025, z 615.469
 45744096 (1444) module 43, x  -9.09, y 6.8325, z 496.921
 43655675 (1382) module 41, x -7.1375, y 5.3475, z 401.411
 40898807 (1319) module 39, x -5.5675, y 4.1925, z 325.525

Track #18, length 5
 53486997 (1658) module 51, x -10.9575, y   3.01, z 751.531
 51390626 (1606) module 49, x -10.2425, y  2.845, z 706.531
 49294511 (1552) module 47, x -9.5275, y 2.6525, z 661.531
 47198140 (1500) module 45, x -8.8125, y 2.4875, z 616.531
 45101794 (1448) module 43, x -6.7225, y 2.3225, z 497.982

Track #19, length 4
 54137554 (1662) module 51, x -7.9625, y 7.6025, z 750.469
 52042972 (1610) module 49, x -7.4125, y 7.0525, z 705.469
 49948133 (1556) module 47, x -6.9175, y 6.5575, z 660.469
 47853550 (1504) module 45, x -6.3675, y 6.0625, z 615.469

Track #20, length 12
 53114136 (1618) module 50, x 2.5175, y -17.8325, z 738.469
 51017513 (1563) module 48, x 2.4075, y -16.8975, z 693.469
 48920890 (1510) module 46, x   2.27, y -15.9625, z 648.469
 46824523 (1458) module 44, x 2.1325, y    -15, z 603.469
 44728953 (1398) module 42, x 1.8025, y -12.4975, z 484.921
 42633118 (1332) module 40, x    1.5, y -10.4625, z 389.411
 40537019 (1272) module 38, x 1.3075, y  -8.84, z 312.463
 38440660 (1214) module 36, x 1.1425, y -7.4925, z 250.469
 36343774 (1152) module 34, x 1.0875, y -6.9425, z 225.469
 34246887 (1094) module 32, x 1.0325, y  -6.42, z 200.469
 32150257 (1036) module 30, x 0.922501, y -5.8975, z 175.469
 30053627 (964) module 28, x 0.8125, y  -5.32, z 150.469

Track #21, length 5
 53101212 (1622) module 50, x 5.3225, y -10.5725, z 738.469
 51005609 (1567) module 48, x  4.965, y -9.8575, z 693.469
 48910262 (1513) module 46, x 4.6075, y -9.1425, z 648.469
 46814914 (1461) module 44, x 4.2225, y -8.455, z 603.469
 44722148 (1400) module 42, x 3.2875, y -6.585, z 484.921

Track #22, length 7
 52529379 (1626) module 50, x 6.6675, y 16.5975, z 739.531
 50427115 (1571) module 48, x 6.2275, y 15.4975, z 694.531
 48324851 (1516) module 46, x 5.7875, y 14.3975, z 649.531
 46222587 (1464) module 44, x 5.3475, y 13.2975, z 604.531
 45805978 (1457) module 43, x 4.3025, y 10.6825, z 496.921
 43704516 (1396) module 41, x 3.3675, y 8.3725, z 401.411
 41603814 (1329) module 39, x 2.5975, y  6.475, z 324.463

Track #23, length 10
 52538063 (1630) module 50, x   7.74, y 18.4675, z 739.531
 50435799 (1575) module 48, x    7.3, y 17.3675, z 694.531
 48333279 (1521) module 46, x   6.86, y 16.2125, z 649.531
 46231016 (1468) module 44, x 6.3925, y 15.1125, z 604.531
 44120063 (1404) module 42, x 5.1275, y  12.17, z 485.982
 43708581 (1397) module 41, x 4.2475, y  10.05, z 401.411
 41607624 (1330) module 39, x 3.4225, y  8.125, z 324.463
 39507429 (1268) module 37, x 2.7625, y 6.5575, z 262.469
 37409008 (1207) module 35, x 2.4875, y 5.9525, z 237.469
 35310587 (1145) module 33, x 2.2125, y   5.32, z 212.469

Track #24, length 6
 52503179 (1634) module 50, x  11.48, y 10.9875, z 739.531
 50403224 (1579) module 48, x 10.7925, y 10.3825, z 694.531
 48303012 (1525) module 46, x 10.1325, y 9.7225, z 649.531
 46203057 (1473) module 44, x 9.4175, y   9.09, z 604.531
 44098259 (1407) module 42, x 7.5475, y  7.385, z 485.982
 41994734 (1340) module 40, x 6.0625, y 5.9825, z 390.473

Track #25, length 10
 52825207 (1642) module 50, x 26.5775, y 9.2925, z 738.469
 50730902 (1588) module 48, x 24.845, y 8.6875, z 693.469
 48636598 (1533) module 46, x 23.085, y 8.0825, z 648.469
 46542294 (1481) module 44, x 21.3525, y 7.4775, z 603.469
 44091179 (1419) module 42, x 16.7875, y 5.8725, z 485.982
 41987951 (1351) module 40, x 13.0475, y   4.58, z 390.473
 39885989 (1285) module 38, x  10.05, y 3.5075, z 313.525
 37785041 (1225) module 36, x 7.6575, y 2.6825, z 251.531
 35686371 (1160) module 34, x 6.6675, y 2.3525, z 226.531
 33587445 (1099) module 32, x 5.6775, y  1.995, z 201.531

Track #26, length 4
 53109729 (1619) module 50, x 3.5075, y  -6.75, z 738.469
 51013609 (1564) module 48, x 3.2875, y -6.3375, z 693.469
 48917488 (1511) module 46, x 3.0675, y -5.9525, z 648.469
 46821112 (1459) module 44, x  2.875, y -5.5125, z 603.469

Track #27, length 4
 52481761 (1627) module 50, x 6.75917, y 6.27583, z 739.531
 50382825 (1572) module 48, x   6.31, y 5.8725, z 694.531
 48283634 (1517) module 46, x 5.8425, y   5.46, z 649.531
 46184698 (1465) module 44, x 5.4025, y 5.0475, z 604.531

Track #28, length 4
 53083458 (1631) module 50, x 9.2275, y -15.5225, z 738.469
 50988116 (1576) module 48, x 8.7325, y -14.5325, z 693.469
 48893543 (1522) module 46, x 8.1825, y -13.4875, z 648.469
 46798970 (1470) module 44, x  7.605, y -12.4425, z 603.469

Track #29, length 6
 52431744 (1635) module 50, x 12.1125, y -4.4675, z 739.531
 50335887 (1580) module 48, x 11.2875, y -4.1925, z 694.531
 48240285 (1526) module 46, x  10.49, y -3.8625, z 649.531
 46144428 (1474) module 44, x 9.6925, y -3.5875, z 604.531
 44050898 (1408) module 42, x 7.6025, y  -2.79, z 485.982
 41956849 (1338) module 40, x 5.8975, y -2.1575, z 390.473

Track #30, length 7
 53055330 (1638) module 50, x 15.2775, y -13.735, z 738.469
 50963315 (1584) module 48, x 14.1775, y -12.8275, z 693.469
 48871043 (1529) module 46, x 13.105, y -11.9475, z 648.469
 46779028 (1477) module 44, x 12.005, y -11.0125, z 603.469
 44695232 (1411) module 42, x 9.1725, y -8.5925, z 484.921
 42608100 (1342) module 40, x 6.9175, y -6.6125, z 389.411
 39846398 (1277) module 38, x 5.1825, y -5.0175, z 313.525

Track #31, length 7
 53096844 (1624) module 50, x   6.23, y -11.4525, z 738.469
 51002007 (1569) module 48, x  5.735, y -10.8475, z 693.469
 48907426 (1514) module 46, x 5.2125, y -10.215, z 648.469
 46812590 (1462) module 44, x 4.7175, y -9.5825, z 603.469
 44721356 (1401) module 42, x  3.425, y -7.9325, z 484.921
 42629348 (1334) module 40, x 2.3525, y -6.6125, z 389.411
 40536056 (1273) module 38, x 1.5275, y -5.5125, z 312.463

Track #32, length 6
 53093788 (1628) module 50, x 6.9175, y -10.5725, z 738.469
 50998953 (1573) module 48, x 6.4225, y -9.8575, z 693.469
 48903862 (1519) module 46, x 5.9825, y -9.1425, z 648.469
 46808770 (1466) module 44, x 5.5425, y -8.455, z 603.469
 44717284 (1402) module 42, x 4.3325, y -6.6125, z 484.921
 42624767 (1335) module 40, x 3.3425, y -5.1275, z 389.411

Track #33, length 4
 53080128 (1632) module 50, x 9.9425, y -15.6325, z 738.469
 50986323 (1577) module 48, x 9.2275, y -14.5875, z 693.469
 48892006 (1523) module 46, x 8.5125, y -13.515, z 648.469
 46798201 (1471) module 44, x 7.7975, y -12.47, z 603.469

Track #34, length 6
 53070069 (1636) module 50, x 12.115, y -5.6775, z 738.469
 50976764 (1581) module 48, x 11.3175, y -5.2925, z 693.469
 48235421 (1527) module 46, x 10.5175, y -4.9075, z 649.531
 46140075 (1475) module 44, x 9.7475, y -4.5225, z 604.531
 44047570 (1409) module 42, x 7.6025, y -3.5325, z 485.982
 41954032 (1339) module 40, x  5.925, y -2.735, z 390.473

Track #35, length 9
 52550693 (1639) module 50, x 17.1175, y 21.2175, z 739.531
 50446906 (1585) module 48, x 15.9625, y 19.7875, z 694.531
 48343119 (1530) module 46, x  14.78, y 18.3575, z 649.531
 46239332 (1478) module 44, x 13.6525, y 16.955, z 604.531
 44125083 (1413) module 42, x 10.6275, y 13.2425, z 485.982
 42014406 (1344) module 40, x 8.2625, y 10.3275, z 390.473
 39906793 (1279) module 38, x 6.3375, y 7.9625, z 313.525
 39518184 (1270) module 37, x 5.0725, y 6.3925, z 262.469
 37418230 (1210) module 35, x 4.4675, y 5.6225, z 237.469

Track #36, length 13
 52778035 (1644) module 50, x 30.3175, y 19.5225, z 738.469
 50686293 (1589) module 48, x 28.4475, y 18.3675, z 693.469
 48594807 (1534) module 46, x 26.5775, y 17.1575, z 648.469
 46503065 (1482) module 44, x  24.68, y 16.0025, z 603.469
 44420339 (1422) module 42, x 19.7575, y 12.9225, z 484.921
