Track #0, length 12
 53558650 (3379) module 51, x -12.4425, y -12.4725, z 751.531
 51458439 (3267) module 49, x  -11.7, y -11.8125, z 706.531
 49357973 (3144) module 47, x -10.9575, y -11.125, z 661.531
 47257507 (3018) module 45, x -10.1875, y -10.41, z 616.531
 45151433 (2889) module 43, x -8.0975, y -8.375, z 497.982

Track #10, length 5
 53563523 (3380) module 51, x -11.9475, y -13.5175, z 751.531
 51462542 (3268) module 49, x -11.3425, y -12.6925, z 706.531
 49360794 (3145) module 47, x -10.6825, y -11.7025, z 661.531
 47259302 (3020) module 45, x -10.0225, y -10.7675, z 616.531
 45151433 (2889) module 43, x -8.0975, y -8.375, z 497.982

Track #11, length 12
 54335502 (3384) module 51, x -10.465, y 32.3525, z 751.531
 52235571 (3271) module 49, x -9.8325, y 30.3175, z 706.531
 50135384 (3148) module 47, x -9.1725, y 28.255, z 661.531
 48035709 (3022) module 45, x  -8.54, y 26.2475, z 616.531
 45930975 (2892) module 43, x -6.8625, y 20.8575, z 497.982
 43663408 (2756) module 41, x -5.4325, y 16.5125, z 401.411
 41571695 (2611) module 39, x -4.2775, y 13.0475, z 324.463
 39478690 (2462) module 37, x  -3.37, y 10.2425, z 262.469
 37383350 (2304) module 35, x -3.0125, y 9.1425, z 237.469
 35288011 (2141) module 33, x -2.6275, y 7.9875, z 212.469
 33192671 (1979) module 31, x -2.2425, y 6.8875, z 187.469
 31097076 (1824) module 29, x -1.885, y 5.7325, z 162.469

Track #12, length 10
 54329512 (3388) module 51, x  -9.09, y 23.855, z 751.531
 52230340 (3277) module 49, x -8.5675, y 22.3425, z 706.531
 50130656 (3152) module 47, x -8.0175, y 20.8025, z 661.531
 48030971 (3027) module 45, x -7.4675, y 19.3175, z 616.531
 45758277 (2898) module 43, x -5.9275, y 15.3575, z 496.921
 43667070 (2760) module 41, x -4.6625, y 12.2225, z 401.411
 41574572 (2613) module 39, x -3.6725, y 9.6925, z 324.463
 39481042 (2464) module 37, x -2.86583, y 7.58417, z 262.469
 37385442 (2306) module 35, x -2.5725, y 6.7225, z 237.469
 35289841 (2143) module 33, x -2.2425, y 5.8975, z 212.469

Track #13, length 11
 53625018 (3389) module 51, x -8.9225, y -26.8275, z 751.531
 51519684 (3279) module 49, x -8.3725, y -25.0675, z 706.531
 49414351 (3154) module 47, x -7.7675, y -23.28, z 661.531
 47309274 (3029) module 45, x -7.1625, y -21.4925, z 616.531
 45191157 (2900) module 43, x -5.6775, y -16.9825, z 497.982
 42660466 (2629) module 40, x -4.3575, y -12.8825, z 389.411
 40559012 (2482) module 38, x  -3.45, y -10.1325, z 312.463
 38458573 (2327) module 36, x -2.7075, y -7.8775, z 250.469
 36360157 (2163) module 34, x -2.4325, y  -6.97, z 225.469
 34261486 (2000) module 32, x  -2.13, y -6.0625, z 200.469
 32163071 (1844) module 30, x -1.8275, y -5.1275, z 175.469

Track #14, length 5
 54134748 (3390) module 51, x -8.5675, y 7.0525, z 750.469
 52040164 (3280) module 49, x -8.0175, y 6.6125, z 705.469
 49945580 (3155) module 47, x -7.4675, y 6.1725, z 660.469
 47850996 (3030) module 45, x -6.9175, y 5.7325, z 615.469
 45091064 (2902) module 43, x -5.5125, y 4.6325, z 497.982

Track #15, length 6
 53551042 (3391) module 51, x -8.4825, y -10.8225, z 751.531
 51450572 (3281) module 49, x -7.9325, y -10.1075, z 706.531
 49350101 (3156) module 47, x -7.41917, y -9.41083, z 661.531
 47250399 (3031) module 45, x -6.8875, y -8.7325, z 616.531
 45144825 (2904) module 43, x -5.4575, y -6.9175, z 497.982
 42659580 (2630) module 40, x -4.165, y -5.2925, z 389.411

Track #16, length 5
 53501641 (3393) module 51, x -8.0975, y -0.0975003, z 751.531
 51404497 (3282) module 49, x -7.6575, y -0.0975003, z 706.531
 49307353 (3157) module 47, x -7.2175, y -0.0975003, z 661.531
 47210209 (3032) module 45, x  -6.75, y -0.0975003, z 616.531
 45112823 (2901) module 43, x  -5.54, y -0.0425, z 497.982

Track #17, length 15
 54324995 (3394) module 51, x -8.0725, y 32.9575, z 751.531
 52225829 (3284) module 49, x -7.6325, y 31.0875, z 706.531
