Track #0, length 7
 53554204 (1007) module 51, x -17.6125, y -11.5375, z 751.531
 51453997 (961) module 49, x -16.6408, y -10.9142, z 706.531
 49354047 (918) module 47, x -15.6875, y -10.2725, z 661.531
 47254096 (875) module 45, x -14.7525, y -9.6675, z 616.531
 45149822 (836) module 43, x -12.2225, y -8.045, z 497.982
 43046563 (790) module 41, x -10.1875, y -6.6975, z 402.473
 40944320 (744) module 39, x -8.57417, y -5.61583, z 325.525
 38843352 (694) module 37, x -7.2725, y -4.7725, z 263.531
 36744418 (647) module 35, x -6.7225, y -4.3875, z 238.531
 34645740 (597) module 33, x -6.1725, y -4.0575, z 213.531
 32546805 (551) module 31, x -5.6775, y   -3.7, z 188.531
 30448127 (502) module 29, x -5.1275, y -3.3425, z 163.531

Track #11, length 10
 53530471 (1008) module 51, x -13.4875, y -6.3125, z 751.531
 51431796 (963) module 49, x -12.7725, y  -6.01, z 706.531
 49333377 (919) module 47, x -12.0575, y -5.7075, z 661.531
 47234958 (876) module 45, x -11.3425, y -5.4325, z 616.531
 45134000 (837) module 43, x -9.4725, y -4.6075, z 497.982
 43033801 (791) module 41, x  -8.07, y -3.9475, z 402.473
 40934110 (745) module 39, x -6.9425, y -3.3975, z 325.525
 38834671 (695) module 37, x -6.0075, y  -2.93, z 263.531
 36736758 (648) module 35, x -5.6225, y -2.7375, z 238.531
 34638844 (598) module 33, x -5.265, y -2.5725, z 213.531

Track #12, length 16
 54337573 (1009) module 51, x -10.8775, y 31.0875, z 751.531
 52237636 (964) module 49, x  -10.3, y 29.3825, z 706.531
 50137954 (920) module 47, x -9.7225, y 27.705, z 661.531
 48038017 (878) module 45, x  -9.09, y     26, z 616.531
 45934290 (839) module 43, x -7.5775, y 21.545, z 497.982
 43659543 (793) module 41, x -6.2575, y 17.8875, z 401.411
 41567051 (747) module 39, x -5.2675, y     15, z 324.463
 39473782 (697) module 37, x -4.4425, y 12.6625, z 262.469
 37378183 (650) module 35, x -4.1125, y 11.7275, z 237.469
 35282584 (600) module 33, x -3.7825, y 10.7925, z 212.469
 33186985 (553) module 31, x -3.4525, y   9.83, z 187.469
 31091387 (505) module 29, x -3.1225, y 8.8675, z 162.469
 28995788 (453) module 27, x -2.7925, y 7.9325, z 137.469
 26900189 (411) module 25, x -2.4625, y 6.9975, z 112.469
 24804590 (369) module 23, x -2.1325, y 6.0625, z 87.469
 22708991 (327) module 21, x -1.8025, y 5.1275, z 62.469

Track #13, length 6
 53498297 (1012) module 51, x -8.9775, y 0.6175, z 751.531
