Track #0, length 16
 54447967 (2042) module 51, x -34.6925, y 27.8975, z 751.531
 52341627 (1963) module 49, x -32.74, y 26.3575, z 706.531
 50235543 (1878) module 47, x -30.815, y 24.8175, z 661.531
 48129459 (1792) module 45, x -28.8625, y  23.25, z 616.531
 46008574 (1708) module 43, x -23.775, y 19.1525, z 497.982
 43597884 (1623) module 41, x -19.6225, y 15.8525, z 401.411
 41516141 (1539) module 39, x -16.3225, y 13.1575, z 324.463
 39431571 (1457) module 37, x -13.6275, y  11.04, z 262.469
 37339299 (1371) module 35, x -12.5825, y 10.1875, z 237.469
 35247283 (1285) module 33, x -11.4825, y 9.3075, z 212.469
 33155010 (1185) module 31, x -10.4375, y  8.455, z 187.469
 31062994 (1091) module 29, x -9.3375, y 7.6025, z 162.469
 28970466 (991) module 27, x -8.2375, y 6.70417, z 137.469
 26878194 (897) module 25, x -7.1925, y 5.8425, z 112.469
 24117740 (803) module 23, x -6.1725, y 5.0175, z 88.531
 22024447 (711) module 21, x -5.1275, y 4.1925, z 63.531

Track #1, length 15
 54038852 (2044) module 51, x -29.33, y 15.4125, z 750.469
 51949395 (1965) module 49, x -27.7075, y 14.5875, z 705.469
 49859939 (1880) module 47, x -26.0575, y 13.7075, z 660.469
 47770482 (1794) module 45, x -24.4075, y 12.855, z 615.469
 45692828 (1714) module 43, x -20.1175, y 10.5725, z 496.921
 43611837 (1628) module 41, x -16.6525, y 8.7575, z 401.411
 41527768 (1545) module 39, x -13.8475, y 7.2725, z 324.463
 39441133 (1463) module 37, x -11.5925, y 6.1175, z 262.469
 37348342 (1376) module 35, x -10.6575, y 5.6225, z 237.469
 35255294 (1290) module 33, x -9.7775, y  5.155, z 212.469
 32507834 (1190) module 31, x -8.895, y 4.6875, z 188.531
 30412747 (1097) module 29, x -7.9875, y   4.22, z 163.531
 28317916 (996) module 27, x -7.0525, y 3.7525, z 138.531
 26223084 (902) module 25, x -6.1725, y 3.2575, z 113.531
 24127997 (809) module 23, x -5.2375, y   2.79, z 88.531

Track #2, length 14
 53884294 (2048) module 51, x -25.7342, y -7.01917, z 750.469
 51789215 (1969) module 49, x -24.3775, y -6.5975, z 705.469
 49694136 (1884) module 47, x -23.0025, y -6.1575, z 660.469
 47599057 (1798) module 45, x -21.6275, y -5.7175, z 615.469
 45134102 (1720) module 43, x -17.9425, y -4.6625, z 497.982
 43033165 (1633) module 41, x -14.9175, y -3.865, z 402.473
 40933243 (1550) module 39, x -12.36, y  -3.26, z 325.525
 38833824 (1468) module 37, x -10.3387, y -2.75125, z 263.531
 36735664 (1380) module 35, x -9.4725, y -2.545, z 238.531
 34637503 (1295) module 33, x -8.6475, y -2.325, z 213.531
 32539342 (1193) module 31, x -7.8225, y -2.105, z 188.531
 30441179 (1098) module 29, x -7.07083, y -1.89417, z 163.531
 28343018 (997) module 27, x -6.24583, y -1.67417, z 138.531
 26245113 (903) module 25, x  -5.43, y -1.4725, z 113.531

Track #3, length 13
 53898913 (2050) module 51, x -24.24, y -3.9025, z 750.469
 51802810 (1971) module 49, x -22.8925, y -3.6825, z 705.469
 49706707 (1887) module 47, x -21.5175, y -3.4625, z 660.469
 47610347 (1800) module 45, x -20.1975, y  -3.27, z 615.469
 45125166 (1722) module 43, x -16.6225, y -2.7375, z 497.982
 43025762 (1637) module 41, x -13.7625, y  -2.27, z 402.473
 40927116 (1553) module 39, x -11.4525, y -1.9125, z 325.525
 38828462 (1471) module 37, x -9.5825, y  -1.61, z 263.531
 36730812 (1386) module 35, x -8.8125, y -1.4725, z 238.531
 34633161 (1300) module 33, x -8.0975, y -1.3625, z 213.531
 32535255 (1196) module 31, x -7.3275, y -1.1975, z 188.531
 30437605 (1099) module 29, x -6.5575, y -1.0875, z 163.531
 28339954 (998) module 27, x -5.815, y -0.9775, z 138.531

Track #4, length 12
 54083246 (2052) module 51, x -19.7325, y 9.5825, z 750.469
 51990967 (1973) module 49, x -18.6875, y   9.06, z 705.469
 49898945 (1888) module 47, x -17.5875, y 8.5375, z 660.469
 47806922 (1801) module 45, x -16.4875, y 8.0425, z 615.469
 45723107 (1723) module 43, x -13.6275, y 6.6675, z 496.921
 43636983 (1638) module 41, x -11.2625, y   5.54, z 401.411
 40896689 (1554) module 39, x -9.4175, y 4.6325, z 325.525
 38803149 (1473) module 37, x -7.8775, y 3.8625, z 263.531
 36707288 (1389) module 35, x -7.2725, y 3.5875, z 238.531
 34611683 (1301) module 33, x -6.63083, y 3.23917, z 213.531
 32515823 (1198) module 31, x -6.0075, y 2.9825, z 188.531
 30419962 (1102) module 29, x -5.4025, y   2.68, z 163.531

Track #5, length 15
 53658133 (2053) module 51, x -17.9975, y -33.9775, z 751.531
 51552039 (1974) module 49, x -17.0075, y -32.0525, z 706.531
 49446201 (1890) module 47, x -16.0175, y -30.1825, z 661.531
 47340107 (1802) module 45, x -15.0275, y -28.2575, z 616.531
 45219962 (1724) module 43, x -12.4425, y -23.28, z 497.982
 43104416 (1639) module 41, x -10.3525, y -19.2375, z 402.473
 40992192 (1557) module 39, x -8.5925, y -16.02, z 325.525
 38883033 (1474) module 37, x -7.2175, y -13.4075, z 263.531
 36781028 (1390) module 35, x -6.6125, y -12.3625, z 238.531
 34679022 (1302) module 33, x -6.0625, y -11.3175, z 213.531
 32577016 (1199) module 31, x -5.5125, y -10.2725, z 188.531
 30078911 (1015) module 28, x -4.6325, y -8.6475, z 150.469
 27979218 (917) module 26, x -4.0825, y -7.6025, z 125.469
 25879269 (824) module 24, x -3.4775, y -6.5575, z 100.469
 23779576 (728) module 22, x -2.9275, y -5.5125, z 75.469

Track #6, length 11
 54096877 (2055) module 51, x -16.79, y 6.1175, z 750.469
 52004083 (1976) module 49, x -15.8825, y 5.7875, z 705.469
 49911033 (1892) module 47, x -15.0025, y 5.4575, z 660.469
 47818239 (1804) module 45, x -14.0675, y 5.1275, z 615.469
 45092744 (1726) module 43, x -11.6725, y 4.2475, z 497.982
 42998956 (1641) module 41, x -9.6925, y 3.5325, z 402.473
 40904650 (1559) module 39, x -8.0425, y 2.9275, z 325.525
 38809570 (1476) module 37, x -6.7225, y 2.4875, z 263.531
 36713451 (1392) module 35, x   -6.2, y 2.2675, z 238.531
 34617077 (1305) module 33, x -5.6775, y 2.1025, z 213.531
 32520702 (1203) module 31, x -5.1825, y   1.91, z 188.531

