Track #0, length 15
 54435366 (4798) module 51, x -32.025, y 31.0325, z 751.531
 52330054 (4589) module 49, x -30.2375, y 29.2725, z 706.531
 50224486 (4393) module 47, x -28.4225, y 27.5125, z 661.531
 48118918 (4185) module 45, x -26.6075, y 25.7525, z 616.531
 46000346 (3987) module 43, x -21.8775, y 21.1325, z 497.982
 43605536 (3783) module 41, x -17.9725, y 17.365, z 401.411
 41522775 (3580) module 39, x -14.8925, y 14.3675, z 324.463
 39437442 (3385) module 37, x -12.3625, y 11.975, z 262.469
 37345172 (3180) module 35, x -11.3175, y 11.0125, z 237.469
 35252646 (2983) module 33, x -10.3275, y 10.0225, z 212.469
 33160120 (2790) module 31, x  -9.31, y 9.0325, z 187.469
 31067337 (2623) module 29, x -8.2925, y   8.07, z 162.469
 28975067 (2464) module 27, x -7.2475, y   7.08, z 137.469
 26882541 (2312) module 25, x -6.2575, y   6.09, z 112.469
 24790271 (2152) module 23, x -5.2125, y 5.1275, z 87.469

Track #1, length 7
 54039339 (4802) module 51, x -29.2475, y  16.76, z 750.469
 51951679 (4593) module 49, x -27.185, y 15.6875, z 705.469
 49864019 (4397) module 47, x -25.1775, y  14.56, z 660.469
 47775592 (4189) module 45, x -23.28, y 13.4325, z 615.469
 45701278 (3991) module 43, x -18.3025, y 10.4625, z 496.921
 43623111 (3792) module 41, x -14.2325, y 8.17083, z 401.411
 41540842 (3592) module 39, x -11.0058, y 6.24583, z 324.463

Track #2, length 7
 53856089 (4804) module 51, x -28.1908, y -13.1608, z 750.469
 51763328 (4597) module 49, x -26.0825, y -12.2625, z 705.469
 49670566 (4401) module 47, x -23.9925, y -11.3275, z 660.469
 47577805 (4194) module 45, x -21.8475, y -10.3925, z 615.469
 45148979 (3995) module 43, x -16.3475, y -7.8525, z 497.982
 43042181 (3798) module 41, x -11.8375, y -5.7625, z 402.473
 40936905 (3610) module 39, x -8.0975, y -4.0025, z 325.525

Track #3, length 10
 53908894 (4808) module 51, x -24.405, y -1.7575, z 750.469
 51812283 (4601) module 49, x -22.8375, y -1.6475, z 705.469
 49715672 (4403) module 47, x -21.2425, y -1.5375, z 660.469
 47619061 (4197) module 45, x -19.6475, y   -1.4, z 615.469
 45117506 (4000) module 43, x -15.5225, y -1.0875, z 497.982
 43019135 (3795) module 41, x -12.1675, y -0.8125, z 402.473
 40921008 (3599) module 39, x -9.4725, y -0.5925, z 325.525
 38823383 (3409) module 37, x   -7.3, y -0.4825, z 263.531
 36725991 (3202) module 35, x  -6.42, y -0.4275, z 238.531
 34628343 (3005) module 33, x -5.54917, y -0.354167, z 213.531

Track #4, length 11
 53558276 (4825) module 51, x -18.9325, y -12.445, z 751.531
 51457816 (4614) module 49, x -17.8325, y -11.7025, z 706.531
 49357356 (4416) module 47, x -16.705, y -10.9875, z 661.531
 47256896 (4210) module 45, x -15.605, y -10.2725, z 616.531
 45151349 (4011) module 43, x -12.7175, y -8.375, z 497.982
 43047072 (3810) module 41, x -10.3525, y -6.835, z 402.473
 40944322 (3608) module 39, x -8.4825, y -5.5975, z 325.525
 38842589 (3410) module 37, x -6.9975, y -4.6075, z 263.531
 36743400 (3203) module 35, x -6.3925, y -4.195, z 238.531
 34644467 (3003) module 33, x  -5.76, y -3.7825, z 213.531
 32545535 (2812) module 31, x -5.1275, y -3.3975, z 188.531

Track #5, length 7
 53526028 (4828) module 51, x -18.465, y -5.405, z 751.531
 51427110 (4618) module 49, x -17.0625, y -4.9925, z 706.531
 49327936 (4420) module 47, x -15.6325, y -4.5525, z 661.531
 47229017 (4219) module 45, x -14.2575, y -4.1675, z 616.531
 45126813 (4025) module 43, x -10.5175, y -3.0675, z 497.982
 43025619 (3829) module 41, x -7.5475, y -2.1875, z 402.473
 40925182 (3634) module 39, x -5.1825, y -1.4725, z 325.525

Track #6, length 9
 53539390 (4837) module 51, x -15.7425, y -8.2375, z 751.531
 51439950 (4627) module 49, x -14.8625, y  -7.77, z 706.531
 49340767 (4428) module 47, x -13.9275, y -7.3025, z 661.531
 47241327 (4223) module 45, x -13.0475, y -6.8075, z 616.531
 45138075 (4024) module 43, x -10.6275, y -5.515, z 497.982
 43036350 (3818) module 41, x -8.675, y -4.4975, z 402.473
 40935386 (3616) module 39, x -7.135, y -3.6725, z 325.525
 38835185 (3416) module 37, x -5.8975, y  -3.04, z 263.531
 36737018 (3212) module 35, x -5.375, y -2.7925, z 238.531

Track #7, length 10
 53640524 (4839) module 51, x -14.9725, y -30.1825, z 751.531
 51533663 (4631) module 49, x -13.9275, y -28.0925, z 706.531
 49426802 (4433) module 47, x -12.8825, y -26.0025, z 661.531
 47319940 (4228) module 45, x -11.865, y -23.9125, z 616.531
 45197749 (4033) module 43, x -9.16083, y -18.4492, z 497.982
 43080413 (3834) module 41, x -6.9975, y -14.0675, z 402.473
 40966653 (3632) module 39, x -5.2375, y -10.4925, z 325.525
 40565928 (3444) module 38, x -4.935, y -9.9125, z 312.463
 38462428 (3244) module 36, x -3.5325, y -7.0525, z 250.469
 36362481 (3043) module 34, x -2.9275, y -5.8975, z 225.469

Track #8, length 7
 53508458 (4846) module 51, x -13.3225, y -1.5825, z 751.531
 51410809 (4635) module 49, x -12.47, y -1.4725, z 706.531
 49313161 (4437) module 47, x -11.6175, y  -1.39, z 661.531
 47215769 (4232) module 45, x -10.7375, y -1.3075, z 616.531
 45117378 (4036) module 43, x -8.4825, y -1.0325, z 497.982
 43019235 (3837) module 41, x -6.6675, y -0.8125, z 402.473
 40921342 (3635) module 39, x -5.1825, y -0.6475, z 325.525

Track #9, length 11
 53591688 (4850) module 51, x -11.6725, y -19.5675, z 751.531
 51489172 (4638) module 49, x -11.0125, y -18.4125, z 706.531
 49386912 (4440) module 47, x -10.325, y -17.3125, z 661.531
 47284397 (4235) module 45, x -9.6375, y -16.1575, z 616.531
 45173197 (4041) module 43, x -7.8775, y -13.16, z 497.982
 43064807 (3840) module 41, x -6.4475, y -10.74, z 402.473
 40959228 (3631) module 39, x -5.265, y -8.7875, z 325.525
 40566722 (3442) module 38, x -5.0725, y -8.4825, z 312.463
 38465247 (3240) module 36, x -4.1375, y -6.8875, z 250.469
 36366314 (3035) module 34, x -3.7525, y -6.2825, z 225.469
 34267382 (2841) module 32, x -3.3675, y -5.6225, z 200.469

Track #10, length 8
 53551776 (4857) module 51, x -10.3525, y -10.9875, z 751.531
 51452074 (4644) module 49, x -9.8025, y -10.4375, z 706.531
 49352116 (4447) module 47, x -9.2525, y -9.8325, z 661.531
