Track #0, length 4
 54195329 (3450) module 51, x 4.4675, y 12.0575, z 750.469
 52096910 (3340) module 49, x 4.1925, y 11.3425, z 705.469
 49998491 (3227) module 47, x 3.9175, y 10.6275, z 660.469
 47900072 (3112) module 45, x 3.6425, y 9.9125, z 615.469
 45799626 (3002) module 43, x  2.955, y 8.0425, z 496.921
 43699941 (2882) module 41, x 2.3775, y   6.53, z 401.411
 41600764 (2758) module 39, x 1.9375, y 5.2925, z 324.463

Track #11, length 19
 53902135 (3389) module 51, x -30.07, y -3.1875, z 750.469
 51805521 (3284) module 49, x -28.64, y -3.0775, z 705.469
 49709163 (3174) module 47, x -27.21, y -2.9125, z 660.469
 47612550 (3063) module 45, x -25.7525, y -2.8025, z 615.469
 45517258 (2954) module 43, x -21.985, y -2.4175, z 496.921
 43025155 (2834) module 41, x -18.96, y -2.1325, z 402.473
 40927024 (2715) module 39, x -16.5125, y -1.9125, z 325.525
 38828884 (2597) module 37, x -14.5325, y -1.6925, z 263.531
 36731491 (2476) module 35, x -13.7075, y -1.6375, z 238.531
 34633841 (2351) module 33, x -12.9192, y -1.54583, z 213.531
 32536448 (2212) module 31, x -12.1125, y -1.4725, z 188.531
 30438798 (2083) module 29, x -11.3058, y -1.39917, z 163.531
 28341405 (1952) module 27, x -10.5175, y -1.3075, z 138.531
 26243756 (1814) module 25, x -9.6925, y -1.225, z 113.531
 24146362 (1688) module 23, x -8.9225, y -1.1425, z 88.531
 22048713 (1543) module 21, x -8.0975, y -1.0325, z 63.531
 19951063 (1394) module 19, x -7.3275, y -0.9225, z 38.531
 17853414 (1237) module 17, x -6.5025, y -0.8125, z 13.531
 15755764 (1102) module 15, x -5.705, y  -0.73, z -11.469

Track #12, length 13
 53855077 (3394) module 51, x -27.5675, y -13.4175, z 750.469
 51761538 (3288) module 49, x -25.9725, y -12.6475, z 705.469
 49667999 (3178) module 47, x -24.3775, y -11.8775, z 660.469
 47574461 (3067) module 45, x -22.7275, y -11.08, z 615.469
 45154060 (2958) module 43, x -18.4925, y  -8.98, z 497.982
 43049546 (2841) module 41, x -15.0825, y -7.3575, z 402.473
 40946045 (2726) module 39, x -12.2775, y  -6.01, z 325.525
 38843813 (2608) module 37, x -10.0408, y -4.91917, z 263.531
 36744630 (2490) module 35, x -9.1425, y  -4.47, z 238.531
 34645446 (2367) module 33, x -8.235, y -4.0025, z 213.531
 32546263 (2230) module 31, x -7.3275, y -3.5625, z 188.531
 30447080 (2102) module 29, x -6.3925, y -3.1225, z 163.531
 28347896 (1975) module 27, x -5.5125, y -2.6825, z 138.531

Track #13, length 13
 53537306 (3400) module 51, x -17.7225, y -7.825, z 751.531
 51438379 (3298) module 49, x -16.7875, y -7.4125, z 706.531
 49339451 (3184) module 47, x -15.9075, y -7.0275, z 661.531
 47240524 (3073) module 45, x -14.9725, y -6.6425, z 616.531
 45138295 (2964) module 43, x -12.6075, y  -5.57, z 497.982
 43037338 (2847) module 41, x -10.6825, y -4.7175, z 402.473
 40937142 (2732) module 39, x -9.1425, y -4.0575, z 325.525
 38837453 (2614) module 37, x -7.8775, y -3.5075, z 263.531
 36739286 (2497) module 35, x -7.3825, y -3.2875, z 238.531
 34640863 (2373) module 33, x -6.8875, y  -3.04, z 213.531
 32542696 (2236) module 31, x -6.3925, y  -2.82, z 188.531
 30444529 (2107) module 29, x -5.8975, y   -2.6, z 163.531
 28346362 (1976) module 27, x -5.38417, y -2.37083, z 138.531

Track #14, length 8
 53538896 (3405) module 51, x -14.7525, y -8.1275, z 751.531
 51439456 (3302) module 49, x -13.8725, y -7.6325, z 706.531
 49340272 (3188) module 47, x -12.9925, y -7.1925, z 661.531
 47240832 (3077) module 45, x -12.1125, y -6.6975, z 616.531
 45137834 (2969) module 43, x -9.8025, y -5.4325, z 497.982
 43036107 (2853) module 41, x  -7.96, y -4.4425, z 402.473
 40935143 (2737) module 39, x -6.4475, y -3.6175, z 325.525
 38834940 (2621) module 37, x -5.265, y -2.9575, z 263.531

