Track #0, length 11
 49417383 (4834) module 47, x -9.9675, y -23.9675, z 661.531
 47312820 (4636) module 45, x -9.2525, y -22.2625, z 616.531
 45194710 (4440) module 43, x -7.3825, y -17.78, z 497.982
 43080945 (4253) module 41, x -5.8975, y -14.1775, z 402.473
 40563864 (3851) module 38, x -4.4675, y -10.7925, z 312.463
 38462146 (3623) module 36, x -3.4775, y -8.4825, z 250.469
 36363219 (3386) module 34, x -3.0925, y  -7.52, z 225.469
 34264292 (3145) module 32, x -2.7075, y -6.585, z 200.469
 32165366 (2906) module 30, x -2.3225, y -5.6225, z 175.469

Track #10, length 5
 53495985 (5242) module 51, x  -9.39, y 1.1125, z 751.531
 51399100 (5044) module 49, x -8.8125, y 1.0575, z 706.531
 49302214 (4842) module 47, x -8.2625, y  0.975, z 661.531
 47205585 (4645) module 45, x -7.6575, y 0.8925, z 616.531
 45109228 (4449) module 43, x -6.1725, y 0.7275, z 497.982

Track #11, length 5
 53535185 (5246) module 51, x -7.6575, y -7.3025, z 751.531
 51436249 (5048) module 49, x -7.2175, y -6.9175, z 706.531
 49337057 (4847) module 47, x -6.7775, y -6.4775, z 661.531
 47238121 (4649) module 45, x -6.3375, y -6.0925, z 616.531
 45135870 (4456) module 43, x -5.1825, y -4.9925, z 497.982

Track #12, length 4
 53510635 (5251) module 51, x -6.2275, y  -2.05, z 751.531
 51412977 (5053) module 49, x -5.8975, y -1.9125, z 706.531
 49315319 (4852) module 47, x -5.5675, y -1.8025, z 661.531
 47217662 (4654) module 45, x -5.1825, y -1.6925, z 616.531

Track #13, length 4
 53928462 (5192) module 51, x -32.3525, y 2.4775, z 750.469
 51821688 (4999) module 49, x -26.5225, y 0.387501, z 705.469
 49714659 (4799) module 47, x -20.6375, y -1.7575, z 660.469
 47227469 (4617) module 45, x -14.89, y -3.8375, z 616.531

Track #14, length 14
 54424472 (5195) module 51, x -29.6325, y 24.7625, z 751.531
 52319409 (4995) module 49, x -27.9275, y 23.3875, z 706.531
 50214603 (4789) module 47, x -26.2775, y 21.9575, z 661.531
 48109541 (4594) module 45, x -24.5725, y 20.5275, z 616.531
 45692715 (4403) module 43, x -20.1175, y 16.7875, z 496.921
 43612257 (4212) module 41, x -16.5425, y 13.8175, z 401.411
 41528717 (4000) module 39, x -13.6275, y 11.3975, z 324.463
 39442352 (3777) module 37, x -11.3175, y  9.445, z 262.469
 37349567 (3550) module 35, x -10.3825, y 8.6475, z 237.469
 35256781 (3318) module 33, x -9.4475, y 7.8775, z 212.469
 33163227 (3076) module 31, x  -8.54, y   7.08, z 187.469
 31070697 (2849) module 29, x -7.5775, y 6.3375, z 162.469
 28977911 (2634) module 27, x -6.6425, y   5.54, z 137.469
 26215923 (2424) module 25, x  -5.76, y 4.7975, z 113.531

Track #15, length 11
 53920940 (5202) module 51, x -23.6442, y 0.845833, z 750.469
 51823558 (5003) module 49, x -22.2325, y 0.799999, z 705.469
 49726176 (4798) module 47, x -20.8025, y 0.744999, z 660.469
 47628794 (4600) module 45, x -19.3725, y 0.689999, z 615.469
 45109824 (4410) module 43, x -15.6325, y  0.535, z 497.982
 43013496 (4222) module 41, x -12.5525, y 0.3975, z 402.473
 40916645 (4014) module 39, x -10.0775, y  0.315, z 325.525
 38820041 (3794) module 37, x -8.0975, y 0.2325, z 263.531
 36722904 (3570) module 35, x -7.2725, y 0.2325, z 238.531
 34626022 (3339) module 33, x -6.5025, y 0.1775, z 213.531
 32528885 (3097) module 31, x -5.6775, y 0.1775, z 188.531

Track #16, length 10
 53930468 (5209) module 51, x -20.5825, y 2.8625, z 750.469
 51832571 (5011) module 49, x -19.3175, y 2.6975, z 705.469
 49294867 (4807) module 47, x -18.1075, y 2.5425, z 661.531
 47198762 (4610) module 45, x -16.8425, y 2.3225, z 616.531
 45103718 (4419) module 43, x -13.5425, y  1.855, z 497.982
 43008406 (4228) module 41, x -10.9025, y 1.4975, z 402.473
 40912829 (4021) module 39, x -8.7575, y 1.1675, z 325.525
 38816733 (3806) module 37, x -6.9975, y   0.92, z 263.531
 36720105 (3578) module 35, x  -6.31, y 0.8375, z 238.531
 34623478 (3350) module 33, x -5.6225, y 0.7275, z 213.531

Track #17, length 6
 53816301 (5210) module 51, x -20.0875, y -21.75, z 750.469
 51482397 (5015) module 49, x -17.5575, y -17.01, z 706.531
 49362763 (4817) module 47, x    -15, y -12.1425, z 661.531
 47243642 (4623) module 45, x -12.4425, y -7.3025, z 616.531
 45759734 (4452) module 43, x -5.6525, y  5.595, z 496.921
 41682851 (4066) module 39, x 4.66917, y 24.1392, z 325.525

Track #18, length 9
 53553164 (5215) module 51, x -18.4925, y -11.3175, z 751.531
 51452961 (5017) module 49, x -17.3375, y -10.6575, z 706.531
 49352501 (4813) module 47, x -16.21, y -9.9425, z 661.531
 47252042 (4616) module 45, x -15.055, y -9.2275, z 616.531
 45147009 (4425) module 43, x -12.0575, y -7.4125, z 497.982
 43042989 (4236) module 41, x -9.6375, y -5.9275, z 402.473
 40940240 (4028) module 39, x -7.7125, y -4.7175, z 325.525
 38838763 (3811) module 37, x -6.2275, y -3.7825, z 263.531
 36739830 (3586) module 35, x -5.595, y -3.3975, z 238.531

Track #19, length 12
 54348644 (5229) module 51, x -13.2425, y 27.6225, z 751.531
 52247682 (5029) module 49, x -12.4175, y 25.9725, z 706.531
 50146976 (4826) module 47, x -11.6475, y 24.3225, z 661.531
 48046014 (4627) module 45, x -10.8225, y 22.6725, z 616.531
 45745681 (4436) module 43, x -8.6225, y 18.2175, z 496.921
 43656530 (4246) module 41, x -6.9175, y 14.615, z 401.411
 41565831 (4039) module 39, x -5.50583, y 11.7092, z 324.463
 39474098 (3822) module 37, x -4.3875, y  9.335, z 262.469
 37379268 (3594) module 35, x -3.8925, y 8.3725, z 237.469
 35284182 (3360) module 33, x -3.4525, y 7.3825, z 212.469
 33189351 (3118) module 31, x -2.9575, y 6.4475, z 187.469
 31094264 (2882) module 29, x -2.5175, y  5.485, z 162.469

Track #20, length 4
 53483141 (5232) module 51, x -11.81, y 3.8625, z 751.531
 51386510 (5033) module 49, x -11.315, y 3.7525, z 706.531
 49290391 (4831) module 47, x -10.82, y 3.5325, z 661.531
 47194016 (4632) module 45, x -10.325, y 3.3675, z 616.531

Track #21, length 11
 54338202 (5236) module 51, x -10.9875, y 24.6525, z 751.531
 52238005 (5038) module 49, x -10.3275, y  23.14, z 706.531
 50137553 (4835) module 47, x -9.6125, y 21.6275, z 661.531
 48037868 (4637) module 45, x  -8.98, y 20.115, z 616.531
 45752631 (4443) module 43, x -7.1375, y   16.1, z 496.921
 43662194 (4255) module 41, x  -5.68, y 12.8825, z 401.411
 41570465 (4041) module 39, x -4.525, y 10.2975, z 324.463
 39477703 (3824) module 37, x -3.6175, y 8.2075, z 262.469
 37382358 (3596) module 35, x -3.2325, y 7.3825, z 237.469
 35286757 (3363) module 33, x -2.88417, y 6.52083, z 212.469
 33191413 (3120) module 31, x -2.5175, y 5.6775, z 187.469

Track #22, length 6
 53493400 (5237) module 51, x -10.7925, y 1.6625, z 751.531
 51396771 (5039) module 49, x -10.1875, y 1.5525, z 706.531
 49299886 (4837) module 47, x -9.5825, y   1.47, z 661.531
 47203257 (4639) module 45, x -8.94083, y 1.36917, z 616.531
 45107415 (4442) module 43, x -7.3275, y 1.1125, z 497.982
 43011310 (4252) module 41, x -6.035, y 0.8925, z 402.473

Track #23, length 6
 53522089 (5239) module 51, x -9.8575, y -4.525, z 751.531
 51423922 (5041) module 49, x -9.335, y -4.2775, z 706.531
 49325756 (4839) module 47, x -8.8125, y -4.0575, z 661.531
 47227334 (4641) module 45, x -8.2625, y -3.7825, z 616.531
 45127391 (4445) module 43, x -6.8875, y -3.1775, z 497.982
 43027700 (4254) module 41, x -5.7325, y -2.6275, z 402.473

Track #24, length 8
 54129468 (5240) module 51, x  -9.75, y 15.825, z 750.469
 52035150 (5042) module 49, x -9.1725, y 14.8625, z 705.469
 49940320 (4840) module 47, x -8.5675, y 13.8725, z 660.469
 47845745 (4642) module 45, x -8.0175, y 12.9375, z 615.469
 45755808 (4447) module 43, x -6.4775, y 10.3525, z 496.921
 43664324 (4257) module 41, x -5.23083, y 8.33583, z 401.411
 41572066 (4042) module 39, x -4.2225, y 6.7225, z 324.463
 39478778 (3825) module 37, x -3.3975, y 5.4025, z 262.469

Track #25, length 4
 53509330 (5247) module 51, x -7.6025, y -1.7475, z 751.531
 51411675 (5049) module 49, x -7.1075, y -1.6375, z 706.531
 49314021 (4848) module 47, x -6.5575, y -1.5275, z 661.531
 47216366 (4650) module 45, x -6.0625, y -1.4175, z 616.531

Track #26, length 8
 54146371 (5252) module 51, x -6.0375, y 15.4675, z 750.469
 52051028 (5054) module 49, x -5.6525, y 14.505, z 705.469
 49955686 (4854) module 47, x -5.2675, y 13.5425, z 660.469
 47860343 (4655) module 45, x -4.8825, y 12.6075, z 615.469
 45767845 (4463) module 43, x -3.8925, y 10.0775, z 496.921
 43674314 (4262) module 41, x -3.1225, y 8.0425, z 401.411
 41580007 (4045) module 39, x -2.5175, y 6.4475, z 324.463
 39485183 (3831) module 37, x -2.0225, y 5.1275, z 262.469

Track #27, length 15
 54038688 (5197) module 51, x -29.4125, y 10.3525, z 750.469
 51949226 (4996) module 49, x -27.7625, y 9.8025, z 705.469
 49859508 (4790) module 47, x -26.1675, y 9.2525, z 660.469
 47769790 (4595) module 45, x -24.5725, y  8.675, z 615.469
 45691609 (4401) module 43, x -20.365, y 7.2175, z 496.921
 43610351 (4211) module 41, x -16.9825, y 6.0075, z 401.411
 40894552 (3993) module 39, x -14.3125, y 5.0725, z 325.525
 38801024 (3774) module 37, x -12.1125, y 4.3025, z 263.531
 36705168 (3544) module 35, x -11.2325, y 4.0275, z 238.531
 34609568 (3313) module 33, x -10.3525, y 3.6975, z 213.531
 32513713 (3070) module 31, x -9.4175, y  3.395, z 188.531
 30418113 (2840) module 29, x -8.5375, y 3.0925, z 163.531
 28322513 (2626) module 27, x -7.6575, y 2.7625, z 138.531
 26226657 (2419) module 25, x -6.7775, y   2.46, z 113.531
 24131057 (2214) module 23, x -5.8975, y 2.1575, z 88.531

Track #28, length 13
 54073901 (5206) module 51, x -21.7125, y 16.6775, z 750.469
 51982142 (5008) module 49, x -20.5575, y 15.7425, z 705.469
 49890382 (4804) module 47, x -19.4025, y 14.8625, z 660.469
 47798878 (4605) module 45, x -18.1925, y 13.9825, z 615.469
 45716105 (4412) module 43, x -15.1125, y 11.6175, z 496.921
 43630763 (4221) module 41, x -12.5825, y 9.7475, z 401.411
 41543111 (4010) module 39, x -10.5475, y 8.2075, z 324.463
 39452894 (3789) module 37, x -8.93875, y 6.9425, z 262.469
 37358823 (3561) module 35, x -8.265, y 6.4475, z 237.469
 35264752 (3328) module 33, x -7.6325, y 5.9525, z 212.469
 33170681 (3085) module 31, x -6.9725, y 5.4575, z 187.469
 30409449 (2855) module 29, x -6.3375, y 4.9625, z 163.531
 28314613 (2639) module 27, x -5.6775, y 4.4675, z 138.531

Track #29, length 12
 53840879 (5211) module 51, x -19.95, y -16.47, z 750.469
 51476229 (5012) module 49, x -18.85, y -15.6625, z 706.531
 49375002 (4808) module 47, x -17.7225, y -14.81, z 661.531
 47274285 (4611) module 45, x -16.65, y -14.0125, z 616.531
 45165923 (4417) module 43, x -13.7075, y -11.5925, z 497.982
 43060110 (4227) module 41, x -11.3425, y -9.7225, z 402.473
 40956336 (4016) module 39, x -9.4725, y -8.1825, z 325.525
 38853323 (3797) module 37, x  -7.96, y -6.9175, z 263.531
 36753622 (3567) module 35, x -7.355, y -6.3675, z 238.531
 34654177 (3336) module 33, x -6.7775, y -5.8725, z 213.531
 32554732 (3093) module 31, x -6.1725, y -5.3775, z 188.531
 30455031 (2865) module 29, x -5.5675, y -4.855, z 163.531

Track #30, length 12
 53484566 (5217) module 51, x -17.9425, y 3.5325, z 751.531
 51388199 (5018) module 49, x -17.0075, y   3.34, z 706.531
 49292089 (4814) module 47, x -16.0175, y 3.1475, z 661.531
 47195978 (4615) module 45, x -15.055, y 2.9275, z 616.531
 45101177 (4422) module 43, x -12.4975, y 2.4325, z 497.982
 43005855 (4232) module 41, x -10.4075, y 2.0475, z 402.473
 40910269 (4022) module 39, x -8.7575, y 1.7175, z 325.525
 38814421 (3800) module 37, x -7.4375, y 1.4425, z 263.531
 36717791 (3572) module 35, x -6.8875, y 1.3325, z 238.531
 34620905 (3341) module 33, x -6.3375, y   1.25, z 213.531
 32524275 (3094) module 31, x -5.7875, y   1.14, z 188.531
 30427645 (2866) module 29, x -5.2375, y 1.0575, z 163.531

Track #31, length 9
 54104188 (5221) module 51, x -15.2225, y 12.3325, z 750.469
 52011144 (5023) module 49, x -14.3425, y 11.6725, z 705.469
 49917845 (4819) module 47, x -13.5175, y 10.9575, z 660.469
 47824546 (4621) module 45, x -12.665, y 10.2425, z 615.469
 45738179 (4429) module 43, x -10.3825, y 8.4275, z 496.921
 43648990 (4238) module 41, x -8.5675, y  6.915, z 401.411
 41558773 (4030) module 39, x -7.055, y 5.6775, z 324.463
 38799090 (3814) module 37, x -5.8425, y 4.7425, z 263.531
 36703738 (3587) module 35, x -5.375, y 4.3575, z 238.531

Track #32, length 9
 53522273 (5224) module 51, x -13.8175, y -4.5525, z 751.531
 51423854 (5025) module 49, x -13.1025, y -4.2775, z 706.531
 49325692 (4823) module 47, x -12.3325, y -4.0575, z 661.531
 47227529 (4624) module 45, x -11.6175, y -3.8375, z 616.531
 45127341 (4431) module 43, x -9.6375, y -3.1775, z 497.982
 43027658 (4241) module 41, x -8.0425, y -2.6275, z 402.473
 40928481 (4032) module 39, x -6.7775, y -2.215, z 325.525
 38829812 (3815) module 37, x -5.7325, y -1.8575, z 263.531
 36732155 (3588) module 35, x  -5.32, y -1.7475, z 238.531

Track #33, length 11
 54111803 (5225) module 51, x -13.5725, y 15.9075, z 750.469
 52017995 (5026) module 49, x -12.83, y 15.0275, z 705.469
 49924443 (4824) module 47, x -12.0875, y 14.1475, z 660.469
 47830635 (4625) module 45, x -11.3725, y 13.2675, z 615.469
 45742484 (4432) module 43, x  -9.42, y 11.0125, z 496.921
 43652277 (4242) module 41, x -7.8525, y   9.17, z 401.411
 41561040 (4035) module 39, x -6.5875, y 7.7125, z 324.463
 39468517 (3816) module 37, x  -5.57, y 6.5575, z 262.469
 37373422 (3589) module 35, x -5.1575, y 6.0625, z 237.469
 35278071 (3356) module 33, x -4.7725, y 5.5675, z 212.469
 33182975 (3111) module 31, x -4.3325, y 5.1275, z 187.469

Track #34, length 9
 54113808 (5230) module 51, x -13.1325, y 18.2725, z 750.469
 52020260 (5030) module 49, x -12.3625, y 17.145, z 705.469
 49926713 (4828) module 47, x -11.565, y 16.0175, z 660.469
 47833421 (4631) module 45, x -10.7675, y 14.9175, z 615.469
 45745538 (4435) module 43, x -8.6775, y 12.0025, z 496.921
 43656109 (4245) module 41, x     -7, y 9.6375, z 401.411
 41565391 (4038) module 39, x -5.6525, y 7.7675, z 324.463
 39473386 (3821) module 37, x -4.5525, y 6.2825, z 262.469
 37378293 (3593) module 35, x -4.1125, y   5.65, z 237.469

Track #35, length 6
 53524614 (5233) module 51, x -11.7825, y -5.0475, z 751.531
 51425427 (5034) module 49, x -11.0675, y -4.6075, z 706.531
 49326240 (4832) module 47, x -10.325, y -4.1675, z 661.531
 47227310 (4634) module 45, x -9.5825, y  -3.81, z 616.531
 45126863 (4438) module 43, x -7.7675, y -3.0675, z 497.982
 43026922 (4248) module 41, x -6.2825, y -2.4625, z 402.473

Track #36, length 12
 53638800 (5235) module 51, x -11.2325, y -29.7975, z 751.531
 51533209 (5035) module 49, x -10.7375, y -27.9825, z 706.531
 49427619 (4833) module 47, x -10.1875, y -26.1675, z 661.531
 47322030 (4635) module 45, x -9.555, y -24.3525, z 616.531
 45202640 (4439) module 43, x -7.7125, y -19.4575, z 497.982
 43087339 (4249) module 41, x -6.2275, y -15.58, z 402.473
 40565379 (3850) module 38, x -4.7975, y -11.9475, z 312.463
 38463664 (3622) module 36, x -3.835, y -9.4725, z 250.469
 36364738 (3385) module 34, x  -3.45, y -8.455, z 225.469
 34265813 (3144) module 32, x -3.0375, y -7.4375, z 200.469
 32166887 (2905) module 30, x -2.6525, y -6.4475, z 175.469
 30067961 (2680) module 28, x -2.2675, y -5.4575, z 150.469

Track #37, length 6
 53496472 (5238) module 51, x -10.765, y 1.0025, z 751.531
 51399587 (5040) module 49, x -10.1875, y 0.9475, z 706.531
 49302702 (4836) module 47, x -9.5825, y 0.8925, z 661.531
 47205817 (4638) module 45, x -8.9775, y 0.8375, z 616.531
 45109206 (4441) module 43, x -7.36417, y 0.690834, z 497.982
 43012846 (4251) module 41, x -6.0625, y 0.5625, z 402.473

Track #38, length 5
 53519047 (5243) module 51, x -8.2075, y -3.8375, z 751.531
 51420879 (5045) module 49, x -7.7675, y -3.6175, z 706.531
 49322711 (4843) module 47, x -7.3275, y -3.3975, z 661.531
 47224543 (4646) module 45, x -6.8875, y -3.205, z 616.531
 45125108 (4451) module 43, x -5.7325, y -2.6825, z 497.982

Track #39, length 12
 54321715 (5248) module 51, x -7.3575, y 30.3175, z 751.531
 52222549 (5050) module 49, x -6.9175, y 28.4475, z 706.531
 50123383 (4849) module 47, x -6.4775, y 26.5775, z 661.531
 48024216 (4651) module 45, x -6.0375, y 24.735, z 616.531
 45921522 (4460) module 43, x -4.8275, y 19.8125, z 497.982
 43670588 (4260) module 41, x -3.8925, y 15.825, z 401.411
 41577078 (4043) module 39, x -3.1225, y 12.635, z 324.463
 39483045 (3827) module 37, x -2.4625, y 10.0775, z 262.469
 37386936 (3597) module 35, x -2.2425, y 9.0325, z 237.469
 35291083 (3364) module 33, x -1.9675, y 7.9875, z 212.469
 33194973 (3122) module 31, x -1.7475, y 6.9975, z 187.469
 31099120 (2885) module 29, x -1.4725, y 5.9525, z 162.469

Track #40, length 6
