Track #0, length 13
 49289072 (2335) module 47, x -12.9925, y 3.8075, z 661.531
 47192959 (2235) module 45, x -12.1675, y   3.56, z 616.531
 45098920 (2139) module 43, x -9.9125, y 2.9275, z 497.982
 43004361 (2044) module 41, x -8.0975, y 2.3775, z 402.473
 40909283 (1947) module 39, x -6.6675, y 1.9375, z 325.525
 38813689 (1842) module 37, x -5.4575, y 1.6075, z 263.531

Track #11, length 7
 53553012 (2534) module 51, x -12.745, y -11.2625, z 751.531
 51452802 (2436) module 49, x -12.0025, y -10.6025, z 706.531
 49352591 (2340) module 47, x -11.2875, y -9.9425, z 661.531
 47252380 (2240) module 45, x -10.5725, y -9.2825, z 616.531
 45147839 (2145) module 43, x -8.6475, y -7.5775, z 497.982
 43044316 (2051) module 41, x -7.0525, y -6.2025, z 402.473
 40942067 (1952) module 39, x -5.7875, y -5.1025, z 325.525

Track #12, length 5
 54176456 (2556) module 51, x 0.397499, y 8.1525, z 750.469
 52079056 (2457) module 49, x 0.342499, y  7.685, z 705.469
 49981913 (2360) module 47, x 0.342499, y 7.2175, z 660.469
 47884514 (2260) module 45, x 0.314999, y 6.7225, z 615.469
 45787128 (2156) module 43, x 0.232498, y 5.5125, z 496.921

Track #13, length 11
 53768753 (2518) module 51, x  -30.4, y -32.0625, z 750.469
 51681879 (2420) module 49, x -28.3375, y -29.8625, z 705.469
 49595004 (2323) module 47, x -26.3025, y -27.6625, z 660.469
 47508130 (2221) module 45, x -24.2125, y -25.4625, z 615.469
 45203718 (2129) module 43, x -18.8225, y -19.7325, z 497.982
 43084630 (2037) module 41, x -14.4225, y -15.0025, z 402.473
 40969623 (1941) module 39, x -10.8475, y -11.1525, z 325.525
 38859211 (1835) module 37, x -7.9875, y -8.1825, z 263.531
 36756448 (1724) module 35, x -6.805, y -6.9725, z 238.531
 34653686 (1608) module 33, x -5.595, y -5.7625, z 213.531
 34274815 (1511) module 32, x -4.9625, y -5.1275, z 200.469

Track #14, length 14
 54411176 (2521) module 51, x -26.7725, y 23.855, z 751.531
 52306882 (2424) module 49, x -25.26, y 22.4525, z 706.531
 50202843 (2328) module 47, x -23.7475, y 21.0775, z 661.531
 48099060 (2228) module 45, x -22.2075, y 19.7025, z 616.531
 45701689 (2133) module 43, x -18.165, y 16.0175, z 496.921
 43619694 (2035) module 41, x -14.9475, y 13.1025, z 401.411
 41534872 (1938) module 39, x -12.3075, y 10.7925, z 324.463
 39447482 (1831) module 37, x -10.2175, y 8.9225, z 262.469
 37354184 (1719) module 35, x -9.3925, y 8.1525, z 237.469
 35260373 (1599) module 33, x  -8.54, y   7.41, z 212.469
 33167331 (1487) module 31, x -7.6875, y 6.6675, z 187.469
 31074032 (1374) module 29, x -6.8625, y 5.9525, z 162.469
 28980734 (1264) module 27, x -6.0375, y 5.1825, z 137.469
 26217213 (1154) module 25, x -5.2375, y 4.5225, z 113.531

Track #15, length 8
 53608493 (2525) module 51, x -16.6775, y -23.28, z 751.531
 51504194 (2428) module 49, x -15.495, y -21.685, z 706.531
 49399640 (2332) module 47, x -14.3125, y -20.09, z 661.531
 47295086 (2231) module 45, x -13.1025, y -18.495, z 616.531
 45178533 (2138) module 43, x -10.05, y -14.2875, z 497.982
 43065554 (2048) module 41, x -7.6025, y -10.905, z 402.473
 40956405 (1954) module 39, x  -5.65, y -8.1825, z 325.525
 38463481 (1745) module 36, x -3.7525, y -5.4575, z 250.469

Track #16, length 8
 53563990 (2530) module 51, x -14.4225, y -13.6275, z 751.531
 51463014 (2432) module 49, x -13.5425, y -12.8025, z 706.531
 49362038 (2336) module 47, x -12.6625, y -12.005, z 661.531
 47261318 (2236) module 45, x -11.7825, y -11.2075, z 616.531
 45154479 (2142) module 43, x -9.5275, y  -9.09, z 497.982
 43050447 (2046) module 41, x -7.7675, y -7.5225, z 402.473
 40947432 (1950) module 39, x -6.3925, y -6.2575, z 325.525
 38845436 (1844) module 37, x -5.2925, y -5.2125, z 263.531

Track #17, length 10
 54108985 (2531) module 51, x -14.1775, y  15.99, z 750.469
 52015434 (2433) module 49, x -13.38, y 15.0825, z 705.469
 49922139 (2337) module 47, x -12.5825, y 14.1475, z 660.469
 47828843 (2237) module 45, x -11.7575, y 13.2675, z 615.469
 45741463 (2141) module 43, x -9.6675, y 10.8475, z 496.921
 43651770 (2045) module 41, x -7.9625, y 8.9225, z 401.411
 41561046 (1948) module 39, x -6.5875, y 7.3825, z 324.463
 39469037 (1841) module 37, x  -5.46, y 6.1175, z 262.469
 37374198 (1728) module 35, x -4.9925, y 5.6225, z 237.469
 35279103 (1613) module 33, x -4.5525, y 5.1275, z 212.469

Track #18, length 4
 53517954 (2535) module 51, x -12.0025, y -3.6175, z 751.531
 51419532 (2437) module 49, x -11.425, y -3.3425, z 706.531
 49320855 (2341) module 47, x -10.8475, y  -3.04, z 661.531
 47222688 (2241) module 45, x -10.3525, y -2.7925, z 616.531

Track #19, length 11
 54130696 (2538) module 51, x -9.5025, y 18.685, z 750.469
 52036378 (2441) module 49, x -8.7875, y 17.7225, z 705.469
 49942316 (2346) module 47, x -8.1275, y 16.7325, z 660.469
 47848510 (2246) module 45, x -7.4125, y 15.7425, z 615.469
 45758832 (2151) module 43, x -5.8175, y 12.9925, z 496.921
 43667609 (2056) module 41, x -4.5525, y 10.7375, z 401.411
 41574587 (1958) module 39, x -3.6725, y   8.84, z 324.463
 39480280 (1846) module 37, x -3.0675, y 7.2725, z 262.469
 37383907 (1730) module 35, x -2.9025, y 6.6675, z 237.469
 35287790 (1615) module 33, x -2.6825, y 6.0625, z 212.469
 33191929 (1497) module 31, x -2.4075, y 5.4575, z 187.469

Track #20, length 5
 53508046 (2543) module 51, x -7.795, y -1.4725, z 751.531
 51410391 (2445) module 49, x -7.3275, y -1.3625, z 706.531
 49312991 (2349) module 47, x -6.8875, y -1.3075, z 661.531
 47215334 (2249) module 45, x -6.46583, y -1.21583, z 616.531
 45117435 (2153) module 43, x -5.3475, y -1.0325, z 497.982

Track #21, length 4
 53497310 (2545) module 51, x -6.9425, y 0.8375, z 751.531
 51400421 (2447) module 49, x -6.5575, y 0.7825, z 706.531
 49303532 (2351) module 47, x -6.145, y 0.7275, z 661.531
 47206644 (2251) module 45, x -5.7325, y 0.6725, z 616.531

Track #22, length 7
 54146944 (2550) module 51, x -5.9275, y 12.085, z 750.469
 52051341 (2452) module 49, x -5.5975, y 11.3975, z 705.469
 49955737 (2355) module 47, x -5.2675, y  10.71, z 660.469
 47860134 (2255) module 45, x -4.9375, y 10.0225, z 615.469
 45767111 (2154) module 43, x  -4.03, y 8.2075, z 496.921
 43673314 (2058) module 41, x -3.315, y 6.7225, z 401.411
 41578999 (1961) module 39, x -2.7375, y 5.5675, z 324.463

Track #23, length 4
 54154220 (2552) module 51, x -4.3875, y 6.1725, z 750.469
 52058098 (2453) module 49, x -4.1675, y  5.815, z 705.469
 49962233 (2356) module 47, x -3.8925, y 5.4575, z 660.469
 47866111 (2256) module 45, x -3.645, y 5.1275, z 615.469

Track #24, length 9
 54179336 (2557) module 51, x 1.0575, y 18.7125, z 750.469
 52082205 (2458) module 49, x 1.0575, y 17.5575, z 705.469
 49985073 (2362) module 47, x 1.0575, y  16.43, z 660.469
 47887942 (2261) module 45, x  1.085, y 15.3025, z 615.469
 45791101 (2158) module 43, x 1.1125, y  12.25, z 496.921
 43693994 (2061) module 41, x 1.1125, y 9.8025, z 401.411
 41596622 (1964) module 39, x  1.085, y 7.8225, z 324.463
 39499499 (1854) module 37, x 1.0575, y 6.2275, z 262.469
 37402358 (1738) module 35, x 1.0575, y  5.595, z 237.469

Track #25, length 5
 54196423 (2559) module 51, x 4.6875, y 8.2075, z 750.469
 52098000 (2460) module 49, x 4.4125, y 7.7125, z 705.469
 49999576 (2364) module 47, x  4.165, y  7.245, z 660.469
 47901153 (2263) module 45, x   3.89, y 6.7775, z 615.469
 45800696 (2159) module 43, x 3.1475, y 5.5125, z 496.921

Track #26, length 10
 53888047 (2517) module 51, x -30.5375, y -6.2125, z 750.469
 51793239 (2421) module 49, x -28.31, y -5.7175, z 705.469
 49698432 (2325) module 47, x -26.0825, y -5.2225, z 660.469
 47603622 (2223) module 45, x -23.965, y -4.7275, z 615.469
 45127948 (2132) module 43, x -18.4925, y -3.3425, z 497.982
 43026526 (2039) module 41, x -13.9825, y -2.435, z 402.473
 40926111 (1943) module 39, x -10.4075, y -1.6925, z 325.525
 38826707 (1838) module 37, x -7.5475, y -1.1975, z 263.531
 36728808 (1726) module 35, x -6.3925, y -1.0325, z 238.531
 34630909 (1611) module 33, x -5.2375, y -0.8675, z 213.531

Track #27, length 7
 53487161 (2527) module 51, x -16.0175, y 2.9825, z 751.531
 51391052 (2429) module 49, x -14.9725, y 2.7625, z 706.531
 49294944 (2333) module 47, x -13.8725, y 2.5425, z 661.531
 47198836 (2233) module 45, x -12.7725, y 2.3225, z 616.531
 45104296 (2140) module 43, x -9.9125, y 1.7725, z 497.982
 43009235 (2049) module 41, x -7.5475, y 1.3325, z 402.473
 40913653 (1953) module 39, x -5.6775, y 1.0025, z 325.525

Track #28, length 7
 53548133 (2532) module 51, x -13.5975, y -10.2175, z 751.531
 51448179 (2434) module 49, x -12.8275, y -9.6125, z 706.531
 49348481 (2338) module 47, x -12.03, y  -8.98, z 661.531
 47248784 (2238) module 45, x -11.2325, y -8.4025, z 616.531
 45144501 (2144) module 43, x -9.1975, y -6.8625, z 497.982
 43041492 (2050) module 41, x -7.4925, y -5.5975, z 402.473
 40939500 (1951) module 39, x -6.1725, y  -4.58, z 325.525

Track #29, length 7
 53509774 (2537) module 51, x -11.3425, y -1.8575, z 751.531
 51411863 (2438) module 49, x -10.8475, y  -1.72, z 706.531
 49313952 (2342) module 47, x -10.325, y -1.5275, z 661.531
 47216299 (2242) module 45, x -9.7475, y -1.445, z 616.531
 45118665 (2147) module 43, x -8.07917, y -1.32583, z 497.982
 43020772 (2053) module 41, x -6.6125, y -1.1425, z 402.473
 40922873 (1956) module 39, x -5.4575, y -0.9775, z 325.525

Track #30, length 7
 53561525 (2540) module 51, x -9.1975, y -13.0775, z 751.531
 51460798 (2442) module 49, x -8.675, y -12.3075, z 706.531
 49360072 (2345) module 47, x -8.1525, y -11.565, z 661.531
 47259602 (2245) module 45, x -7.6025, y -10.8225, z 616.531
 45153516 (2150) module 43, x -6.1725, y -8.7875, z 497.982
 42662878 (1969) module 40, x  -4.88, y -6.9425, z 389.411
 40561654 (1861) module 38, x -3.9725, y -5.6225, z 312.463

Track #31, length 9
 53634512 (2544) module 51, x -7.685, y -28.8625, z 751.531
 51528154 (2446) module 49, x -7.1625, y -26.8825, z 706.531
 49421796 (2350) module 47, x -6.6125, y -24.9025, z 661.531
 47315949 (2250) module 45, x -6.1175, y -22.9225, z 616.531
 44758565 (2066) module 42, x -4.5775, y -17.1175, z 484.921
 42656114 (1971) module 40, x  -3.45, y -12.8825, z 389.411
 40554927 (1863) module 38, x -2.5425, y -9.5275, z 312.463
 38454497 (1747) module 36, x -1.8275, y -6.7775, z 250.469
 36356085 (1629) module 34, x -1.5525, y -5.6775, z 225.469

Track #32, length 4
 53525985 (2546) module 51, x  -6.75, y -5.3225, z 751.531
 51427305 (2448) module 49, x -6.3375, y -4.9925, z 706.531
 49328624 (2352) module 47, x -5.9525, y -4.6625, z 661.531
 47230199 (2253) module 45, x -5.5675, y -4.3875, z 616.531

Track #33, length 4
 53499880 (2547) module 51, x -6.3925, y 0.2875, z 751.531
 51402734 (2449) module 49, x -6.035, y 0.2875, z 706.531
 49305845 (2354) module 47, x  -5.65, y 0.2325, z 661.531
 47208700 (2254) module 45, x -5.2925, y 0.2325, z 616.531

Track #34, length 4
 54156506 (2553) module 51, x -3.865, y 7.1625, z 750.469
 52060641 (2454) module 49, x -3.6175, y 6.7775, z 705.469
 49964521 (2357) module 47, x -3.3975, y 6.3375, z 660.469
 47868400 (2257) module 45, x -3.1775, y 5.9525, z 615.469

Track #35, length 13
 54279776 (2558) module 51, x 1.6625, y 27.8425, z 751.531
 52183421 (2459) module 49, x 1.4975, y 26.2475, z 706.531
 50087067 (2363) module 47, x 1.3325, y 24.5975, z 661.531
 47990456 (2262) module 45, x 1.2225, y 23.0025, z 616.531
 45790473 (2157) module 43, x 1.0025, y  18.63, z 496.921
 43692617 (2060) module 41, x 0.837498, y 15.1375, z 401.411
 41595004 (1963) module 39, x 0.727501, y 12.3325, z 324.463
 39497125 (1853) module 37, x   0.59, y 10.0775, z 262.469
 37399733 (1737) module 35, x  0.535, y   9.17, z 237.469
 35302342 (1622) module 33, x   0.48, y 8.2625, z 212.469
 33204951 (1505) module 31, x 0.397499, y 7.3275, z 187.469
 31107559 (1389) module 29, x 0.342499, y 6.4475, z 162.469
 29010168 (1276) module 27, x 0.287498, y 5.5125, z 137.469

Track #36, length 5
 53149645 (2461) module 50, x -5.0725, y -7.8775, z 738.469
 51051221 (2365) module 48, x -4.7975, y -7.4375, z 693.469
 48952798 (2265) module 46, x -4.5225, y -6.9425, z 648.469
 46854374 (2160) module 44, x -4.2475, y -6.5025, z 603.469
 44753661 (2067) module 42, x -3.4775, y -5.2375, z 484.921

Track #37, length 4
 53132761 (2465) module 50, x -1.4425, y -7.2175, z 738.469
 51035361 (2369) module 48, x -1.3875, y -6.7775, z 693.469
 48937705 (2269) module 46, x -1.2775, y -6.3375, z 648.469
 46840304 (2164) module 44, x -1.2225, y -5.9525, z 603.469

Track #38, length 5
 53123513 (2468) module 50, x 0.537502, y -8.9775, z 738.469
 51026371 (2373) module 48, x 0.537502, y -8.4275, z 693.469
 48929485 (2273) module 46, x 0.482502, y -7.8775, z 648.469
 46832598 (2168) module 44, x 0.427502, y -7.355, z 603.469
 44735728 (2072) module 42, x 0.372501, y -5.9525, z 484.921

Track #39, length 6
 53116330 (2472) module 50, x 2.0775, y -9.8025, z 738.469
 51019700 (2377) module 48, x 1.9675, y -9.2525, z 693.469
 48923071 (2276) module 46, x   1.83, y -8.6475, z 648.469
 46826697 (2171) module 44, x 1.6925, y -8.0975, z 603.469
 44731108 (2076) module 42, x 1.3625, y -6.585, z 484.921
 42635003 (1978) module 40, x 1.1425, y -5.3475, z 389.411

Track #40, length 4
 53113811 (2475) module 50, x    2.6, y -7.5475, z 738.469
 51017435 (2381) module 48, x 2.4625, y -7.1075, z 693.469
 48921059 (2278) module 46, x 2.2975, y -6.6675, z 648.469
 46824683 (2173) module 44, x 2.1325, y -6.2275, z 603.469

Track #41, length 9
 53106498 (2481) module 50, x 4.1675, y -15.495, z 738.469
 51010387 (2385) module 48, x 3.9475, y -14.5875, z 693.469
 48914019 (2282) module 46, x  3.755, y -13.7075, z 648.469
 46817908 (2177) module 44, x 3.5625, y -12.7725, z 603.469
 44723615 (2079) module 42, x 2.9575, y -10.4075, z 484.921
 42628802 (1981) module 40, x 2.4625, y -8.4825, z 389.411
 40533725 (1872) module 38, x 2.0225, y -6.9975, z 312.463
 38438132 (1754) module 36, x  1.665, y -5.7325, z 250.469
 36341757 (1636) module 34, x 1.5275, y -5.2375, z 225.469

Track #42, length 12
 53267801 (2484) module 50, x 6.2025, y -28.2275, z 739.531
 51169144 (2389) module 48, x 5.8725, y -26.5225, z 694.531
 49070230 (2286) module 46, x 5.4875, y -24.845, z 649.531
 46971317 (2181) module 44, x 5.1025, y -23.1675, z 604.531
 44718089 (2084) module 42, x 4.1125, y -18.6575, z 484.921
 42624842 (1984) module 40, x 3.2875, y -15.055, z 389.411
 40530815 (1874) module 38, x 2.6275, y -12.1675, z 312.463
 38436010 (1756) module 36, x 2.1325, y -9.8025, z 250.469
 36339899 (1638) module 34, x 1.9125, y -8.8675, z 225.469
 34243532 (1520) module 32, x   1.72, y -7.9325, z 200.469
 32147421 (1401) module 30, x 1.5275, y -6.9975, z 175.469
 30051310 (1292) module 28, x 1.3075, y -6.035, z 150.469

Track #43, length 8
 52516559 (2491) module 50, x 7.7675, y 13.875, z 739.531
 50415832 (2393) module 48, x 7.2725, y 13.0775, z 694.531
 48314848 (2290) module 46, x 6.8325, y 12.2525, z 649.531
 46213864 (2185) module 44, x 6.3925, y 11.4275, z 604.531
 44106750 (2087) module 42, x 5.1825, y 9.2825, z 485.982
 43708879 (2062) module 41, x 4.3025, y 7.7675, z 401.411
 41608169 (1965) module 39, x 3.5325, y 6.3375, z 324.463
 39508221 (1856) module 37, x 2.9275, y 5.2375, z 262.469

Track #44, length 6
 52501176 (2495) module 50, x  9.005, y 10.5475, z 739.531
 50400962 (2397) module 48, x  8.455, y 9.8875, z 694.531
 48301004 (2294) module 46, x 7.9325, y 9.2825, z 649.531
 46201302 (2188) module 44, x 7.3825, y 8.6225, z 604.531
 44096496 (2090) module 42, x 5.9525, y 6.9725, z 485.982
 43711731 (2064) module 41, x 4.9075, y 5.7875, z 401.411

Track #45, length 6
 52488103 (2500) module 50, x 9.9675, y 7.6325, z 739.531
 50388914 (2401) module 48, x 9.3625, y 7.1925, z 694.531
 48289724 (2299) module 46, x 8.8125, y 6.7525, z 649.531
 46190535 (2193) module 44, x 8.2075, y 6.3125, z 604.531
 44087779 (2095) module 42, x 6.6675, y 5.1025, z 485.982
 41986298 (1991) module 40, x 5.4025, y 4.1675, z 390.473

Track #46, length 6
 52475765 (2505) module 50, x 12.7175, y 4.9925, z 739.531
 50378374 (2405) module 48, x 11.7825, y 4.9375, z 694.531
 48280982 (2303) module 46, x 10.875, y 4.8825, z 649.531
 46183335 (2198) module 44, x 9.93083, y 4.79083, z 604.531
 44085460 (2098) module 42, x  7.465, y 4.6075, z 485.982
 41987577 (1992) module 40, x 5.4575, y 4.4425, z 390.473

Track #47, length 9
 52472883 (2508) module 50, x 16.3475, y 4.3875, z 739.531
 50374469 (2409) module 48, x 15.3575, y 4.1125, z 694.531
 48276310 (2308) module 46, x 14.4225, y 3.8925, z 649.531
 46177896 (2201) module 44, x 13.4325, y 3.6175, z 604.531
 44077462 (2105) module 42, x 10.9025, y 2.9025, z 485.982
 41977787 (1999) module 40, x 8.8675, y 2.3525, z 390.473
 39878617 (1882) module 38, x 7.2175, y 1.9125, z 313.525
 37779953 (1761) module 36, x 5.8975, y 1.5825, z 251.531
 35682043 (1639) module 34, x 5.3475, y 1.4175, z 226.531

Track #48, length 13
 52979898 (2514) module 50, x 31.6125, y -8.9225, z 738.469
 50891460 (2415) module 48, x 29.7425, y -8.3725, z 693.469
 48803021 (2315) module 46, x 27.8725, y  -7.85, z 648.469
 46714583 (2208) module 44, x 26.0025, y -7.3275, z 603.469
 44639984 (2112) module 42, x 21.025, y -5.9525, z 484.921
 41944358 (2010) module 40, x 17.0625, y -4.7975, z 390.473
 39851617 (1891) module 38, x 13.8175, y -3.8625, z 313.525
 37757841 (1772) module 36, x 11.1775, y  -3.12, z 251.531
 35662244 (1654) module 34, x 10.105, y -2.8175, z 226.531
 33566648 (1534) module 32, x 9.0325, y -2.4875, z 201.531
 31470795 (1416) module 30, x   7.96, y -2.2125, z 176.531
 29375199 (1300) module 28, x 6.8875, y -1.8825, z 151.531
 27279346 (1176) module 26, x  5.815, y -1.6075, z 126.531

Track #49, length 5
 53146316 (2462) module 50, x -4.3575, y -7.9325, z 738.469
 51047892 (2366) module 48, x -4.0825, y -7.4925, z 693.469
 48949469 (2266) module 46, x -3.835, y -6.9975, z 648.469
 46851302 (2161) module 44, x -3.5875, y -6.5025, z 603.469
 44751100 (2068) module 42, x -2.9275, y -5.2925, z 484.921
