Track #0, length 13
 54045029 (515) module 51, x -28.0375, y 13.5975, z 750.469
 51955572 (499) module 49, x -26.3875, y 12.7725, z 705.469
 49865858 (483) module 47, x -24.7925, y 11.975, z 660.469
 47775889 (466) module 45, x -23.17, y 11.1775, z 615.469
 45698744 (446) module 43, x -18.8525, y 9.0325, z 496.921
 43617495 (425) module 41, x -15.415, y    7.3, z 401.411
 41533425 (402) module 39, x -12.6375, y 5.8975, z 324.463
 38798751 (377) module 37, x -10.4075, y 4.7975, z 263.531
 36703663 (352) module 35, x -9.5275, y 4.3575, z 238.531
 34608576 (326) module 33, x -8.5925, y   3.89, z 213.531
 32513744 (299) module 31, x -7.7125, y 3.4225, z 188.531
 30418657 (268) module 29, x -6.7775, y 2.9825, z 163.531
 28323569 (235) module 27, x  -5.87, y  2.515, z 138.531

Track #1, length 6
 53550539 (520) module 51, x -7.9875, y -10.74, z 751.531
 51450579 (503) module 49, x -7.5475, y -10.1075, z 706.531
 49350619 (487) module 47, x  -7.08, y -9.5025, z 661.531
 47250916 (470) module 45, x -6.6125, y -8.8425, z 616.531
 45146106 (453) module 43, x -5.4025, y -7.1925, z 497.982
 42660084 (412) module 40, x -4.275, y -5.705, z 389.411

Track #2, length 13
 54399672 (516) module 51, x -24.2975, y 23.0025, z 751.531
 52296400 (500) module 49, x -22.8675, y 21.6825, z 706.531
 50192616 (484) module 47, x -21.4375, y 20.3625, z 661.531
 47790595 (467) module 45, x -19.9525, y 18.9875, z 615.469
 45710659 (447) module 43, x -16.2675, y 15.4675, z 496.921
 43627383 (426) module 41, x -13.2975, y 12.6075, z 401.411
 41541280 (403) module 39, x -10.9325, y 10.325, z 324.463
 39452866 (378) module 37, x  -8.98, y 8.4825, z 262.469
 37359055 (353) module 35, x -8.2375, y   7.74, z 237.469
 35265501 (327) module 33, x  -7.44, y 6.9975, z 212.469
 33172203 (301) module 31, x -6.6425, y 6.2275, z 187.469
 31078648 (270) module 29, x -5.8725, y 5.5125, z 162.469
 28313087 (237) module 27, x -5.1275, y 4.7975, z 138.531

Track #3, length 12
 54071869 (517) module 51, x -22.1525, y 15.7975, z 750.469
 51980622 (501) module 49, x -20.8875, y 14.8625, z 705.469
 49889375 (485) module 47, x -19.595, y 13.9275, z 660.469
 47798384 (468) module 45, x -18.3025, y 12.965, z 615.469
 45717150 (448) module 43, x -14.8925, y 10.4625, z 496.921
 43632579 (427) module 41, x -12.1975, y 8.4275, z 401.411
 41545696 (406) module 39, x -9.9975, y 6.8325, z 324.463
 39456248 (380) module 37, x -8.2375, y 5.5125, z 262.469
 36700627 (356) module 35, x -7.5475, y 5.0175, z 238.531
 34605792 (330) module 33, x -6.8325, y  4.495, z 213.531
 32511213 (303) module 31, x -6.1175, y 3.9725, z 188.531
 30416634 (272) module 29, x -5.375, y 3.4225, z 163.531

Track #4, length 14
 53656170 (519) module 51, x -13.3225, y -33.5375, z 751.531
 51550072 (502) module 49, x -12.5525, y -31.6125, z 706.531
 49443975 (486) module 47, x -11.7275, y -29.6875, z 661.531
 47337877 (469) module 45, x -10.9575, y -27.7625, z 616.531
