Track #0, length 11
 54006605 (3044) module 51, x -36.2875, y 14.9175, z 750.469
 51920479 (2934) module 49, x -33.9225, y 13.9275, z 705.469
 49834353 (2831) module 47, x -31.5575, y 12.9375, z 660.469
 47748227 (2722) module 45, x -29.1925, y 11.9475, z 615.469
 45680051 (2614) module 43, x -22.8675, y 9.3075, z 496.921
 43606489 (2485) module 41, x -17.78, y 7.2175, z 401.411
 41528568 (2356) module 39, x -13.655, y 5.5125, z 324.463
 38801567 (2212) module 37, x -10.4075, y  4.165, z 263.531
 36706999 (2071) module 35, x -9.0875, y  3.615, z 238.531
 34612431 (1929) module 33, x -7.7675, y 3.0925, z 213.531
 32517863 (1785) module 31, x  -6.42, y 2.5425, z 188.531

Track #1, length 11
 53804061 (3045) module 51, x  -31.5, y -24.4725, z 750.469
 51713859 (2936) module 49, x -29.4375, y -22.8775, z 705.469
 49624425 (2833) module 47, x -27.3475, y -21.2275, z 660.469
 47534735 (2724) module 45, x -25.2575, y -19.6325, z 615.469
 45457651 (2618) module 43, x -19.7575, y -15.3425, z 496.921
 43070532 (2490) module 41, x -15.4125, y -11.9775, z 402.473
 40960389 (2360) module 39, x -11.8375, y   -9.2, z 325.525
 38853561 (2216) module 37, x  -8.95, y -6.9725, z 263.531
 36752334 (2075) module 35, x -7.795, y -6.0925, z 238.531
 34650851 (1934) module 33, x  -6.64, y -5.1575, z 213.531
 32549625 (1791) module 31, x -5.4575, y -4.2775, z 188.531

Track #2, length 11
 54425534 (3047) module 51, x -29.8525, y 22.6725, z 751.531
 52319193 (2938) module 49, x -27.8725, y  21.16, z 706.531
 50212853 (2834) module 47, x -25.92, y 19.6475, z 661.531
 47772691 (2725) module 45, x -23.9125, y 18.1075, z 615.469
 45699163 (2619) module 43, x -18.7425, y 14.1475, z 496.921
 43621524 (2491) module 41, x -14.5625, y 10.985, z 401.411
 41540035 (2362) module 39, x -11.18, y 8.4275, z 324.463
 39455209 (2219) module 37, x -8.4575, y 6.3375, z 262.469
 37363192 (2078) module 35, x -7.3575, y 5.5125, z 237.469
 34605033 (1936) module 33, x  -6.31, y 4.6875, z 213.531
 32511486 (1794) module 31, x -5.1825, y 3.88083, z 188.531

Track #3, length 11
 53846595 (3050) module 51, x -29.41, y -15.2325, z 750.469
 51754343 (2942) module 49, x -27.4575, y -14.1875, z 705.469
 49661834 (2838) module 47, x -25.5325, y -13.1975, z 660.469
 47569581 (2728) module 45, x -23.6075, y -12.1525, z 615.469
 45156108 (2622) module 43, x -18.4925, y -9.5025, z 497.982
 43049558 (2493) module 41, x -14.3813, y -7.39875, z 402.473
 40944275 (2365) module 39, x -11.0675, y -5.625, z 325.525
 38840772 (2223) module 37, x -8.3725, y  -4.25, z 263.531
 36741079 (2080) module 35, x -7.3275, y   -3.7, z 238.531
 34641387 (1939) module 33, x -6.2275, y  -3.15, z 213.531
 32541950 (1795) module 31, x -5.1825, y -2.6275, z 188.531

Track #4, length 11
 53921607 (3052) module 51, x -29.2175, y   1.02, z 750.469
 51824234 (2944) module 49, x -27.2925, y 0.9375, z 705.469
 49726861 (2840) module 47, x -25.3675, y 0.8825, z 660.469
 47629488 (2731) module 45, x -23.4425, y 0.827499, z 615.469
 45109262 (2624) module 43, x -18.3825, y 0.6725, z 497.982
 43012696 (2495) module 41, x -14.3125, y 0.5625, z 402.473
 40916116 (2367) module 39, x -11.0125, y  0.425, z 325.525
 38819524 (2222) module 37, x -8.3725, y 0.3425, z 263.531
 36722647 (2081) module 35, x   -7.3, y 0.2875, z 238.531
 34625771 (1940) module 33, x -6.2275, y 0.2325, z 213.531
 32528638 (1793) module 31, x -5.1825, y 0.2325, z 188.531

Track #5, length 11
 53822054 (3055) module 51, x -27.5125, y -20.5125, z 750.469
 51730821 (2946) module 49, x -25.8075, y -19.22, z 705.469
 49639845 (2842) module 47, x -24.0475, y -17.9275, z 660.469
 47548868 (2732) module 45, x -22.315, y -16.6075, z 615.469
 45173273 (2625) module 43, x -17.7775, y -13.215, z 497.982
 43063388 (2497) module 41, x -14.0925, y -10.4375, z 402.473
 40956306 (2364) module 39, x -11.1225, y  -8.21, z 325.525
 38851006 (2217) module 37, x -8.7025, y -6.4225, z 263.531
 36750543 (2076) module 35, x  -7.74, y -5.7075, z 238.531
 34650081 (1933) module 33, x -6.7775, y -4.9925, z 213.531
