Track #0, length 15
 54460132 (2202) module 51, x -37.2958, y 20.5642, z 751.531
 52353018 (2110) module 49, x -35.1325, y 19.345, z 706.531
 49827859 (2024) module 47, x -32.905, y 18.1075, z 660.469
 47740969 (1935) module 45, x -30.7325, y 16.8975, z 615.469
 45670499 (1847) module 43, x -25.0125, y  13.68, z 496.921
 43594130 (1757) module 41, x -20.4475, y 11.095, z 401.411
 41513913 (1662) module 39, x -16.79, y 8.9775, z 324.463
 39430615 (1567) module 37, x -13.8475, y 7.3275, z 262.469
 37338851 (1469) module 35, x -12.6925, y   6.64, z 237.469
 35247344 (1367) module 33, x -11.4825, y 5.9525, z 212.469
 33155580 (1258) module 31, x -10.3275, y 5.2925, z 187.469
 30410677 (1146) module 29, x  -9.17, y 4.6875, z 163.531
 28316619 (1050) module 27, x -7.9875, y 4.0275, z 138.531
 26222561 (959) module 25, x -6.7775, y 3.3675, z 113.531
 24128503 (874) module 23, x -5.5675, y 2.7075, z 88.531

Track #1, length 14
 53870399 (2205) module 51, x -29.6575, y -10.035, z 750.469
 51775838 (2114) module 49, x -27.9525, y -9.4575, z 705.469
 49681276 (2027) module 47, x -26.3025, y -8.9075, z 660.469
 47586971 (1938) module 45, x -24.5975, y -8.3025, z 615.469
 45496811 (1849) module 43, x -20.17, y -6.8175, z 496.921
 43041582 (1761) module 41, x -16.6225, y -5.6525, z 402.473
 40939874 (1665) module 39, x -13.7625, y -4.6625, z 325.525
 38838924 (1571) module 37, x -11.4525, y -3.865, z 263.531
 36740509 (1474) module 35, x -10.5175, y -3.5625, z 238.531
 34641838 (1371) module 33, x -9.5825, y -3.2325, z 213.531
 32543167 (1262) module 31, x -8.6475, y -2.9025, z 188.531
 30444496 (1150) module 29, x -7.7125, y   -2.6, z 163.531
 28346081 (1057) module 27, x -6.7775, y -2.2975, z 138.531
 26247410 (964) module 25, x -5.8425, y -1.9675, z 113.531

Track #2, length 14
 53830740 (2207) module 51, x -28.475, y -18.6425, z 750.469
 51738482 (2116) module 49, x -26.8525, y -17.5975, z 705.469
 49646223 (2029) module 47, x -25.2575, y -16.5525, z 660.469
 47553965 (1940) module 45, x -23.6075, y -15.48, z 615.469
 45469946 (1851) module 43, x -19.3725, y -12.7025, z 496.921
 43063610 (1763) module 41, x -15.9625, y -10.4925, z 402.473
 40958572 (1668) module 39, x -13.2125, y -8.6775, z 325.525
 38854549 (1573) module 37, x -10.9575, y  -7.22, z 263.531
 36754853 (1476) module 35, x -10.0775, y -6.6425, z 238.531
 34654901 (1374) module 33, x  -9.17, y -6.0375, z 213.531
 32554950 (1265) module 31, x -8.2625, y -5.4325, z 188.531
 30454998 (1152) module 29, x -7.3825, y -4.855, z 163.531
 28355302 (1059) module 27, x -6.5025, y -4.2775, z 138.531
 26255351 (966) module 25, x -5.5675, y -3.6725, z 113.531

Track #3, length 14
 54050520 (2209) module 51, x -26.8825, y 7.2725, z 750.469
 51960543 (2118) module 49, x -25.3425, y 6.8875, z 705.469
 49870310 (2030) module 47, x -23.8575, y 6.5025, z 660.469
 47779821 (1941) module 45, x -22.3175, y   6.09, z 615.469
 45088782 (1852) module 43, x -18.3825, y 5.0725, z 497.982
 42995529 (1764) module 41, x -15.1375, y 4.2475, z 402.473
 40901496 (1669) module 39, x -12.5525, y   3.56, z 325.525
 38806942 (1574) module 37, x -10.4625, y 3.0375, z 263.531
 36710829 (1477) module 35, x -9.6375, y 2.8175, z 238.531
 34614716 (1375) module 33, x -8.785, y 2.5975, z 213.531
 32518604 (1266) module 31, x -7.9325, y 2.3775, z 188.531
 30422491 (1154) module 29, x -7.1075, y 2.1575, z 163.531
 28326378 (1060) module 27, x -6.2825, y 1.9375, z 138.531
 26230266 (968) module 25, x -5.4025, y   1.69, z 113.531

Track #4, length 12
 54407889 (2210) module 51, x -26.0575, y 21.6275, z 751.531
 52303337 (2120) module 49, x -24.4625, y 20.3075, z 706.531
 49874179 (2032) module 47, x -22.8675, y  18.96, z 660.469
 47784475 (1943) module 45, x -21.2725, y  17.64, z 615.469
 45706843 (1854) module 43, x -17.0925, y 14.1475, z 496.921
 43625357 (1766) module 41, x -13.7375, y  11.37, z 401.411
 41540790 (1672) module 39, x -11.0425, y 9.1425, z 324.463
 39453399 (1579) module 37, x -8.8425, y 7.3275, z 262.469
 37360356 (1482) module 35, x -7.9625, y  6.585, z 237.469
 35267314 (1381) module 33, x -7.0825, y 5.8425, z 212.469
 33174271 (1272) module 31, x -6.2025, y 5.1275, z 187.469
 30412026 (1164) module 29, x -5.375, y 4.4125, z 163.531

Track #5, length 9
 54065636 (2211) module 51, x -23.6375, y 6.6125, z 750.469
 51975148 (2122) module 49, x -22.07, y 6.1725, z 705.469
 49885428 (2034) module 47, x -20.5025, y 5.7325, z 660.469
 47795708 (1945) module 45, x -18.9075, y 5.2925, z 615.469
 45093456 (1858) module 43, x -14.7525, y 4.0825, z 497.982
 43000717 (1774) module 41, x -11.3975, y 3.1475, z 402.473
 40906942 (1680) module 39, x -8.7025, y  2.405, z 325.525
 38812646 (1589) module 37, x -6.5025, y    1.8, z 263.531
 36716790 (1493) module 35, x -5.6225, y 1.5525, z 238.531

Track #6, length 12
