Track #0, length 10
 53787926 (2286) module 51, x -31.8758, y -27.9008, z 750.469
 51697972 (2188) module 49, x -30.2625, y -26.3975, z 705.469
 49608017 (2092) module 47, x -28.64, y -24.8575, z 660.469
 47517296 (1995) module 45, x -26.9625, y -23.3725, z 615.469
 45438915 (1903) module 43, x -22.3975, y -19.3575, z 496.921
 43089415 (1795) module 41, x -18.74, y -16.0475, z 402.473
 40980030 (1677) module 39, x -15.7425, y -13.4075, z 325.525
 38872938 (1558) module 37, x -13.3225, y -11.2625, z 263.531
 36771707 (1441) module 35, x -12.3875, y -10.41, z 238.531
 34670477 (1327) module 33, x -11.3792, y -9.52083, z 213.531

Track #1, length 15
 53782857 (2288) module 51, x -29.1075, y -29.0375, z 750.469
 51693158 (2190) module 49, x -27.5125, y -27.4425, z 705.469
 49603202 (2094) module 47, x -25.9725, y -25.875, z 660.469
 47513503 (1998) module 45, x -24.3775, y -24.28, z 615.469
 45435370 (1904) module 43, x -20.225, y -20.1275, z 496.921
 43093033 (1798) module 41, x -16.8975, y -16.8175, z 402.473
 40983386 (1682) module 39, x -14.2025, y -14.1225, z 325.525
 38876033 (1562) module 37, x -12.03, y -11.9225, z 263.531
 36774801 (1445) module 35, x -11.1408, y -11.0608, z 238.531
 34673570 (1331) module 33, x -10.2425, y -10.19, z 213.531
 32572338 (1216) module 31, x -9.3625, y  -9.31, z 188.531
 30471618 (1108) module 29, x -8.4825, y  -8.43, z 163.531
 28370386 (1000) module 27, x -7.6025, y  -7.55, z 138.531
 26269410 (899) module 25, x -6.7225, y -6.6975, z 113.531
 24168178 (803) module 23, x -5.8425, y -5.8175, z 88.531

Track #2, length 14
 53816668 (2290) module 51, x -28.0625, y -21.64, z 750.469
 51724664 (2192) module 49, x -26.5225, y -20.5675, z 705.469
 49632659 (2096) module 47, x -25.0375, y -19.44, z 660.469
 47540911 (1999) module 45, x -23.4975, y -18.285, z 615.469
 45457914 (1905) module 43, x -19.3725, y -15.26, z 496.921
 43074102 (1800) module 41, x -16.155, y -12.7475, z 402.473
 40967270 (1684) module 39, x -13.5425, y -10.6575, z 325.525
 38862732 (1564) module 37, x -11.4525, y  -8.98, z 263.531
 36762779 (1447) module 35, x -10.6275, y -8.3475, z 238.531
 34662314 (1333) module 33, x -9.775, y -7.6325, z 213.531
 32561850 (1219) module 31, x -8.9225, y -6.9175, z 188.531
 30461385 (1111) module 29, x -8.0975, y -6.2025, z 163.531
 28361176 (1004) module 27, x -7.2725, y -5.5425, z 138.531
 26261224 (901) module 25, x -6.3925, y -4.9375, z 113.531

Track #3, length 14
 53790836 (2292) module 51, x -26.7425, y -27.3325, z 750.469
 51700622 (2194) module 49, x -25.3125, y -25.8475, z 705.469
 49610151 (2099) module 47, x -23.9375, y -24.39, z 660.469
 47519681 (2002) module 45, x -22.5075, y -22.8775, z 615.469
 45199878 (1908) module 43, x -18.8225, y -18.9075, z 497.982
 43087676 (1802) module 41, x -15.825, y -15.6625, z 402.473
 40978536 (1686) module 39, x -13.405, y -13.105, z 325.525
 38871950 (1567) module 37, x -11.315, y -11.0425, z 263.531
 36770974 (1450) module 35, x -10.4625, y -10.2175, z 238.531
 34669740 (1335) module 33, x -9.6925, y -9.365, z 213.531
 32569019 (1221) module 31, x -8.8675, y -8.485, z 188.531
 30467787 (1113) module 29, x -7.9875, y -7.5775, z 163.531
 28366554 (1007) module 27, x -7.1625, y -6.725, z 138.531
 26265833 (902) module 25, x -6.3375, y -5.9275, z 113.531

Track #4, length 17
 53743249 (2294) module 51, x -25.1475, y -37.5625, z 750.469
 51655593 (2198) module 49, x  -23.8, y -35.5275, z 705.469
 49567938 (2102) module 47, x -22.4525, y -33.4925, z 660.469
 47480283 (2006) module 45, x -21.0775, y -31.4575, z 615.469
 45233181 (1911) module 43, x -17.53, y -26.1675, z 497.982
 43116370 (1805) module 41, x -14.6425, y -21.8225, z 402.473
 41003132 (1689) module 39, x -12.3325, y -18.3575, z 325.525
 38892958 (1572) module 37, x -10.4625, y -15.5525, z 263.531
 36790444 (1454) module 35, x -9.6925, y -14.425, z 238.531
 34688186 (1339) module 33, x -8.9225, y -13.2975, z 213.531
 32585672 (1226) module 31, x -8.1525, y -12.1425, z 188.531
 30483157 (1118) module 29, x  -7.41, y -10.9875, z 163.531
 28380643 (1010) module 27, x -6.64917, y -9.85083, z 138.531
 26278897 (908) module 25, x -5.8975, y -8.7325, z 113.531
 24176383 (811) module 23, x -5.1275, y -7.5775, z 88.531
 23787741 (742) module 22, x -4.6875, y  -6.97, z 75.469
 21687026 (659) module 20, x -3.9175, y -5.8425, z 50.469

Track #5, length 5
 54067793 (2298) module 51, x -23.0325, y 14.6975, z 750.469
 51981157 (2202) module 49, x -20.7775, y 13.5975, z 705.469
 49894521 (2106) module 47, x -18.495, y 12.4975, z 660.469
 47808141 (2011) module 45, x -16.2125, y  11.37, z 615.469
 45738947 (1923) module 43, x -10.2175, y 8.4275, z 496.921

Track #6, length 12
 54088094 (2304) module 51, x -18.6875, y 10.4625, z 750.469
 51995817 (2207) module 49, x -17.6425, y 9.8575, z 705.469
 49903283 (2110) module 47, x -16.6525, y 9.3075, z 660.469
 47810749 (2013) module 45, x -15.6258, y 8.73917, z 615.469
 45726169 (1917) module 43, x -12.9675, y 7.2175, z 496.921
 43639023 (1812) module 41, x -10.795, y 6.0075, z 401.411
 40894647 (1697) module 39, x -9.0875, y 5.0725, z 325.525
 38801104 (1575) module 37, x -7.685, y 4.3025, z 263.531
 36705499 (1460) module 35, x -7.1075, y 3.9725, z 238.531
 34609893 (1344) module 33, x -6.5575, y 3.6425, z 213.531
 32514031 (1232) module 31, x -6.0075, y   3.34, z 188.531
 30418425 (1124) module 29, x  -5.43, y 3.0375, z 163.531

Track #7, length 10
 53596210 (2305) module 51, x -16.4025, y -20.5575, z 751.531
 51492933 (2208) module 49, x -15.3575, y -19.265, z 706.531
 49389911 (2112) module 47, x -14.3675, y -17.9725, z 661.531
 47286890 (2015) module 45, x -13.3225, y -16.7075, z 616.531
 45174170 (1921) module 43, x -10.6825, y -13.3525, z 497.982
 43064257 (1817) module 41, x  -8.51, y -10.6025, z 402.473
 40957409 (1702) module 39, x -6.7775, y  -8.43, z 325.525
 38852091 (1588) module 37, x -5.3475, y -6.6425, z 263.531
 38469610 (1478) module 36, x -5.0725, y -6.2825, z 250.469
 36369911 (1360) module 34, x -4.5225, y -5.5675, z 225.469

Track #8, length 10
 54104701 (2308) module 51, x -15.1125, y  12.25, z 750.469
 52011402 (2210) module 49, x -14.2875, y 11.5625, z 705.469
 49918102 (2114) module 47, x -13.4625, y 10.9025, z 660.469
 47824802 (2017) module 45, x -12.6375, y 10.2425, z 615.469
 45737922 (1922) module 43, x -10.4375, y 8.4825, z 496.921
 43648476 (1815) module 41, x -8.6775, y 7.0525, z 401.411
 41557744 (1701) module 39, x -7.3025, y 5.9525, z 324.463
 38797804 (1585) module 37, x -6.1725, y 5.0175, z 263.531
 36702196 (1466) module 35, x -5.7325, y   4.66, z 238.531
 34606844 (1349) module 33, x -5.2925, y 4.3025, z 213.531

Track #9, length 8
 53490254 (2309) module 51, x -14.8625, y 2.3225, z 751.531
 51393885 (2212) module 49, x -14.01, y 2.1575, z 706.531
 49297261 (2116) module 47, x -13.1575, y 2.0475, z 661.531
 47200893 (2018) module 45, x -12.2775, y 1.8825, z 616.531
 45105573 (1924) module 43, x -10.05, y 1.4975, z 497.982
 43009735 (1818) module 41, x -8.2075, y 1.2225, z 402.473
