Track #0, length 13
 54453633 (2187) module 51, x -35.9025, y 26.0275, z 751.531
 52346014 (2101) module 49, x -33.675, y 24.4325, z 706.531
 50238652 (2012) module 47, x -31.4475, y 22.7825, z 661.531
 48131290 (1925) module 45, x -29.2475, y 21.1325, z 616.531
 45678122 (1844) module 43, x -23.3213, y 16.8425, z 496.921
 43602537 (1758) module 41, x -18.605, y 13.3775, z 401.411
 41523355 (1670) module 39, x -14.7825, y 10.6275, z 324.463
 39440323 (1580) module 37, x -11.7208, y 8.40917, z 262.469
 37349076 (1493) module 35, x -10.4925, y 7.4925, z 237.469
 35257828 (1410) module 33, x -9.2275, y 6.6125, z 212.469
 33166068 (1327) module 31, x -7.9625, y 5.7325, z 187.469
 30409953 (1241) module 29, x -6.7775, y 4.8525, z 163.531
 28316920 (1163) module 27, x -5.5125, y 3.9725, z 138.531

Track #1, length 12
 54036107 (2191) module 51, x -29.9625, y 11.5075, z 750.469
 51947673 (2103) module 49, x -28.0925, y 10.7375, z 705.469
 49859494 (2013) module 47, x -26.1675, y 10.0225, z 660.469
 47771060 (1926) module 45, x -24.2975, y 9.2525, z 615.469
 45696471 (1847) module 43, x -19.3475, y 7.3275, z 496.921
 43617779 (1760) module 41, x -15.3875, y 5.7875, z 401.411
 40896894 (1672) module 39, x -12.2225, y   4.55, z 325.525
 38804653 (1582) module 37, x -9.6375, y 3.5325, z 263.531
 36709311 (1495) module 35, x  -8.62, y 3.1475, z 238.531
 34613970 (1412) module 33, x -7.6025, y 2.7625, z 213.531
 32518373 (1329) module 31, x -6.5575, y  2.405, z 188.531
 30423032 (1242) module 29, x -5.5125, y 2.0475, z 163.531

Track #2, length 13
 53904971 (2192) module 51, x -28.97, y -2.5825, z 750.469
 51808618 (2104) module 49, x -27.2925, y -2.4175, z 705.469
 49712265 (2014) module 47, x -25.5875, y -2.2525, z 660.469
 47616168 (1927) module 45, x -23.8825, y -2.0325, z 615.469
 45521145 (1846) module 43, x  -19.4, y -1.5925, z 496.921
 43020860 (1759) module 41, x -15.825, y -1.1975, z 402.473
 40922481 (1671) module 39, x -12.9375, y -0.9225, z 325.525
 38824091 (1581) module 37, x  -10.6, y -0.6475, z 263.531
 36726444 (1494) module 35, x -9.65583, y -0.574167, z 238.531
 34629310 (1411) module 33, x -8.7025, y -0.5375, z 213.531
 32531919 (1328) module 31, x -7.7675, y -0.4825, z 188.531
 30434528 (1240) module 29, x -6.8325, y -0.4275, z 163.531
 28337137 (1162) module 27, x -5.8975, y -0.3725, z 138.531

Track #3, length 12
 54417832 (2193) module 51, x -28.2025, y 23.8825, z 751.531
 52312771 (2105) module 49, x -26.4975, y 22.3975, z 706.531
 50207454 (2015) module 47, x -24.765, y 20.9125, z 661.531
 48102905 (1928) module 45, x -23.0325, y 19.4275, z 616.531
 45700675 (1848) module 43, x -18.4125, y 15.4675, z 496.921
 43620988 (1761) module 41, x -14.6725, y 12.305, z 401.411
 41537963 (1673) module 39, x -11.6475, y 9.7475, z 324.463
 39452368 (1583) module 37, x -9.1725, y 7.7125, z 262.469
 37359327 (1496) module 35, x -8.1825, y 6.8875, z 237.469
 35266798 (1413) module 33, x -7.1925, y 6.0625, z 212.469
 33174269 (1330) module 31, x -6.2025, y 5.2375, z 187.469
 30412028 (1243) module 29, x -5.265, y 4.4125, z 163.531

Track #4, length 12
 54390118 (2194) module 51, x -22.1525, y 27.5125, z 751.531
 52286596 (2106) module 49, x -20.7775, y 25.8625, z 706.531
 50183075 (2016) module 47, x -19.4025, y 24.1575, z 661.531
 48079809 (1929) module 45, x -18.0825, y 22.5075, z 616.531
 45719060 (1849) module 43, x -14.4525, y 18.025, z 496.921
 43635285 (1762) module 41, x -11.5925, y  14.45, z 401.411
 41548938 (1675) module 39, x -9.2825, y 11.5625, z 324.463
 39459764 (1584) module 37, x  -7.44, y 9.2525, z 262.469
 37366213 (1497) module 35, x -6.6975, y 8.3175, z 237.469
 35272662 (1414) module 33, x -5.9275, y 7.3825, z 212.469
 33178855 (1331) module 31, x -5.2125, y 6.4475, z 187.469
 31085304 (1244) module 29, x -4.4425, y 5.5125, z 162.469

Track #5, length 10
 53933270 (2195) module 51, x -21.3525, y 3.4675, z 750.469
 51835118 (2107) module 49, x -20.005, y 3.2475, z 705.469
 49292552 (2017) module 47, x -18.7125, y 3.0375, z 661.531
 47196448 (1930) module 45, x -17.3925, y 2.8175, z 616.531
 45101920 (1851) module 43, x -13.8725, y 2.2675, z 497.982
 43006867 (1764) module 41, x -11.0675, y 1.8275, z 402.473
 40911548 (1677) module 39, x -8.8125, y 1.4425, z 325.525
 38815710 (1588) module 37, x -6.9425, y 1.1675, z 263.531
 36719339 (1500) module 35, x -6.2275, y 1.0025, z 238.531
