Track #0, length 13
 43046077 (1518) module 41, x -8.7575, y -6.615, z 402.473
 40942049 (1447) module 39, x -6.7775, y  -5.13, z 325.525
 38839550 (1373) module 37, x -5.1825, y -3.9475, z 263.531

Track #8, length 7
 53572920 (1873) module 51, x -16.0358, y -15.5708, z 751.531
 51471180 (1800) module 49, x -14.9725, y -14.5625, z 706.531
 49369439 (1728) module 47, x -13.9275, y -13.5725, z 661.531
 47267442 (1656) module 45, x -12.8825, y -12.555, z 616.531
 45158052 (1588) module 43, x -10.1325, y -9.8875, z 497.982
 43051468 (1521) module 41, x -7.9325, y -7.7425, z 402.473
 40946157 (1450) module 39, x -6.1175, y  -6.01, z 325.525

Track #9, length 11
 53479481 (1874) module 51, x -15.9992, y 4.61417, z 751.531
 51383624 (1799) module 49, x -15.1925, y 4.3575, z 706.531
 49287511 (1727) module 47, x -14.3675, y 4.1375, z 661.531
 47191653 (1655) module 45, x -13.57, y 3.8625, z 616.531
 45097612 (1585) module 43, x -11.4525, y 3.2025, z 497.982
 43002796 (1515) module 41, x -9.6925, y 2.7075, z 402.473
 40907719 (1441) module 39, x -8.2075, y 2.2675, z 325.525
 38812125 (1365) module 37, x -6.9975, y   1.91, z 263.531
 36715750 (1288) module 35, x -6.5025, y 1.7725, z 238.531
 34619375 (1215) module 33, x -6.0075, y 1.6075, z 213.531
 32522744 (1138) module 31, x -5.5125, y   1.47, z 188.531

Track #10, length 10
 53522758 (1877) module 51, x -15.3025, y -4.6625, z 751.531
 51424597 (1801) module 49, x -14.4775, y -4.4425, z 706.531
 49326436 (1729) module 47, x -13.6525, y -4.2225, z 661.531
 47228275 (1657) module 45, x -12.8275, y -4.0025, z 616.531
 45128346 (1587) module 43, x -10.655, y -3.3975, z 497.982
 43029178 (1517) module 41, x -8.895, y -2.9575, z 402.473
 40930260 (1444) module 39, x -7.4925, y -2.5725, z 325.525
 38831593 (1367) module 37, x -6.3375, y -2.2425, z 263.531
 36733937 (1291) module 35, x -5.8975, y -2.1325, z 238.531
 34636026 (1218) module 33, x -5.4025, y -1.995, z 213.531

Track #11, length 7
 53491275 (1878) module 51, x -15.0275, y 2.1025, z 751.531
 51394653 (1802) module 49, x -14.0375, y  1.965, z 706.531
 49298286 (1730) module 47, x -13.075, y 1.8275, z 661.531
 47201664 (1658) module 45, x -12.1125, y   1.69, z 616.531
 45106351 (1591) module 43, x -9.5275, y 1.3325, z 497.982
 43010517 (1524) module 41, x -7.4375, y 1.0575, z 402.473
 40914675 (1451) module 39, x -5.7875, y 0.7825, z 325.525

Track #12, length 10
 53504343 (1880) module 51, x -14.34, y -0.7025, z 751.531
 51407205 (1803) module 49, x -13.5975, y -0.7025, z 706.531
 49309811 (1731) module 47, x -12.8275, y -0.6475, z 661.531
 47212417 (1659) module 45, x -12.0575, y -0.5925, z 616.531
 45114789 (1589) module 43, x -10.0775, y -0.4825, z 497.982
 43017409 (1519) module 41, x -8.5375, y -0.4275, z 402.473
 40919768 (1446) module 39, x -7.23583, y -0.335834, z 325.525
 38822379 (1368) module 37, x -6.2275, y  -0.29, z 263.531
 36725235 (1293) module 35, x -5.7875, y -0.2625, z 238.531
 34628090 (1217) module 33, x -5.4025, y -0.2625, z 213.531

Track #13, length 14
 54353361 (1881) module 51, x -14.26, y 21.6275, z 751.531
 52252901 (1804) module 49, x -13.5175, y 20.5275, z 706.531
 50152186 (1732) module 47, x -12.775, y 19.3725, z 661.531
 47827473 (1660) module 45, x -12.0325, y 18.2175, z 615.469
 45739591 (1590) module 43, x -10.0525, y 15.2475, z 496.921
 43649139 (1520) module 41, x -8.5125, y 12.8275, z 401.411
 41557910 (1445) module 39, x -7.2475, y 10.9025, z 324.463
 39465650 (1369) module 37, x -6.2025, y 9.3625, z 262.469
 37370301 (1292) module 35, x -5.8175, y 8.7575, z 237.469
 35275208 (1219) module 33, x -5.3775, y  8.125, z 212.469
