Track #0, length 12
 54009668 (6160) module 51, x -35.6275, y 15.4125, z 750.469
 51923030 (5877) module 49, x -33.3725, y 14.4225, z 705.469
 49836391 (5604) module 47, x -31.1175, y  13.46, z 660.469
 47749754 (5337) module 45, x -28.8625, y 12.4425, z 615.469
 45680041 (5073) module 43, x -22.8675, y   9.83, z 496.921
 43605200 (4812) module 41, x -18.0825, y 7.7125, z 401.411
 41526255 (4545) module 39, x -14.1775, y 6.0075, z 324.463
 38799250 (4276) module 37, x -11.1225, y 4.6875, z 263.531
 36704681 (4006) module 35, x -9.8465, y 4.0935, z 238.531
 34610112 (3728) module 33, x -8.5925, y 3.5875, z 213.531
 32515287 (3458) module 31, x -7.3275, y  3.065, z 188.531
 30420718 (3179) module 29, x -6.035, y 2.5425, z 163.531

Track #1, length 12
 54021803 (6163) module 51, x -33.0425, y 9.7475, z 750.469
 51934135 (5882) module 49, x -30.98, y 9.0875, z 705.469
 49846722 (5609) module 47, x -28.9175, y  8.455, z 660.469
 47759310 (5340) module 45, x -26.8275, y  7.795, z 615.469
 45687020 (5079) module 43, x -21.3825, y 6.1725, z 496.921
 42992679 (4816) module 41, x -16.98, y 4.8525, z 402.473
 40900712 (4550) module 39, x -13.4325, y 3.7525, z 325.525
 38807708 (4280) module 37, x -10.5725, y 2.8725, z 263.531
 36712113 (4010) module 35, x  -9.39, y 2.5425, z 238.531
 34616519 (3731) module 33, x -8.17083, y 2.19417, z 213.531
 32520926 (3464) module 31, x -6.9425, y 1.8825, z 188.531
 30425332 (3184) module 29, x -5.7325, y 1.5525, z 163.531

Track #2, length 15
 54023845 (6164) module 51, x -32.6025, y 10.0775, z 750.469
 51935151 (5883) module 49, x -30.76, y 9.5275, z 705.469
 49846457 (5608) module 47, x -28.945, y   8.95, z 660.469
 47758020 (5339) module 45, x -27.1025, y 8.3725, z 615.469
 45682654 (5074) module 43, x -22.3175, y  6.915, z 496.921
 43603444 (4811) module 41, x -18.44, y 5.7325, z 401.411
 40895813 (4542) module 39, x -15.3575, y   4.77, z 325.525
 38802291 (4268) module 37, x -12.8275, y      4, z 263.531
 36706693 (3996) module 35, x -11.8375, y 3.6975, z 238.531
 34611095 (3714) module 33, x -10.82, y 3.3675, z 213.531
 32515498 (3442) module 31, x -9.8025, y 3.0375, z 188.531
 30419644 (3159) module 29, x -8.785, y 2.7625, z 163.531
 28324047 (2887) module 27, x -7.7675, y 2.4325, z 138.531
 26228449 (2628) module 25, x  -6.75, y 2.1025, z 113.531
 24132596 (2376) module 23, x -5.7325, y    1.8, z 88.531

Track #3, length 6
 53812495 (6165) module 51, x -32.2975, y -22.5475, z 750.469
 51728715 (5888) module 49, x -28.9975, y -19.6875, z 705.469
 49644934 (5615) module 47, x -25.725, y -16.8275, z 660.469
 47561153 (5351) module 45, x -22.5075, y -13.94, z 615.469
 45142365 (5102) module 43, x -14.01, y -6.4225, z 497.982
 43016922 (4866) module 41, x -7.135, y -0.3175, z 402.473

Track #4, length 13
 53858833 (6166) module 51, x -32.1875, y -12.5925, z 750.469
 51765301 (5884) module 49, x -30.2075, y -11.8225, z 705.469
 49671768 (5610) module 47, x -28.255, y -11.0525, z 660.469
 47578236 (5341) module 45, x -26.275, y -10.2825, z 615.469
 45490139 (5080) module 43, x -21.0775, y -8.2475, z 496.921
 43045928 (4817) module 41, x -16.9525, y -6.5875, z 402.473
 40942694 (4549) module 39, x -13.5425, y -5.2675, z 325.525
 38840727 (4277) module 37, x -10.8475, y -4.2225, z 263.531
 36741547 (4007) module 35, x -9.7475, y -3.7825, z 238.531
 34642367 (3726) module 33, x -8.6475, y -3.3425, z 213.531
 32543187 (3457) module 31, x -7.5475, y -2.9025, z 188.531
 30444007 (3174) module 29, x -6.4475, y -2.4625, z 163.531
 28344827 (2906) module 27, x -5.3475, y  -2.05, z 138.531

Track #5, length 14
 53760792 (6167) module 51, x -31.775, y -33.7675, z 750.469
 51673148 (5885) module 49, x -29.8225, y -31.705, z 705.469
 49585759 (5611) module 47, x -27.8975, y -29.6425, z 660.469
