Track #0, length 11
 35281117 (771) module 33, x -4.09417, y 6.96083, z 212.469
 33187058 (705) module 31, x -3.43417, y 5.80583, z 187.469

Track #8, length 6
 54090923 (1368) module 51, x -18.055, y 9.7475, z 750.469
 51999671 (1302) module 49, x -16.8175, y 9.0875, z 705.469
 49908163 (1232) module 47, x -15.6075, y 8.4275, z 660.469
 47816656 (1158) module 45, x -14.3975, y 7.7125, z 615.469
 45733619 (1089) module 43, x -11.345, y 5.7875, z 496.921
 42994106 (1028) module 41, x -8.9225, y 4.5775, z 402.473

Track #9, length 10
 53616661 (1369) module 51, x -17.97, y -25.0675, z 751.531
 51511851 (1304) module 49, x -16.7875, y -23.445, z 706.531
 49407808 (1231) module 47, x -15.6325, y -21.8225, z 661.531
 47302997 (1156) module 45, x -14.4775, y -20.1725, z 616.531
 45185933 (1087) module 43, x -11.3975, y -15.8825, z 497.982
 43072698 (1027) module 41, x -8.9225, y -12.4175, z 402.473
 40962527 (967) module 39, x -6.8875, y -9.6125, z 325.525
 38855420 (909) module 37, x -5.2925, y -7.3575, z 263.531
 38469087 (848) module 36, x -4.9625, y -6.8875, z 250.469
 36368879 (778) module 34, x -4.3025, y  -5.98, z 225.469

Track #10, length 4
 54113277 (1378) module 51, x -13.2975, y 5.2375, z 750.469
 51380599 (1312) module 49, x -12.6075, y 5.0175, z 706.531
 49284740 (1240) module 47, x -11.8925, y 4.7425, z 661.531
 47188881 (1165) module 45, x -11.1775, y 4.4675, z 616.531

Track #11, length 6
 53532326 (1380) module 51, x -10.0225, y -6.6975, z 751.531
 51433392 (1314) module 49, x -9.4725, y -6.3125, z 706.531
 49334459 (1242) module 47, x -8.8675, y -5.9275, z 661.531
 47235525 (1168) module 45, x -8.3175, y  -5.57, z 616.531
 45133792 (1095) module 43, x -6.8325, y -4.5525, z 497.982
 43032822 (1033) module 41, x -5.6225, y -3.755, z 402.473

Track #12, length 5
 53502895 (1382) module 51, x -9.5275, y -0.3725, z 751.531
 51405754 (1316) module 49, x -8.9225, y -0.3725, z 706.531
 49308357 (1245) module 47, x  -8.29, y -0.3175, z 661.531
 47211217 (1170) module 45, x -7.6575, y -0.3175, z 616.531
 45113582 (1097) module 43, x -6.035, y -0.235, z 497.982

Track #13, length 5
 53540542 (1384) module 51, x -8.7025, y -8.4575, z 751.531
 51441351 (1318) module 49, x -8.2075, y -8.0175, z 706.531
 49341904 (1247) module 47, x -7.7125, y -7.5225, z 661.531
 47242457 (1171) module 45, x -7.2175, y -7.0275, z 616.531
 45139440 (1098) module 43, x -5.9525, y -5.7625, z 497.982

Track #14, length 5
 53500363 (1386) module 51, x -7.9875, y   0.15, z 751.531
 51403220 (1320) module 49, x -7.4925, y   0.15, z 706.531
 49306078 (1250) module 47, x -6.9425, y   0.15, z 661.531
 47209191 (1175) module 45, x -6.4475, y 0.1225, z 616.531
 45112063 (1104) module 43, x -5.1275, y 0.1225, z 497.982

Track #15, length 5
 53530575 (1388) module 51, x -7.7675, y -6.3125, z 751.531
 51431639 (1322) module 49, x -7.3275, y -5.9275, z 706.531
 49332959 (1251) module 47, x -6.8875, y -5.5975, z 661.531
 47234023 (1176) module 45, x -6.4475, y  -5.24, z 616.531
 45132540 (1102) module 43, x -5.2925, y -4.305, z 497.982

Track #16, length 12
 53610474 (1390) module 51, x -6.2825, y -23.6925, z 751.531
 51507439 (1324) module 49, x -6.0075, y -22.3175, z 706.531
 49404149 (1253) module 47, x -5.6775, y -20.9975, z 661.531
 47300603 (1178) module 45, x -5.3475, y -19.6225, z 616.531
 44757311 (1039) module 42, x -4.3025, y -15.6875, z 484.921
 42656883 (977) module 40, x -3.5875, y  -12.8, z 389.411
 40556958 (916) module 38, x -2.9825, y -10.435, z 312.463
 38457281 (852) module 36, x -2.4325, y -8.5375, z 250.469
 36358863 (782) module 34, x -2.185, y -7.7675, z 225.469
 34260956 (712) module 32, x -1.9925, y -7.025, z 200.469
 32162793 (649) module 30, x   -1.8, y  -6.31, z 175.469
 30064887 (587) module 28, x -1.6075, y -5.5675, z 150.469

Track #17, length 5
 54158271 (1393) module 51, x -3.5075, y 8.6475, z 750.469
 52062153 (1327) module 49, x -3.2875, y 8.0975, z 705.469
 49966035 (1255) module 47, x -3.0675, y 7.5475, z 660.469
 47869918 (1181) module 45, x -2.8475, y 6.9425, z 615.469
 45775609 (1106) module 43, x -2.2425, y 5.4575, z 496.921

Track #18, length 6
 54181229 (1395) module 51, x 1.4425, y 13.1575, z 750.469
 52083582 (1329) module 49, x 1.3325, y 12.195, z 705.469
 49986190 (1257) module 47, x 1.2775, y 11.3425, z 660.469
 47888541 (1183) module 45, x 1.1675, y 10.5175, z 615.469
 45790149 (1108) module 43, x 0.929169, y 8.28083, z 496.921
 43692262 (1036) module 41, x 0.727501, y 6.5025, z 401.411

Track #19, length 15
 54034984 (1353) module 51, x -30.1825, y 16.9525, z 750.469
 51945785 (1287) module 49, x -28.4775, y 16.0175, z 705.469
 49856586 (1216) module 47, x -26.7725, y 15.055, z 660.469
 47767388 (1142) module 45, x -25.0675, y 14.0925, z 615.469
 45690506 (1073) module 43, x -20.6125, y 11.5625, z 496.921
 43610287 (1012) module 41, x -16.9825, y 9.5275, z 401.411
 41526732 (948) module 39, x -14.0675, y  7.905, z 324.463
 39440612 (888) module 37, x -11.7025, y  6.585, z 262.469
 37347822 (822) module 35, x -10.7675, y 6.0625, z 237.469
 35255032 (752) module 33, x -9.8325, y 5.5125, z 212.469
 32506298 (687) module 31, x -8.9225, y 5.0175, z 188.531
 30411723 (627) module 29, x -7.9875, y 4.4675, z 163.531
 28316892 (571) module 27, x -7.025, y 3.9725, z 138.531
 26222318 (520) module 25, x -6.0625, y 3.4225, z 113.531
 24127487 (471) module 23, x -5.1275, y    2.9, z 88.531

Track #20, length 13
 54064515 (1357) module 51, x -23.8575, y 11.9475, z 750.469
 51973007 (1291) module 49, x -22.51, y 11.2875, z 705.469
 49882267 (1220) module 47, x -21.1625, y 10.6275, z 660.469
 47791272 (1147) module 45, x -19.8425, y 9.9125, z 615.469
 45710792 (1077) module 43, x -16.2675, y 8.1525, z 496.921
 43626977 (1014) module 41, x -13.4075, y 6.7775, z 401.411
 41540342 (952) module 39, x -11.125, y 5.6225, z 324.463
