Track #0, length 6
 53531535 (2598) module 51, x -11.2875, y -6.5325, z 751.531
 51437250 (2498) module 49, x -8.4825, y -7.1375, z 706.531
 49342965 (2392) module 47, x -5.6775, y -7.7425, z 661.531
 48954317 (2284) module 46, x -4.8525, y -7.8775, z 648.469
 46844098 (2174) module 44, x -2.0475, y -8.4825, z 603.469
 44712358 (2062) module 42, x 5.3775, y -10.0225, z 484.921

Track #1, length 15
 54460390 (2562) module 51, x -37.3325, y 20.4725, z 751.531
 52353532 (2455) module 49, x -35.2792, y 19.2258, z 706.531
 49826325 (2342) module 47, x -33.2625, y 17.9975, z 660.469
 47738922 (2226) module 45, x -31.1725, y 16.815, z 615.469
 45667683 (2110) module 43, x -25.6175, y 13.7075, z 496.921
 43590799 (1990) module 41, x -21.135, y  11.26, z 401.411
 41510836 (1881) module 39, x -17.4775, y  9.225, z 324.463
 39427539 (1774) module 37, x -14.5075, y 7.5475, z 262.469
 37336031 (1663) module 35, x -13.2975, y 6.8875, z 237.469
 35244522 (1553) module 33, x -12.0875, y  6.255, z 212.469
 33153014 (1442) module 31, x -10.8775, y  5.595, z 187.469
 30409387 (1338) module 29, x -9.7475, y 4.9625, z 163.531
 28315073 (1232) module 27, x -8.5375, y   4.33, z 138.531
 26221015 (1134) module 25, x -7.3275, y 3.6975, z 113.531
 24126957 (1029) module 23, x  -6.09, y 3.0375, z 88.531

Track #2, length 15
 54015110 (2563) module 51, x -34.4725, y 11.7825, z 750.469
 51927186 (2457) module 49, x -32.4925, y 11.1225, z 705.469
 49839262 (2344) module 47, x -30.5125, y 10.4625, z 660.469
 47751338 (2229) module 45, x -28.5325, y  9.775, z 615.469
 45678539 (2113) module 43, x -23.28, y 7.9875, z 496.921
 43600613 (1996) module 41, x -19.0725, y 6.5575, z 401.411
 41519098 (1884) module 39, x -15.69, y 5.4025, z 324.463
 38799984 (1776) module 37, x -12.9925, y  4.495, z 263.531
 36704644 (1665) module 35, x -11.8925, y 4.1375, z 238.531
 34609304 (1557) module 33, x -10.7925, y 3.7525, z 213.531
 32513964 (1447) module 31, x -9.6925, y 3.3675, z 188.531
 30418623 (1343) module 29, x  -8.62, y 2.9825, z 163.531
 28323283 (1236) module 27, x  -7.52, y 2.5975, z 138.531
 26227943 (1138) module 25, x  -6.42, y 2.2125, z 113.531
 24132347 (1035) module 23, x -5.32917, y 1.86417, z 88.531

Track #3, length 11
 54018685 (2564) module 51, x -33.7025, y 12.2775, z 750.469
 51932043 (2460) module 49, x -31.4475, y 11.5075, z 705.469
 49845402 (2348) module 47, x -29.1925, y 10.6825, z 660.469
