Track #0, length 13
 43632370 (2301) module 41, x -12.2525, y 5.8425, z 401.411
 40896425 (2192) module 39, x -9.8575, y 4.6875, z 325.525
 38803661 (2078) module 37, x -7.8775, y  3.725, z 263.531
 36708315 (1955) module 35, x -7.1075, y   3.34, z 238.531
 34612969 (1833) module 33, x -6.3375, y 2.9825, z 213.531
 32517623 (1717) module 31, x  -5.54, y 2.5975, z 188.531

Track #8, length 11
 53861818 (2850) module 51, x -22.865, y -11.9875, z 750.469
 51768021 (2743) module 49, x -21.4075, y -11.2725, z 705.469
 49674223 (2630) module 47, x -19.9775, y -10.5575, z 660.469
 47255050 (2521) module 45, x -18.6025, y -9.8875, z 616.531
 45150028 (2407) module 43, x -14.9725, y -8.0725, z 497.982
 43046273 (2302) module 41, x -12.03, y -6.6425, z 402.473
 40943532 (2193) module 39, x -9.6925, y -5.4325, z 325.525
 38841548 (2077) module 37, x -7.91417, y -4.3875, z 263.531
 36742361 (1953) module 35, x -7.2175, y -3.9475, z 238.531
 34643429 (1831) module 33, x  -6.53, y -3.5625, z 213.531
 32544242 (1713) module 31, x -5.815, y  -3.15, z 188.531

Track #9, length 11
 53861061 (2851) module 51, x -22.26, y -12.1525, z 750.469
 51767262 (2744) module 49, x -20.9125, y -11.4375, z 705.469
 49673462 (2631) module 47, x -19.5925, y -10.7225, z 660.469
 47255824 (2522) module 45, x -18.2725, y -10.0525, z 616.531
 45150544 (2408) module 43, x -14.7525, y -8.1825, z 497.982
 43046276 (2303) module 41, x -11.8925, y -6.6425, z 402.473
 40943532 (2193) module 39, x -9.6925, y -5.4325, z 325.525
 38841548 (2077) module 37, x -7.91417, y -4.3875, z 263.531
 36742361 (1953) module 35, x -7.2175, y -3.9475, z 238.531
 34643429 (1831) module 33, x  -6.53, y -3.5625, z 213.531
 32544242 (1713) module 31, x -5.815, y  -3.15, z 188.531

Track #10, length 11
 53931487 (2852) module 51, x -20.8575, y 3.0825, z 750.469
 51833590 (2745) module 49, x -19.5925, y 2.9175, z 705.469
 49293837 (2632) module 47, x -18.41, y 2.7625, z 661.531
 47197732 (2523) module 45, x -17.1725, y 2.5425, z 616.531
 45102686 (2409) module 43, x -13.9825, y 2.1025, z 497.982
 43007374 (2305) module 41, x -11.3425, y 1.7175, z 402.473
 40911796 (2194) module 39, x -9.2525, y 1.3875, z 325.525
 38815954 (2079) module 37, x -7.575, y 1.1125, z 263.531
 36719071 (1957) module 35, x -6.8875, y   1.03, z 238.531
 34622443 (1835) module 33, x -6.2275, y 0.9475, z 213.531
 32525815 (1716) module 31, x  -5.54, y 0.8375, z 188.531

Track #11, length 10
 54089265 (2853) module 51, x -18.4125, y 16.4575, z 750.469
 51997251 (2747) module 49, x -17.3125, y 15.4675, z 705.469
 49905237 (2635) module 47, x -16.2125, y 14.4775, z 660.469
 47812967 (2527) module 45, x -15.14, y 13.4875, z 615.469
 45729431 (2413) module 43, x -12.2525, y 10.8475, z 496.921
 43643068 (2309) module 41, x -9.9425, y  8.785, z 401.411
 41554395 (2201) module 39, x -8.0175, y 7.1075, z 324.463
 39464436 (2085) module 37, x -6.4775, y 5.7325, z 262.469
 37370110 (1963) module 35, x -5.845, y 5.1825, z 237.469
 34605053 (1842) module 33, x -5.2375, y 4.6875, z 213.531

Track #12, length 11
 53613860 (2854) module 51, x -17.1725, y -24.49, z 751.531
 51510583 (2748) module 49, x -16.1275, y -23.0325, z 706.531
 49406538 (2636) module 47, x -15.0825, y -21.5475, z 661.531
 47302492 (2528) module 45, x -14.0925, y -20.0625, z 616.531
 45187469 (2416) module 43, x -11.37, y -16.2125, z 497.982
 43075765 (2313) module 41, x -9.1975, y -13.0775, z 402.473
 40967125 (2204) module 39, x -7.4375, y -10.6025, z 325.525
 38861039 (2089) module 37, x -6.0075, y -8.5675, z 263.531
 36760057 (1968) module 35, x -5.4575, y  -7.77, z 238.531
 34272997 (1742) module 32, x -4.5775, y  -6.53, z 200.469
 32173300 (1621) module 30, x -4.0275, y -5.7325, z 175.469

Track #13, length 9
 54098629 (2855) module 51, x -16.4325, y 8.3175, z 750.469
 52006094 (2749) module 49, x -15.4425, y  7.795, z 705.469
 49913560 (2637) module 47, x -14.4525, y 7.2725, z 660.469
 47821025 (2529) module 45, x -13.4625, y 6.7775, z 615.469
 45736185 (2418) module 43, x -10.8225, y   5.43, z 496.921
 42994877 (2315) module 41, x -8.7575, y  4.385, z 402.473
 40901852 (2206) module 39, x -7.0525, y 3.5325, z 325.525
 38808052 (2090) module 37, x -5.705, y 2.8175, z 263.531
 36712190 (1969) module 35, x -5.155, y 2.5425, z 238.531

Track #14, length 13
 53630025 (2856) module 51, x -15.1375, y -27.9275, z 751.531
 51524953 (2750) module 49, x -14.23, y -26.2225, z 706.531
 49419882 (2638) module 47, x -13.3225, y -24.5175, z 661.531
 47315323 (2530) module 45, x -12.3875, y -22.8125, z 616.531
 45197479 (2419) module 43, x -9.9675, y -18.3575, z 497.982
 43083467 (2317) module 41, x -7.9875, y -14.755, z 402.473
 40973031 (2208) module 39, x -6.4475, y -11.8675, z 325.525
 38865150 (2092) module 37, x -5.1825, y -9.5575, z 263.531
 38468792 (1985) module 36, x -4.9075, y -9.0325, z 250.469
 36369353 (1863) module 34, x -4.4125, y -8.0975, z 225.469
 34269914 (1744) module 32, x -3.93125, y -7.135, z 200.469
 32170219 (1623) module 30, x -3.3675, y -6.2275, z 175.469
 30070780 (1503) module 28, x -2.8725, y -5.2925, z 150.469

Track #15, length 4
 54351506 (2858) module 51, x -13.875, y 25.0925, z 751.531
 52241345 (2754) module 49, x -11.07, y  22.48, z 706.531
 50131697 (2644) module 47, x -8.2375, y 19.8675, z 661.531
 47858724 (2542) module 45, x -5.2125, y 17.145, z 615.469

Track #16, length 13
 54347281 (2859) module 51, x -12.9675, y 32.1875, z 751.531
 52246580 (2751) module 49, x -12.1975, y 30.235, z 706.531
 50145880 (2640) module 47, x -11.4275, y 28.2825, z 661.531
 48045179 (2531) module 45, x -10.6575, y 26.3575, z 616.531
 45939159 (2420) module 43, x -8.6225, y 21.2975, z 497.982
 43656228 (2318) module 41, x -6.9725, y 17.1725, z 401.411
 41565280 (2209) module 39, x -5.6525, y 13.8725, z 324.463
 39473040 (2094) module 37, x -4.6075, y 11.2325, z 262.469
 37377699 (1972) module 35, x -4.195, y 10.1875, z 237.469
 35282615 (1848) module 33, x -3.7825, y 9.0875, z 212.469
 33187530 (1726) module 31, x -3.3425, y 8.0425, z 187.469
 31092446 (1605) module 29, x -2.9025, y 6.9425, z 162.469
 28997361 (1485) module 27, x -2.4625, y 5.8975, z 137.469

Track #17, length 8
 53582469 (2861) module 51, x -11.8375, y -17.5875, z 751.531
 51480210 (2753) module 49, x -11.1225, y -16.4875, z 706.531
 49377952 (2641) module 47, x -10.3525, y -15.3875, z 661.531
 47275694 (2533) module 45, x -9.5825, y -14.2875, z 616.531
 45165521 (2421) module 43, x  -7.63, y -11.51, z 497.982
 43057902 (2319) module 41, x -6.0625, y -9.255, z 402.473
