Track #0, length 17
 53827141 (3428) module 51, x -29.3275, y -19.4125, z 750.469
 51736165 (3280) module 49, x -27.5675, y -18.0925, z 705.469
 49644934 (3134) module 47, x -25.7525, y  -16.8, z 660.469
 47553958 (2981) module 45, x -23.965, y -15.5075, z 615.469
 45471485 (2812) module 43, x -19.2075, y -12.3725, z 496.921
 43061311 (2639) module 41, x -15.6875, y -10.025, z 402.473

Track #9, length 15
 54040837 (3429) module 51, x -28.89, y 18.8775, z 750.469
 51951385 (3281) module 49, x -27.2675, y 17.7775, z 705.469
 49861933 (3135) module 47, x -25.6175, y 16.6775, z 660.469
 47772225 (2980) module 45, x -24.0225, y 15.5775, z 615.469
 45694581 (2811) module 43, x -19.7325, y 12.7175, z 496.921
 43613343 (2637) module 41, x -16.3225, y 10.4075, z 401.411
 41529025 (2462) module 39, x -13.5725, y 8.5375, z 324.463
 39442140 (2270) module 37, x -11.345, y 7.0525, z 262.469
 37349351 (2087) module 35, x -10.4375, y 6.4475, z 237.469
 35256306 (1911) module 33, x -9.5575, y 5.8425, z 212.469
 33162749 (1741) module 31, x -8.6775, y   5.21, z 187.469
 30410958 (1585) module 29, x -7.8225, y 4.6325, z 163.531
 28316638 (1440) module 27, x -6.9425, y 4.0275, z 138.531
 26222318 (1300) module 25, x -6.0625, y 3.4225, z 113.531
 24127743 (1157) module 23, x -5.1275, y 2.8725, z 88.531

Track #10, length 7
 53834849 (3430) module 51, x -27.7875, y -17.7625, z 750.469
 51742333 (3282) module 49, x -26.2475, y -16.7725, z 705.469
 49649817 (3136) module 47, x -24.68, y -15.7825, z 660.469
 47557302 (2982) module 45, x -23.1125, y -14.7925, z 615.469
 45168387 (2814) module 43, x -18.9875, y -12.1425, z 497.982
 43061311 (2639) module 41, x -15.6875, y -10.025, z 402.473
 38854548 (2275) module 37, x -11.0125, y -7.1925, z 263.531

Track #11, length 13
 53813874 (3431) module 51, x -26.825, y -22.2725, z 750.469
 51723151 (3283) module 49, x -25.23, y -20.8975, z 705.469
 49632172 (3137) module 47, x -23.6625, y -19.5775, z 660.469
 47541193 (2984) module 45, x -22.0675, y -18.2575, z 615.469
 45180950 (2816) module 43, x -17.9425, y -14.8375, z 497.982
 43071059 (2641) module 41, x -14.5875, y -12.0875, z 402.473
 40963460 (2469) module 39, x -11.8925, y -9.8325, z 325.525
 38858412 (2281) module 37, x -9.6925, y -8.0175, z 263.531
 36757948 (2102) module 35, x -8.8125, y -7.3025, z 238.531
 34657229 (1924) module 33, x -7.8775, y -6.5325, z 213.531
 32556765 (1756) module 31, x -6.9975, y -5.8175, z 188.531
 30456046 (1599) module 29, x -6.0625, y -5.0475, z 163.531
 28355582 (1458) module 27, x -5.1825, y -4.3325, z 138.531

Track #12, length 12
 53859458 (3432) module 51, x -25.945, y -12.4825, z 750.469
 51765662 (3284) module 49, x -24.405, y -11.7675, z 705.469
 49672122 (3138) module 47, x -22.865, y -10.9975, z 660.469
 47578326 (2985) module 45, x -21.325, y -10.2825, z 615.469
 45151266 (2818) module 43, x -17.2825, y -8.3475, z 497.982
 43046749 (2643) module 41, x -14.0375, y -6.7525, z 402.473
 40943757 (2470) module 39, x -11.3975, y -5.4875, z 325.525
 38842036 (2284) module 37, x -9.2525, y -4.4975, z 263.531
 36742851 (2105) module 35, x   -8.4, y -4.0575, z 238.531
 34643923 (1927) module 33, x -7.5475, y -3.6725, z 213.531
 32544739 (1760) module 31, x -6.6675, y -3.2325, z 188.531
 30445810 (1603) module 29, x -5.8425, y -2.8475, z 163.531

Track #13, length 12
 53909898 (3433) module 51, x -25.5325, y -1.5375, z 750.469
 51813029 (3285) module 49, x -24.02, y -1.4825, z 705.469
 49716417 (3139) module 47, x -22.5075, y -1.3725, z 660.469
 47619549 (2986) module 45, x -20.9675, y  -1.29, z 615.469
 45117223 (2819) module 43, x -17.0075, y -1.0325, z 497.982
 43019361 (2644) module 41, x -13.8175, y -0.8675, z 402.473
 40921489 (2472) module 39, x -11.1775, y -0.7025, z 325.525
 38823863 (2287) module 37, x -9.0875, y -0.5925, z 263.531
 36726470 (2108) module 35, x -8.2625, y -0.5375, z 238.531
 34629077 (1929) module 33, x -7.4375, y -0.4825, z 213.531
 32531685 (1762) module 31, x -6.5575, y -0.4275, z 188.531
 30434292 (1604) module 29, x -5.7325, y -0.3725, z 163.531

Track #14, length 13
 53860258 (3434) module 51, x -24.2125, y -12.29, z 750.469
 51766204 (3286) module 49, x -22.7825, y -11.6575, z 705.469
 49672151 (3140) module 47, x -21.2975, y -10.9975, z 660.469
 47578096 (2987) module 45, x -19.9225, y -10.3375, z 615.469
 45152820 (2821) module 43, x -16.2925, y -8.6775, z 497.982
 43049322 (2646) module 41, x -13.3225, y  -7.33, z 402.473
 40947093 (2474) module 39, x -10.9575, y  -6.23, z 325.525
 38845623 (2286) module 37, x -9.0875, y -5.2675, z 263.531
 36746436 (2106) module 35, x -8.3725, y -4.855, z 238.531
 34647505 (1925) module 33, x -7.6575, y -4.4425, z 213.531
 32548318 (1757) module 31, x -6.90583, y -4.03917, z 188.531
 30449388 (1597) module 29, x -6.1725, y -3.6175, z 163.531
 28350201 (1456) module 27, x -5.4575, y -3.1775, z 138.531

Track #15, length 7
 53828009 (3435) module 51, x -23.8275, y -19.22, z 750.469
 51738059 (3287) module 49, x -21.9575, y -17.7075, z 705.469
 49647853 (3141) module 47, x -20.0875, y -16.2225, z 660.469
 47277839 (2990) module 45, x -18.3275, y -14.7825, z 616.531
 45162343 (2828) module 43, x -13.4875, y -10.8225, z 497.982
 43051182 (2661) module 41, x -9.5825, y -7.6875, z 402.473
 40942311 (2496) module 39, x -6.4475, y -5.1575, z 325.525

Track #16, length 13
 53854913 (3436) module 51, x -22.5075, y -13.4725, z 750.469
 51761368 (3288) module 49, x -21.2425, y -12.7025, z 705.469
 49667823 (3142) module 47, x -19.9775, y -11.9325, z 660.469
 47261192 (2988) module 45, x -18.7125, y -11.2075, z 616.531
 45154628 (2822) module 43, x -15.385, y -9.1725, z 497.982
 43050614 (2647) module 41, x -12.6625, y -7.5775, z 402.473
 40947357 (2475) module 39, x -10.5175, y -6.285, z 325.525
 38845629 (2289) module 37, x -8.7575, y -5.2675, z 263.531
 36746442 (2110) module 35, x -8.0425, y -4.8275, z 238.531
 34647254 (1931) module 33, x -7.355, y -4.3875, z 213.531
 32548323 (1759) module 31, x -6.6675, y -4.0025, z 188.531
 30449136 (1601) module 29, x -5.9525, y -3.5625, z 163.531
 28349949 (1457) module 27, x -5.2375, y  -3.15, z 138.531

Track #17, length 12
 53832899 (3437) module 51, x -22.3975, y -18.2025, z 750.469
 51740635 (3289) module 49, x -21.0775, y -17.13, z 705.469
 49648626 (3143) module 47, x -19.785, y -16.0575, z 660.469
 47279116 (2989) module 45, x -18.4925, y -15.0575, z 616.531
 45168970 (2823) module 43, x -15.0825, y -12.2525, z 497.982
 43061372 (2648) module 41, x -12.3325, y -9.9975, z 402.473
 40956325 (2477) module 39, x -10.0775, y -8.1825, z 325.525
 38852293 (2293) module 37, x -8.3175, y -6.725, z 263.531
 36752594 (2112) module 35, x -7.575, y -6.1475, z 238.531
 34652640 (1934) module 33, x -6.8325, y -5.5425, z 213.531
 32552685 (1766) module 31, x -6.1175, y -4.9375, z 188.531
 30452986 (1608) module 29, x -5.4025, y -4.3875, z 163.531

Track #18, length 12
 53856466 (3439) module 51, x -21.5725, y -13.1425, z 750.469
 51762664 (3290) module 49, x -20.3625, y -12.4275, z 705.469
 49360640 (3145) module 47, x -19.1525, y -11.7025, z 661.531
 47259926 (2991) module 45, x -17.9425, y -10.9325, z 616.531
 45154128 (2824) module 43, x -14.7525, y  -8.98, z 497.982
 43049855 (2649) module 41, x -12.1675, y -7.4125, z 402.473
 40946853 (2476) module 39, x -10.0775, y -6.1475, z 325.525
 38845123 (2292) module 37, x   -8.4, y -5.1575, z 263.531
 36745936 (2111) module 35, x -7.7125, y -4.745, z 238.531
 34647004 (1932) module 33, x -7.0525, y -4.3325, z 213.531
 32547816 (1765) module 31, x -6.37417, y -3.91083, z 188.531
 30448885 (1605) module 29, x -5.6775, y -3.5075, z 163.531

Track #19, length 11
 54076799 (3440) module 51, x -21.1075, y 12.1675, z 750.469
 51985548 (3292) module 49, x -19.8425, y 11.4525, z 705.469
 49894297 (3146) module 47, x -18.5775, y  10.71, z 660.469
 47803047 (2992) module 45, x -17.3125, y 9.9675, z 615.469
 45721289 (2827) module 43, x -14.0125, y   8.07, z 496.921
 43636454 (2652) module 41, x -11.3725, y 6.5025, z 401.411
 41549308 (2481) module 39, x -9.2275, y 5.2925, z 324.463
 38801108 (2297) module 37, x -7.4925, y 4.3025, z 263.531
 36705760 (2119) module 35, x -6.8325, y 3.9175, z 238.531
 34610669 (1940) module 33, x -6.1175, y 3.4775, z 213.531
 32515322 (1771) module 31, x -5.4025, y 3.0925, z 188.531

Track #20, length 15
 53842910 (3441) module 51, x -20.9125, y -16.0575, z 750.469
 51749108 (3293) module 49, x -19.7025, y -15.3425, z 705.469
 49373964 (3147) module 47, x -18.4925, y -14.59, z 661.531
 47273506 (2993) module 45, x -17.2825, y -13.8475, z 616.531
 45166941 (2826) module 43, x -14.0375, y -11.8125, z 497.982
 43062413 (2651) module 41, x -11.3975, y -10.2175, z 402.473
 40959923 (2480) module 39, x  -9.28, y  -8.98, z 325.525
 38857939 (2296) module 37, x -7.5475, y -7.935, z 263.531
 36759008 (2120) module 35, x -6.8325, y -7.5225, z 238.531
 34660077 (1939) module 33, x -6.1175, y -7.1375, z 213.531
 32561146 (1772) module 31, x -5.4025, y -6.7525, z 188.531
 32177893 (1625) module 30, x -5.0175, y -6.5575, z 175.469
 30077420 (1479) module 28, x -4.3025, y -6.1725, z 150.469
 27976946 (1326) module 26, x -3.5875, y -5.815, z 125.469
 25876473 (1184) module 24, x -2.8725, y -5.4575, z 100.469

Track #21, length 12
 54078828 (3442) module 51, x -20.64, y 13.2125, z 750.469
 51987066 (3294) module 49, x -19.485, y 12.4425, z 705.469
 49895560 (3149) module 47, x -18.3025, y 11.6725, z 660.469
 47803798 (2994) module 45, x -17.1475, y 10.9025, z 615.469
 45720762 (2825) module 43, x -14.1225, y 8.9225, z 496.921
 43635159 (2650) module 41, x -11.6475, y 7.3275, z 401.411
 41547246 (2478) module 39, x -9.6675, y  6.035, z 324.463
 38797769 (2294) module 37, x  -8.07, y 5.0175, z 263.531
 36702421 (2114) module 35, x -7.4375, y 4.6325, z 238.531
 34607329 (1935) module 33, x -6.7775, y 4.1925, z 213.531
 32511981 (1767) module 31, x -6.1175, y 3.8075, z 188.531
 30416633 (1607) module 29, x -5.4575, y  3.395, z 163.531

Track #22, length 12
 54083803 (3443) module 51, x -19.6225, y 7.1075, z 750.469
 51991779 (3295) module 49, x -18.5225, y 6.6675, z 705.469
 49899754 (3150) module 47, x -17.4225, y 6.2825, z 660.469
 47807729 (2996) module 45, x -16.3225, y 5.8975, z 615.469
 45089896 (2829) module 43, x -13.4325, y 4.8525, z 497.982
 42996882 (2653) module 41, x -11.095, y 3.9725, z 402.473
 40902837 (2482) module 39, x -9.1975, y 3.3125, z 325.525
 38808273 (2295) module 37, x -7.6575, y  2.735, z 263.531
 36712156 (2117) module 35, x -7.0525, y  2.515, z 238.531
 34616039 (1937) module 33, x -6.4475, y  2.295, z 213.531
 32520178 (1768) module 31, x -5.8425, y 2.0475, z 188.531
 30424061 (1609) module 29, x  -5.21, y 1.8275, z 163.531

Track #23, length 11
 53525515 (3445) module 51, x -18.52, y -5.2675, z 751.531
 51427102 (3296) module 49, x -17.5025, y -4.9925, z 706.531
 49328433 (3152) module 47, x -16.4575, y -4.6625, z 661.531
 47230020 (2997) module 45, x -15.4125, y -4.3875, z 616.531
 45129333 (2830) module 43, x -12.7175, y -3.6175, z 497.982
 43029405 (2654) module 41, x -10.49, y -3.0125, z 402.473
 40929982 (2485) module 39, x -8.7025, y -2.5175, z 325.525
 38830808 (2299) module 37, x -7.2725, y -2.105, z 263.531
 36733155 (2122) module 35, x -6.6675, y -1.9675, z 238.531
 34635245 (1941) module 33, x  -6.09, y -1.8025, z 213.531
 32537336 (1770) module 31, x -5.5125, y -1.6375, z 188.531

Track #24, length 8
 53607181 (3446) module 51, x -18.4375, y -22.9225, z 751.531
 51504161 (3297) module 49, x -17.3375, y -21.6575, z 706.531
 49401142 (3153) module 47, x -16.1825, y -20.3925, z 661.531
 47297866 (2998) module 45, x -15.055, y -19.0725, z 616.531
 45184895 (2833) module 43, x -12.14, y -15.6625, z 497.982
 43074730 (2659) module 41, x -9.8025, y -12.8575, z 402.473
 40967626 (2490) module 39, x -8.015, y -10.7125, z 325.525
 38862819 (2304) module 37, x -6.6675, y  -8.98, z 263.531

Track #25, length 10
 53505293 (3447) module 51, x -18.4375, y -0.9225, z 751.531
 51407907 (3298) module 49, x -17.2275, y -0.8675, z 706.531
 49310521 (3154) module 47, x -16.0175, y -0.8125, z 661.531
 47213134 (3000) module 45, x -14.835, y -0.7575, z 616.531
 45115272 (2836) module 43, x -11.6725, y -0.5925, z 497.982
 43017650 (2663) module 41, x -9.335, y -0.4825, z 402.473
 40920016 (2491) module 39, x -7.7125, y -0.3725, z 325.525
