Track #0, length 12
 38798313 (1695) module 37, x -6.3375, y 4.9075, z 263.531
 36703734 (1600) module 35, x -5.6225, y 4.3575, z 238.531

Track #9, length 11
 53622548 (2322) module 51, x -18.0525, y -26.3325, z 751.531
 51517737 (2237) module 49, x -16.8975, y -24.6825, z 706.531
 49413438 (2154) module 47, x -15.7425, y -23.0325, z 661.531
 47308627 (2076) module 45, x -14.5875, y -21.3825, z 616.531
 45191307 (1985) module 43, x -11.5075, y -17.0375, z 497.982
 43077815 (1896) module 41, x -9.0875, y -13.5175, z 402.473
 40967643 (1797) module 39, x -7.1075, y -10.7125, z 325.525
 38860279 (1696) module 37, x -5.5675, y -8.4025, z 263.531
 36370141 (1519) module 34, x -4.5775, y -6.9975, z 225.469
 34270190 (1424) module 32, x -3.9725, y -6.0625, z 200.469
 32169983 (1332) module 30, x  -3.34, y -5.1275, z 175.469

Track #10, length 8
 53541162 (2323) module 51, x -16.8425, y -8.6225, z 751.531
 51441725 (2239) module 49, x -15.7975, y -8.1275, z 706.531
 49342033 (2156) module 47, x -14.6975, y -7.5775, z 661.531
 47242340 (2078) module 45, x -13.6525, y -7.055, z 616.531
 45138584 (1986) module 43, x -10.7925, y -5.5975, z 497.982
 43036096 (1897) module 41, x -8.565, y -4.4425, z 402.473
 40934625 (1798) module 39, x -6.7775, y -3.5075, z 325.525
 38833916 (1698) module 37, x -5.2925, y -2.7375, z 263.531

Track #11, length 12
 54096754 (2324) module 51, x -16.8175, y 12.855, z 750.469
 52003454 (2238) module 49, x -15.965, y 12.2225, z 705.469
 49910410 (2155) module 47, x -15.1125, y 11.5625, z 660.469
 47817365 (2077) module 45, x -14.2325, y  10.93, z 615.469
 45730740 (1984) module 43, x -11.9775, y 9.2525, z 496.921
 43642317 (1894) module 41, x -10.1075, y 7.8775, z 401.411
 41551585 (1793) module 39, x -8.6225, y 6.7775, z 324.463
 39459826 (1691) module 37, x -7.4675, y 5.8425, z 262.469
 37364985 (1595) module 35, x -6.9725, y 5.4575, z 237.469
 35270143 (1503) module 33, x -6.4775, y 5.1275, z 212.469
 32507630 (1412) module 31, x -6.035, y 4.7425, z 188.531
 30412279 (1317) module 29, x -5.5675, y 4.3575, z 163.531

Track #12, length 11
 54361176 (2325) module 51, x -15.9375, y 28.2825, z 751.531
 52259193 (2241) module 49, x -14.92, y 26.4675, z 706.531
 50157466 (2157) module 47, x -13.9025, y 24.6525, z 661.531
 48055483 (2079) module 45, x -12.8575, y 22.8375, z 616.531
 45739028 (1987) module 43, x -10.1625, y 18.0525, z 496.921
 43651417 (1898) module 41, x  -7.99, y 14.2575, z 401.411
 41562513 (1799) module 39, x -6.2575, y 11.1775, z 324.463
 39471806 (1699) module 37, x -4.8825, y 8.7025, z 262.469
 37377232 (1601) module 35, x -4.305, y 7.7125, z 237.469
 35282658 (1508) module 33, x -3.7825, y 6.7225, z 212.469
 33188084 (1414) module 31, x -3.2325, y 5.7325, z 187.469

Track #13, length 7
 53562194 (2326) module 51, x -14.6425, y -13.2425, z 751.531
 51461219 (2242) module 49, x -13.7075, y -12.4175, z 706.531
 49360244 (2158) module 47, x -12.7725, y -11.5925, z 661.531
 47259269 (2080) module 45, x -11.8375, y -10.7675, z 616.531
 45152434 (1988) module 43, x -9.3625, y -8.595, z 497.982
 43047126 (1899) module 41, x -7.3825, y -6.8075, z 402.473
 40943347 (1801) module 39, x -5.7875, y -5.3775, z 325.525

Track #14, length 11
 54348879 (2327) module 51, x -13.2975, y 28.7775, z 751.531
 52247665 (2243) module 49, x -12.445, y 26.9075, z 706.531
 50146451 (2159) module 47, x -11.565, y 25.0375, z 661.531
 48045492 (2081) module 45, x -10.7125, y 23.2225, z 616.531
