Track #0, length 13
 51382352 (1472) module 49, x -14.7525, y 4.6325, z 706.531
 49286754 (1400) module 47, x -13.7625, y 4.3025, z 661.531
 47191157 (1327) module 45, x -12.7175, y 3.9725, z 616.531
 45098149 (1257) module 43, x -10.0775, y 3.0925, z 497.982
 43004108 (1197) module 41, x -7.9325, y 2.4325, z 402.473
 40909547 (1133) module 39, x -6.2275, y 1.8825, z 325.525

Track #11, length 7
 53535565 (1540) module 51, x -14.9175, y -7.4125, z 751.531
 51436382 (1473) module 49, x -13.9825, y -6.9725, z 706.531
 49336943 (1401) module 47, x -13.02, y -6.505, z 661.531
 47237761 (1328) module 45, x -12.0575, y -6.0375, z 616.531
 45135022 (1259) module 43, x -9.5825, y -4.8275, z 497.982
 43033043 (1198) module 41, x -7.5475, y  -3.81, z 402.473
 40932336 (1134) module 39, x -5.9525, y -3.0125, z 325.525

Track #12, length 7
 53551187 (1541) module 51, x -14.5875, y -10.8775, z 751.531
 51450724 (1474) module 49, x -13.6525, y -10.1625, z 706.531
 49350517 (1403) module 47, x -12.7175, y -9.5025, z 661.531
 47250566 (1331) module 45, x -11.7825, y -8.7875, z 616.531
 45145010 (1260) module 43, x -9.3625, y -6.9725, z 497.982
 43041238 (1199) module 41, x -7.3825, y -5.5425, z 402.473
 40938483 (1136) module 39, x -5.7875, y  -4.36, z 325.525

Track #13, length 8
 54108135 (1542) module 51, x -14.3975, y 6.4475, z 750.469
 52014829 (1475) module 49, x -13.5725, y   6.09, z 705.469
 49921524 (1402) module 47, x -12.7475, y 5.7325, z 660.469
 47828219 (1329) module 45, x -11.9225, y 5.3475, z 615.469
 45092011 (1258) module 43, x -9.7475, y  4.385, z 497.982
 42998730 (1196) module 41, x -8.015, y 3.5875, z 402.473
 40904420 (1130) module 39, x -6.6125, y 2.9825, z 325.525
 38809592 (1072) module 37, x -5.485, y 2.4875, z 263.531

Track #14, length 7
 53519967 (1543) module 51, x  -13.9, y -4.0575, z 751.531
 51421808 (1476) module 49, x -12.9925, y -3.8375, z 706.531
 49323392 (1404) module 47, x -12.1125, y -3.5625, z 661.531
 47225232 (1332) module 45, x -11.2325, y -3.3425, z 616.531
 45124795 (1261) module 43, x -8.8675, y -2.655, z 497.982
 43025117 (1200) module 41, x -6.9975, y -2.105, z 402.473
 40926200 (1140) module 39, x -5.5125, y -1.6925, z 325.525

Track #15, length 10
 53591154 (1544) module 51, x -12.855, y -19.4575, z 751.531
 51488385 (1477) module 49, x -12.0575, y -18.2475, z 706.531
 49385871 (1405) module 47, x -11.2875, y -17.0925, z 661.531
 47283357 (1333) module 45, x -10.5175, y -15.9375, z 616.531
 45171905 (1262) module 43, x -8.5375, y -12.8575, z 497.982
 43063262 (1202) module 41, x -6.90583, y -10.4192, z 402.473
 40957430 (1138) module 39, x -5.6225, y  -8.43, z 325.525
 38466278 (1016) module 36, x -4.3575, y -6.5025, z 250.469
 36367090 (954) module 34, x -3.9175, y -5.8425, z 225.469
 34267901 (896) module 32, x -3.505, y -5.2375, z 200.469

Track #16, length 13
 54345121 (1545) module 51, x  -12.5, y 24.2675, z 751.531
 52244666 (1478) module 49, x -11.785, y 22.8925, z 706.531
 50144467 (1406) module 47, x -11.0975, y 21.5175, z 661.531
 48044012 (1334) module 45, x -10.3825, y 20.1425, z 616.531
 45746479 (1263) module 43, x -8.4575, y  16.54, z 496.921
 43656292 (1201) module 41, x -6.9725, y 13.6525, z 401.411
 41565070 (1137) module 39, x -5.7075, y 11.3425, z 324.463
 39472304 (1074) module 37, x -4.745, y 9.4725, z 262.469
 37376958 (1010) module 35, x  -4.36, y 8.7025, z 237.469
 35281612 (947) module 33, x -4.0025, y 7.9325, z 212.469
 33186266 (889) module 31, x -3.6175, y  7.135, z 187.469
 31090921 (829) module 29, x -3.2325, y 6.3375, z 162.469
 28995575 (771) module 27, x  -2.82, y 5.5675, z 137.469

Track #17, length 6
 53532793 (1546) module 51, x -12.4975, y -6.8075, z 751.531
 51433607 (1479) module 49, x -11.7275, y -6.3675, z 706.531
 49334422 (1407) module 47, x -10.9025, y -5.955, z 661.531
 47235492 (1335) module 45, x -10.1325, y -5.5425, z 616.531
 45133002 (1265) module 43, x -8.015, y -4.3875, z 497.982
 43031529 (1205) module 41, x -6.3375, y  -3.48, z 402.473

Track #18, length 6
 53512059 (1547) module 51, x -12.3875, y -2.3525, z 751.531
