Track #0, length 12
 53583210 (1995) module 51, x -13.3225, y -17.7525, z 751.531
 51480443 (1936) module 49, x -12.3875, y -16.5425, z 706.531
 49377676 (1877) module 47, x -11.4525, y -15.3325, z 661.531
 47274908 (1813) module 45, x -10.545, y -14.1225, z 616.531
 45162952 (1747) module 43, x -8.1525, y -10.9325, z 497.982
 43054315 (1668) module 41, x -6.2275, y -8.3475, z 402.473
 40563697 (1516) module 38, x -4.4125, y -5.8975, z 312.463

Track #11, length 14
 53661096 (1996) module 51, x -9.9125, y -34.5825, z 751.531
 51554482 (1937) module 49, x -9.335, y -32.5475, z 706.531
 49447869 (1878) module 47, x -8.7575, y -30.5125, z 661.531
 47341255 (1814) module 45, x -8.2075, y -28.4775, z 616.531
 45219810 (1749) module 43, x -6.7225, y -23.17, z 497.982
 43102712 (1670) module 41, x -5.5125, y -18.8525, z 402.473
 40563024 (1517) module 38, x  -4.33, y -14.7525, z 312.463
 38462083 (1433) module 36, x -3.4775, y -11.9475, z 250.469
 36363415 (1349) module 34, x -3.1475, y -10.82, z 225.469
 34264748 (1261) module 32, x -2.8175, y -9.6925, z 200.469
 32166081 (1173) module 30, x -2.4875, y -8.5375, z 175.469
 30067413 (1092) module 28, x -2.1575, y -7.4375, z 150.469
 27968746 (1012) module 26, x -1.8275, y -6.2825, z 125.469
 25870078 (917) module 24, x -1.4975, y -5.155, z 100.469

Track #12, length 6
 53542059 (1997) module 51, x -9.7475, y -8.7875, z 751.531
 51442614 (1939) module 49, x -9.1425, y -8.2925, z 706.531
 49342912 (1880) module 47, x -8.5925, y  -7.77, z 661.531
 47243466 (1816) module 45, x -8.015, y -7.2475, z 616.531
 45139942 (1752) module 43, x -6.5025, y   -5.9, z 497.982
 43037692 (1672) module 41, x -5.2925, y   -4.8, z 402.473

Track #13, length 14
 54332250 (1998) module 51, x -9.7225, y 28.1725, z 751.531
 52232567 (1938) module 49, x -9.1725, y  26.55, z 706.531
 50133397 (1879) module 47, x -8.6225, y 24.9275, z 661.531
 48033714 (1815) module 45, x -8.0725, y 23.3325, z 616.531
 45929982 (1750) module 43, x -6.6425, y 19.125, z 497.982
 43663167 (1671) module 41, x  -5.46, y 15.6875, z 401.411
 41570673 (1588) module 39, x -4.4975, y 12.9375, z 324.463
 39477145 (1504) module 37, x -3.7275, y 10.7375, z 262.469
 37381289 (1420) module 35, x -3.425, y 9.8575, z 237.469
 35285689 (1334) module 33, x -3.1225, y   8.95, z 212.469
 33190089 (1245) module 31, x -2.7925, y   8.07, z 187.469
 31094234 (1160) module 29, x  -2.49, y 7.1625, z 162.469
 28998634 (1083) module 27, x -2.1875, y 6.2825, z 137.469
 26903034 (1002) module 25, x -1.8575, y  5.375, z 112.469

Track #14, length 11
 54324888 (1999) module 51, x -8.0175, y 24.7625, z 751.531
 52225459 (1940) module 49, x -7.54083, y 23.2408, z 706.531
 50126287 (1881) module 47, x -7.0825, y 21.7375, z 661.531
 48026859 (1817) module 45, x -6.5875, y 20.1975, z 616.531
 45761078 (1753) module 43, x -5.295, y 16.1825, z 496.921
 43668848 (1673) module 41, x -4.2775, y 12.9925, z 401.411
 41575583 (1589) module 39, x -3.4525, y 10.4075, z 324.463
 39481541 (1506) module 37, x -2.7925, y 8.3175, z 262.469
 37385684 (1423) module 35, x -2.5175, y 7.4925, z 237.469
