Track #0, length 7
 51730899 (2438) module 49, x -21.5175, y -19.2475, z 705.469
 49639403 (2338) module 47, x -20.1975, y -18.0375, z 660.469
 47287301 (2234) module 45, x -18.85, y -16.8175, z 616.531
 45175367 (2137) module 43, x -15.2475, y -13.6275, z 497.982
 43066235 (2036) module 41, x -12.3875, y -11.0425, z 402.473
 40959909 (1928) module 39, x -10.0775, y  -8.98, z 325.525
 38854855 (1822) module 37, x -8.2075, y -7.2475, z 263.531
 36754645 (1712) module 35, x -7.4375, y -6.5875, z 238.531
 34654434 (1607) module 33, x -6.7225, y -5.9275, z 213.531
 32553968 (1504) module 31, x -5.9525, y -5.2125, z 188.531
 30453757 (1404) module 29, x -5.2375, y -4.5525, z 163.531

Track #9, length 11
 53901814 (2532) module 51, x -19.5925, y  -3.27, z 750.469
 51418124 (2439) module 49, x -18.465, y -3.0675, z 706.531
 49320226 (2340) module 47, x -17.2825, y -2.9025, z 661.531
 47222071 (2235) module 45, x -16.1275, y -2.6825, z 616.531
 45122670 (2138) module 43, x -13.1025, y -2.1875, z 497.982
 43023515 (2037) module 41, x -10.6275, y -1.7475, z 402.473
 40924863 (1931) module 39, x -8.6475, y -1.4175, z 325.525
 38826460 (1827) module 37, x -7.0525, y -1.1425, z 263.531
 36728808 (1717) module 35, x -6.3925, y -1.0325, z 238.531
 34631155 (1613) module 33, x  -5.76, y -0.9225, z 213.531
 32533503 (1511) module 31, x -5.1275, y -0.8125, z 188.531

Track #10, length 10
 53482761 (2533) module 51, x -18.6575, y 3.9175, z 751.531
 51386653 (2440) module 49, x -17.53, y 3.6975, z 706.531
 49290802 (2341) module 47, x -16.4025, y 3.4225, z 661.531
 47194694 (2236) module 45, x -15.275, y 3.2025, z 616.531
 45100669 (2139) module 43, x -12.2775, y 2.5425, z 497.982
 43005864 (2038) module 41, x -9.9125, y 2.0475, z 402.473
 40910539 (1933) module 39, x  -7.96, y 1.6625, z 325.525
 38814952 (1829) module 37, x -6.3925, y 1.3325, z 263.531
 36718323 (1718) module 35, x -5.7875, y  1.195, z 238.531
 34621951 (1614) module 33, x -5.1275, y 1.0575, z 213.531

Track #11, length 10
 53507341 (2534) module 51, x -18.4375, y -1.3625, z 751.531
 51409953 (2441) module 49, x -17.3375, y -1.3075, z 706.531
 49312309 (2342) module 47, x -16.2375, y -1.1975, z 661.531
