Track #0, length 14
 54016269 (3503) module 51, x -34.1975, y 18.4375, z 750.469
 51928352 (3384) module 49, x -32.2175, y 17.3925, z 705.469
 49840436 (3260) module 47, x -30.2375, y 16.2925, z 660.469
 47752519 (3130) module 45, x -28.23, y 15.2475, z 615.469
 45679226 (2996) module 43, x -23.005, y 12.4425, z 496.921
 43601828 (2841) module 41, x -18.7975, y 10.1325, z 401.411
 41520325 (2691) module 39, x -15.415, y 8.3175, z 324.463
 39436000 (2533) module 37, x -12.6925, y 6.8325, z 262.469
 37343978 (2363) module 35, x -11.5925, y  6.255, z 237.469
 35251957 (2179) module 33, x -10.4925, y 5.6775, z 212.469
 32506032 (2015) module 31, x -9.445, y 5.0725, z 188.531
 30411716 (1855) module 29, x -8.345, y 4.4675, z 163.531
 28317400 (1710) module 27, x -7.2725, y 3.8625, z 138.531
 26223084 (1554) module 25, x -6.1725, y 3.2575, z 113.531

Track #1, length 20
 53748738 (3504) module 51, x -33.0125, y -36.325, z 750.469
 51660064 (3385) module 49, x -31.3625, y -34.51, z 705.469
 49571390 (3261) module 47, x -29.7125, y -32.695, z 660.469
 47482716 (3131) module 45, x -28.0625, y -30.88, z 615.469
 45407915 (2993) module 43, x -23.7175, y -26.1225, z 496.921
 43328234 (2834) module 41, x -20.2525, y -22.2725, z 401.411
 41006879 (2681) module 39, x -17.4475, y -19.21, z 325.525
 38898248 (2519) module 37, x -15.1925, y -16.7075, z 263.531
 36796505 (2348) module 35, x -14.2575, y -15.7175, z 238.531
 34694761 (2163) module 33, x -13.3775, y -14.7275, z 213.531
 32592762 (1997) module 31, x -12.4425, y -13.71, z 188.531
 30491018 (1839) module 29, x -11.535, y -12.6925, z 163.531
 28389275 (1690) module 27, x -10.6275, y -11.7025, z 138.531
 26287532 (1532) module 25, x -9.6925, y -10.7125, z 113.531
 24185788 (1375) module 23, x -8.8125, y -9.7225, z 88.531
 22084301 (1227) module 21, x -7.8775, y -8.705, z 63.531
 19982557 (1087) module 19, x -6.9975, y -7.6875, z 38.531
 17880814 (959) module 17, x -6.0625, y -6.6975, z 13.531
 15779070 (841) module 15, x -5.1825, y -5.7075, z -11.469
 15399166 (755) module 14, x -4.6875, y -5.1825, z -24.531

Track #2, length 14
 54024066 (3505) module 51, x -32.5475, y 12.0025, z 750.469
 51935631 (3386) module 49, x -30.65, y 11.2875, z 705.469
 49847195 (3262) module 47, x -28.78, y   10.6, z 660.469
 47758760 (3133) module 45, x -26.91, y 9.9125, z 615.469
 45684169 (2998) module 43, x -21.9875, y   8.07, z 496.921
 43605476 (2845) module 41, x    -18, y 6.6125, z 401.411
 41523450 (2694) module 39, x -14.7825, y 5.4025, z 324.463
 38800253 (2534) module 37, x -12.2775, y 4.4675, z 263.531
 36704912 (2364) module 35, x -11.2325, y 4.0825, z 238.531
 34609571 (2180) module 33, x -10.1875, y 3.6975, z 213.531
 32514230 (2018) module 31, x -9.1425, y 3.3125, z 188.531
 30418889 (1859) module 29, x  -8.07, y 2.9275, z 163.531
 28323548 (1711) module 27, x -7.025, y 2.5425, z 138.531
 26228207 (1557) module 25, x  -5.98, y 2.1575, z 113.531

Track #3, length 14
 54433779 (3506) module 51, x -31.6125, y  19.73, z 751.531
 51939851 (3387) module 49, x -29.7425, y 18.5475, z 705.469
 49851167 (3264) module 47, x -27.9275, y  17.42, z 660.469
 47762484 (3134) module 45, x -26.1125, y 16.2925, z 615.469
 45687147 (3001) module 43, x -21.3275, y 13.2675, z 496.921
 43607959 (2846) module 41, x -17.45, y 10.8475, z 401.411
 41525689 (2695) module 39, x -14.2875, y 8.9775, z 324.463
 39440341 (2536) module 37, x -11.7575, y 7.4375, z 262.469
 37347809 (2368) module 35, x -10.7675, y 6.7775, z 237.469
 35255532 (2184) module 33, x -9.7225, y 6.1725, z 212.469
 33162488 (2020) module 31, x -8.705, y 5.5125, z 187.469
 30409679 (1862) module 29, x  -7.74, y 4.9075, z 163.531
 28315362 (1715) module 27, x -6.7225, y 4.3025, z 138.531
 26221300 (1558) module 25, x -5.7325, y 3.6425, z 113.531

Track #4, length 13
 53761835 (3508) module 51, x -30.73, y -33.5475, z 750.469
 51673676 (3388) module 49, x -28.9425, y -31.595, z 705.469
 49585772 (3266) module 47, x -27.1825, y -29.6425, z 660.469
 47497612 (3137) module 45, x -25.4225, y -27.7175, z 615.469
 45423841 (3003) module 43, x -20.7475, y -22.575, z 496.921
 43100967 (2849) module 41, x -17.0075, y -18.5225, z 402.473
 40988255 (2696) module 39, x -13.9275, y -15.1675, z 325.525
 38878859 (2537) module 37, x -11.5075, y -12.5275, z 263.531
 36776605 (2369) module 35, x -10.5175, y -11.4275, z 238.531
 34674351 (2187) module 33, x -9.5275, y -10.355, z 213.531
 32572353 (2023) module 31, x -8.5375, y -9.2825, z 188.531
 30470611 (1863) module 29, x -7.5475, y  -8.21, z 163.531
 28368356 (1716) module 27, x -6.6125, y -7.10083, z 138.531

Track #5, length 18
 53908538 (3509) module 51, x -29.9325, y -1.8125, z 750.469
 51811668 (3389) module 49, x -28.5025, y  -1.73, z 705.469
 49715055 (3267) module 47, x -27.0175, y -1.6475, z 660.469
 47618442 (3136) module 45, x -25.5325, y -1.5375, z 615.469
 45522640 (2999) module 43, x -21.6825, y -1.2625, z 496.921
 43020043 (2843) module 41, x -18.5475, y  -1.06, z 402.473
 40922168 (2687) module 39, x -16.0725, y -0.8675, z 325.525
 38824541 (2525) module 37, x -14.0375, y -0.7575, z 263.531
 36727148 (2354) module 35, x -13.2125, y -0.7025, z 238.531
 34629755 (2167) module 33, x -12.3875, y -0.6475, z 213.531
 32532362 (2001) module 31, x -11.5625, y -0.5925, z 188.531
 30434968 (1841) module 29, x -10.765, y -0.5375, z 163.531
 28337319 (1694) module 27, x -9.9675, y -0.455, z 138.531
 26239926 (1533) module 25, x -9.1425, y   -0.4, z 113.531
 24142533 (1377) module 23, x -8.3175, y -0.345, z 88.531
 22045140 (1230) module 21, x -7.4925, y  -0.29, z 63.531
 19947746 (1089) module 19, x -6.70417, y -0.225833, z 38.531
 17850353 (960) module 17, x -5.8975, y -0.1525, z 13.531

Track #6, length 14
 54421617 (3510) module 51, x -29.055, y 26.9075, z 751.531
 52316813 (3394) module 49, x -27.3775, y 25.3675, z 706.531
 50212009 (3269) module 47, x -25.7275, y 23.8275, z 661.531
 48106949 (3138) module 45, x -24.05, y 22.2875, z 616.531
 45694994 (3006) module 43, x -19.6225, y 18.1625, z 496.921
 43614542 (2852) module 41, x -16.0475, y 14.8625, z 401.411
 41530750 (2699) module 39, x -13.1875, y 12.2225, z 324.463
 39444389 (2543) module 37, x -10.8775, y 10.0775, z 262.469
 37351604 (2372) module 35, x -9.9425, y  9.225, z 237.469
 35258564 (2188) module 33, x  -8.98, y 8.3725, z 212.469
 33165524 (2024) module 31, x -8.0725, y 7.4925, z 187.469
 31072740 (1866) module 29, x -7.1375, y 6.6125, z 162.469
 28979956 (1719) module 27, x -6.2025, y 5.7325, z 137.469
 26215420 (1563) module 25, x -5.2925, y 4.9075, z 113.531

Track #7, length 10
 54040842 (3511) module 51, x -28.89, y 18.6025, z 750.469
 51949074 (3393) module 49, x -27.7625, y 18.135, z 705.469
 49857053 (3268) module 47, x -26.6625, y  17.53, z 660.469
 47764777 (3135) module 45, x -25.59, y 16.8975, z 615.469
 45681481 (2997) module 43, x -22.5375, y 15.1375, z 496.921
 43597159 (2837) module 41, x -19.7875, y 13.4875, z 401.411
 41511039 (2682) module 39, x -17.4225, y 12.1675, z 324.463
 39423124 (2518) module 37, x -15.4425, y 11.0125, z 262.469
 37329820 (2345) module 35, x -14.59, y 10.5725, z 237.469
 35236517 (2160) module 33, x -13.7925, y 10.0775, z 212.469

Track #8, length 14
 53840973 (3512) module 51, x -28.8875, y -16.4425, z 750.469
 51748202 (3395) module 49, x -27.2558, y -15.4708, z 705.469
