Track #0, length 14
 53752615 (2013) module 51, x -30.95, y -35.5275, z 750.469
 51665482 (1920) module 49, x -29.0525, y -33.3825, z 705.469
 49578348 (1830) module 47, x -27.1825, y -31.2375, z 660.469
 47491214 (1741) module 45, x -25.3125, y -29.065, z 615.469
 45420265 (1659) module 43, x -20.3075, y -23.3725, z 496.921
 43102259 (1574) module 41, x -16.3475, y -18.7975, z 402.473
 40988014 (1506) module 39, x -13.1025, y -15.1125, z 325.525
 38877086 (1438) module 37, x -10.4625, y -12.1425, z 263.531
 36774321 (1362) module 35, x -9.4175, y -10.9325, z 238.531
 34671556 (1284) module 33, x -8.3725, y -9.7225, z 213.531
 32569303 (1219) module 31, x -7.3275, y -8.5125, z 188.531
 30466538 (1156) module 29, x -6.2825, y -7.3025, z 163.531
 28363517 (1097) module 27, x  -5.21, y -6.0375, z 138.531
 27981818 (1034) module 26, x  -4.66, y -5.4025, z 125.469

Track #1, length 12
 54067534 (2014) module 51, x -23.0875, y 14.8625, z 750.469
 51976542 (1921) module 49, x -21.74, y 13.9825, z 705.469
 49885806 (1831) module 47, x -20.3925, y 13.1025, z 660.469
 47794814 (1743) module 45, x -19.0725, y 12.2225, z 615.469
 45714087 (1661) module 43, x -15.525, y 9.9675, z 496.921
 43630281 (1577) module 41, x -12.6925, y 8.0975, z 401.411
 41543907 (1510) module 39, x -10.3825, y   6.64, z 324.463
 39454969 (1440) module 37, x -8.5125, y 5.4575, z 262.469
 36700622 (1364) module 35, x -7.8225, y 5.0175, z 238.531
 34605788 (1285) module 33, x -7.0525, y 4.5225, z 213.531
 32510953 (1220) module 31, x -6.3375, y 4.0275, z 188.531
 30415863 (1157) module 29, x -5.5675, y 3.5875, z 163.531

Track #2, length 10
 53849285 (2015) module 51, x -22.2875, y -14.6825, z 750.469
 51756510 (1922) module 49, x -20.885, y -13.7475, z 705.469
 49663480 (1832) module 47, x -19.4825, y -12.8675, z 660.469
 47264787 (1744) module 45, x -18.1075, y -11.9775, z 616.531
 45156694 (1662) module 43, x -14.4225, y -9.6125, z 497.982
 43051148 (1579) module 41, x -11.4525, y -7.715, z 402.473
 40947126 (1512) module 39, x -9.115, y -6.2025, z 325.525
 38844120 (1444) module 37, x -7.2725, y -4.9375, z 263.531
 36744678 (1368) module 35, x -6.5025, y -4.4425, z 238.531
 34645235 (1289) module 33, x -5.7875, y -3.9475, z 213.531

Track #3, length 11
 54073774 (2016) module 51, x -21.7675, y 9.5825, z 750.469
 51982776 (1923) module 49, x -20.4475, y 9.0325, z 705.469
 49891522 (1833) module 47, x -19.155, y 8.4825, z 660.469
 47800524 (1745) module 45, x -17.835, y 7.9325, z 615.469
 45719783 (1663) module 43, x -14.3425, y 6.4475, z 496.921
 43635964 (1578) module 41, x -11.4825, y 5.2925, z 401.411
 40898228 (1511) module 39, x -9.2525, y 4.3025, z 325.525
 38804694 (1443) module 37, x -7.3825, y  3.505, z 263.531
 36709348 (1367) module 35, x -6.6125, y 3.1475, z 238.531
 34613745 (1288) module 33, x -5.8975, y 2.8175, z 213.531
 32518143 (1223) module 31, x -5.1275, y 2.4875, z 188.531

Track #4, length 11
 53839853 (2017) module 51, x -20.0875, y -16.7175, z 750.469
 51476740 (1924) module 49, x -18.9325, y  -15.8, z 706.531
 49375257 (1834) module 47, x -17.7775, y -14.8375, z 661.531
 47273774 (1746) module 45, x -16.595, y -13.9025, z 616.531
 45164902 (1664) module 43, x -13.5425, y  -11.4, z 497.982
 43058323 (1580) module 41, x -11.0675, y -9.365, z 402.473
 40954039 (1514) module 39, x  -9.06, y -7.6875, z 325.525
 38850773 (1442) module 37, x -7.4375, y -6.3675, z 263.531
 36751073 (1366) module 35, x -6.7775, y -5.8175, z 238.531
 34651372 (1287) module 33, x -6.145, y -5.2675, z 213.531
 32551672 (1222) module 31, x -5.5125, y -4.745, z 188.531

Track #5, length 12
 54379454 (2018) module 51, x -19.8425, y 22.645, z 751.531
 52276950 (1925) module 49, x -18.6875, y 21.3525, z 706.531
 50174445 (1835) module 47, x -17.56, y 20.0875, z 661.531
 47806983 (1747) module 45, x -16.405, y 18.7675, z 615.469
 45723717 (1665) module 43, x -13.4625, y 15.3575, z 496.921
 43637880 (1581) module 41, x -11.0425, y 12.5525, z 401.411
 41549729 (1513) module 39, x  -9.09, y 10.2975, z 324.463
 39459522 (1441) module 37, x -7.5225, y 8.4825, z 262.469
 37365455 (1365) module 35, x -6.8625, y 7.7675, z 237.469
 35271133 (1286) module 33, x  -6.23, y 6.9975, z 212.469
 33177066 (1221) module 31, x -5.5975, y  6.255, z 187.469
 31083000 (1158) module 29, x -4.9375, y 5.5125, z 162.469

Track #6, length 10
 53558297 (2019) module 51, x -17.7775, y -12.445, z 751.531
 51457323 (1926) module 49, x -16.7875, y -11.5925, z 706.531
 49356350 (1836) module 47, x -15.7425, y -10.7675, z 661.531
 47255120 (1748) module 45, x -14.725, y -9.915, z 616.531
 45149056 (1666) module 43, x -12.085, y -7.8525, z 497.982
 43044265 (1582) module 41, x -9.8575, y -6.2025, z 402.473
 40941003 (1515) module 39, x -7.9875, y -4.8825, z 325.525
 38839015 (1445) module 37, x  -6.42, y -3.8375, z 263.531
 36740083 (1369) module 35, x -5.7875, y -3.4525, z 238.531
 34641150 (1290) module 33, x -5.1825, y -3.0675, z 213.531

Track #7, length 8
 54099122 (2020) module 51, x -16.3225, y 9.3625, z 750.469
 52006589 (1927) module 49, x -15.3325, y 8.7575, z 705.469
 49914055 (1837) module 47, x -14.3425, y 8.2075, z 660.469
 47821522 (1749) module 45, x -13.3525, y 7.6025, z 615.469
 45736685 (1667) module 43, x -10.7125, y   6.09, z 496.921
 42992576 (1583) module 41, x -8.5925, y   4.88, z 402.473
 40900063 (1517) module 39, x -6.8875, y 3.9175, z 325.525
 38806776 (1446) module 37, x -5.5125, y 3.0925, z 263.531

Track #8, length 10
 54107669 (2021) module 51, x -14.425, y 17.9975, z 750.469
 52014633 (1928) module 49, x -13.5725, y 16.8975, z 705.469
 49921340 (1838) module 47, x -12.7475, y 15.8525, z 660.469
 47828303 (1750) module 45, x -11.8675, y  14.78, z 615.469
 45741699 (1668) module 43, x -9.6125, y 11.9475, z 496.921
 43652268 (1585) module 41, x -7.825, y 9.6925, z 401.411
 41562061 (1519) module 39, x -6.3675, y 7.8775, z 324.463
