Track #0, length 8
 53551602 (4431) module 51, x -5.815, y -10.9325, z 751.531
 51451640 (4230) module 49, x -5.5125, y -10.355, z 706.531
 49351934 (4034) module 47, x -5.1825, y -9.7775, z 661.531
 48955310 (3866) module 46, x -5.0725, y -9.5825, z 648.469
 46856888 (3684) module 44, x -4.7975, y -9.0325, z 603.469
 44755924 (3512) module 42, x -3.9725, y -7.4925, z 484.921
 42655723 (3352) module 40, x -3.3125, y -6.2275, z 389.411
 40556029 (3190) module 38, x -2.7625, y -5.2375, z 312.463

Track #1, length 12
 54460383 (4351) module 51, x -37.3325, y 20.8575, z 751.531
 52352247 (4148) module 49, x -34.9675, y 19.5375, z 706.531
 49829650 (3951) module 47, x -32.5475, y 18.1625, z 660.469
 47743786 (3762) module 45, x -30.1275, y 16.8425, z 615.469
 45675881 (3593) module 43, x -23.8575, y 13.3775, z 496.921
 43601820 (3432) module 41, x -18.7975, y 10.5725, z 401.411
 41523654 (3280) module 39, x -14.7275, y 8.2625, z 324.463
 39441639 (3129) module 37, x -11.4825, y 6.4475, z 262.469
 37350644 (2975) module 35, x -10.1625, y  5.705, z 237.469
 34603450 (2807) module 33, x -8.895, y 5.0175, z 213.531
 32509906 (2633) module 31, x -7.575, y 4.2475, z 188.531
 30416106 (2459) module 29, x -6.255, y 3.5325, z 163.531

Track #2, length 9
 53924359 (4352) module 51, x -32.71, y 1.5975, z 750.469
 51826989 (4150) module 49, x -30.6475, y   1.57, z 705.469
 49729874 (3955) module 47, x -28.6125, y 1.5425, z 660.469
 47632246 (3766) module 45, x -26.6325, y 1.4325, z 615.469
 45534164 (3595) module 43, x -21.4625, y 1.2125, z 496.921
 43010848 (3434) module 41, x -17.3925, y 0.9475, z 402.473
 40914780 (3282) module 39, x -14.065, y 0.7275, z 325.525
 38818445 (3131) module 37, x -11.3975, y 0.5625, z 263.531
 36721568 (2971) module 35, x -10.3525, y 0.5075, z 238.531

Track #3, length 9
 53924633 (4353) module 51, x -31.7475, y 1.6525, z 750.469
 51827259 (4151) module 49, x -29.8775, y 1.5975, z 705.469
 49729629 (3956) module 47, x -28.0075, y 1.4875, z 660.469
 47631999 (3768) module 45, x -26.1375, y 1.3775, z 615.469
 45533913 (3596) module 43, x -21.1875, y 1.1575, z 496.921
 43010850 (3435) module 41, x -17.2825, y   0.92, z 402.473
 40914780 (3282) module 39, x -14.065, y 0.7275, z 325.525
 38818445 (3131) module 37, x -11.3975, y 0.5625, z 263.531
 36721568 (2971) module 35, x -10.3525, y 0.5075, z 238.531

Track #4, length 13
 53883418 (4354) module 51, x -31.6925, y -7.2025, z 750.469
 51788092 (4152) module 49, x -29.8225, y -6.8175, z 705.469
 49693022 (3957) module 47, x -27.9525, y -6.3775, z 660.469
 47597952 (3769) module 45, x -26.0825, y -5.9375, z 615.469
 45506267 (3597) module 43, x -21.0775, y -4.7825, z 496.921
 43033381 (3437) module 41, x -17.1175, y -3.8925, z 402.473
 40932703 (3283) module 39, x  -13.9, y -3.1225, z 325.525
 38832783 (3132) module 37, x -11.2875, y -2.545, z 263.531
 36734626 (2972) module 35, x -10.2425, y -2.2975, z 238.531
 34636469 (2804) module 33, x -9.1975, y -2.0775, z 213.531
 32538056 (2628) module 31, x -8.1525, y  -1.83, z 188.531
 30439899 (2450) module 29, x -7.1075, y -1.5825, z 163.531
 28341742 (2279) module 27, x -6.0625, y -1.3625, z 138.531

Track #5, length 12
 54028245 (4355) module 51, x -31.6675, y 7.4375, z 750.469
 51940061 (4153) module 49, x -29.7425, y 6.9975, z 705.469
 49851621 (3958) module 47, x -27.8725, y 6.5575, z 660.469
 47763181 (3770) module 45, x -26.0025, y 6.1175, z 615.469
 42996518 (3438) module 41, x -17.0625, y 4.0275, z 402.473
 40903009 (3284) module 39, x -13.8175, y 3.2575, z 325.525
 38808720 (3133) module 37, x -11.2325, y 2.6525, z 263.531
 36712611 (2974) module 35, x -10.1875, y  2.405, z 238.531
 34616758 (2805) module 33, x -9.1425, y 2.1575, z 213.531
 32520649 (2629) module 31, x -8.0975, y 1.9375, z 188.531
 30424796 (2451) module 29, x -7.0525, y 1.6625, z 163.531
 28328687 (2281) module 27, x -6.0075, y 1.4425, z 138.531

Track #6, length 5
 54039017 (4356) module 51, x -29.3575, y   6.31, z 750.469
 51951338 (4154) module 49, x -27.3225, y 6.2825, z 705.469
 49863147 (3959) module 47, x -25.3975, y 6.2275, z 660.469
 47774701 (3771) module 45, x -23.5275, y 6.1175, z 615.469
 45699828 (3600) module 43, x -18.605, y 5.7325, z 496.921

Track #7, length 13
 53900376 (4357) module 51, x -28.2825, y -3.545, z 750.469
 51804279 (4155) module 49, x -26.5775, y -3.3525, z 705.469
 49708181 (3960) module 47, x -24.9275, y -3.1325, z 660.469
 47612084 (3772) module 45, x -23.2225, y -2.9125, z 615.469
 45123334 (3599) module 43, x -18.8225, y -2.3525, z 497.982
 43023943 (3441) module 41, x -15.2475, y -1.885, z 402.473
 40925307 (3289) module 39, x -12.36, y -1.5275, z 325.525
 38826662 (3138) module 37, x -10.0225, y -1.1975, z 263.531
 36729015 (2982) module 35, x -9.0875, y -1.0875, z 238.531
 34631368 (2813) module 33, x -8.1525, y -0.9775, z 213.531
 32533721 (2638) module 31, x -7.2175, y -0.8675, z 188.531
 30435818 (2458) module 29, x -6.2825, y  -0.73, z 163.531
 28338171 (2288) module 27, x -5.3475, y  -0.62, z 138.531

Track #8, length 10
 53925466 (4358) module 51, x -28.1725, y 1.8175, z 750.469
 51827323 (4156) module 49, x -26.3575, y 1.5975, z 705.469
 49729436 (3961) module 47, x -24.5058, y 1.45083, z 660.469
 47632062 (3773) module 45, x -22.645, y 1.3775, z 615.469
 45107483 (3602) module 43, x -17.6675, y 1.0575, z 497.982
 43011429 (3444) module 41, x -13.5975, y 0.8375, z 402.473
 40915104 (3293) module 39, x -10.3525, y 0.6725, z 325.525
 38818511 (3144) module 37, x -7.7675, y 0.5625, z 263.531
 36721634 (2987) module 35, x -6.7225, y 0.5075, z 238.531
 34624501 (2823) module 33, x -5.6775, y   0.48, z 213.531

Track #9, length 14
 54407791 (4359) module 51, x -26.0575, y  26.99, z 751.531
 52303755 (4157) module 49, x  -24.6, y 25.4775, z 706.531
 50200486 (3962) module 47, x -23.17, y 23.965, z 661.531
 48096450 (3774) module 45, x -21.6575, y 22.4525, z 616.531
 45703693 (3601) module 43, x -17.7525, y  18.41, z 496.921
 43620936 (3443) module 41, x -14.645, y 15.1925, z 401.411
 41535607 (3290) module 39, x -12.1425, y 12.6075, z 324.463
 39447965 (3136) module 37, x -10.1075, y 10.5175, z 262.469
 37354668 (2980) module 35, x -9.2825, y 9.6925, z 237.469
 35260604 (2811) module 33, x -8.485, y 8.8125, z 212.469
 33167307 (2631) module 31, x -7.6875, y 7.9875, z 187.469
 31074010 (2452) module 29, x -6.8625, y 7.1625, z 162.469
 28980713 (2280) module 27, x -6.0375, y   6.31, z 137.469
 26887417 (2109) module 25, x -5.2125, y 5.4575, z 112.469

Track #10, length 10
 53856703 (4360) module 51, x -22.6175, y -13.0875, z 750.469
 51763417 (4158) module 49, x -21.1875, y -12.2625, z 705.469
 49670131 (3963) module 47, x -19.7575, y -11.4375, z 660.469
 47258383 (3775) module 45, x -18.3275, y -10.6025, z 616.531
 45151572 (3605) module 43, x -14.5325, y -8.4025, z 497.982
 43046027 (3448) module 41, x -11.5075, y -6.5875, z 402.473
 40942264 (3297) module 39, x -9.0325, y -5.1575, z 325.525
 38839772 (3147) module 37, x -7.0525, y -4.0025, z 263.531
 36740586 (2989) module 35, x -6.255, y -3.5625, z 238.531
 34641145 (2825) module 33, x -5.4575, y -3.095, z 213.531

Track #11, length 10
 54071535 (4361) module 51, x -22.235, y 6.0075, z 750.469
 51981302 (4159) module 49, x -20.7775, y 5.6225, z 705.469
 49890812 (3964) module 47, x -19.3475, y  5.265, z 660.469
 47186709 (3777) module 45, x -17.97, y 4.9075, z 616.531
 45094234 (3606) module 43, x -14.2025, y 3.9175, z 497.982
 43000977 (3449) module 41, x -11.1775, y 3.0925, z 402.473
 40906941 (3298) module 39, x -8.7575, y 2.4325, z 325.525
 38812128 (3148) module 37, x -6.8325, y   1.91, z 263.531
 36716014 (2994) module 35, x -6.0625, y 1.7175, z 238.531
 34619900 (2828) module 33, x -5.2925, y 1.4975, z 213.531

Track #12, length 10
 53919443 (4362) module 51, x -21.5175, y 0.497498, z 750.469
 51822059 (4162) module 49, x -20.17, y 0.442501, z 705.469
 49304837 (3968) module 47, x -18.85, y 0.3975, z 661.531
 47207710 (3779) module 45, x -17.5025, y 0.3975, z 616.531
 45111135 (3609) module 43, x -13.9275, y 0.2875, z 497.982
 43014548 (3450) module 41, x -11.0125, y 0.1775, z 402.473
 40917694 (3299) module 39, x -8.7025, y 0.1225, z 325.525
 38820576 (3149) module 37, x -6.8325, y 0.0949998, z 263.531
 36723693 (2992) module 35, x -6.1175, y 0.0675001, z 238.531
 34626555 (2826) module 33, x -5.3475, y 0.0675001, z 213.531

Track #13, length 12
 54075128 (4363) module 51, x -21.465, y  5.485, z 750.469
 51983614 (4161) module 49, x -20.255, y 5.1825, z 705.469
 49283841 (3967) module 47, x -19.0975, y   4.88, z 661.531
 47188247 (3778) module 45, x -17.8875, y 4.5775, z 616.531
 45094737 (3604) module 43, x -14.6975, y   3.78, z 497.982
 43000704 (3446) module 41, x -12.1125, y 3.1475, z 402.473
 40906149 (3294) module 39, x -10.05, y 2.5975, z 325.525
 38811076 (3143) module 37, x -8.3725, y 2.1575, z 263.531
 36714704 (2986) module 35, x -7.7125, y 1.9925, z 238.531
 34618332 (2820) module 33, x -7.0525, y 1.8275, z 213.531
 32521960 (2644) module 31, x -6.365, y 1.6625, z 188.531
 30425589 (2465) module 29, x -5.6775, y 1.4975, z 163.531

Track #14, length 13
 53882068 (4364) module 51, x -21.4625, y -7.5325, z 750.469
 51786729 (4160) module 49, x -20.3075, y -7.1475, z 705.469
 49691390 (3965) module 47, x -19.1525, y -6.7625, z 660.469
 47239189 (3776) module 45, x -17.9975, y -6.3675, z 616.531
 45137228 (3603) module 43, x -14.9725, y -5.3225, z 497.982
 43036281 (3445) module 41, x -12.4975, y -4.4975, z 402.473
 40935837 (3292) module 39, x -10.49, y -3.7825, z 325.525
 38836155 (3141) module 37, x -8.8675, y -3.2325, z 263.531
 36737991 (2984) module 35, x -8.2075, y -3.0125, z 238.531
 34639827 (2817) module 33, x -7.5475, y -2.7925, z 213.531
 32541662 (2642) module 31, x -6.915, y -2.5725, z 188.531
 30443242 (2457) module 29, x -6.2825, y -2.325, z 163.531
 28345078 (2283) module 27, x -5.6225, y -2.0775, z 138.531

Track #15, length 5
 53885673 (4365) module 51, x -20.28, y -6.7625, z 750.469
 51790078 (4163) module 49, x -19.1525, y -6.405, z 705.469
 49334803 (3969) module 47, x -18.1075, y -6.0375, z 661.531
 47235879 (3780) module 45, x -17.0075, y -5.6525, z 616.531
 45133917 (3607) module 43, x -14.01, y -4.635, z 497.982

Track #16, length 6
 54380250 (4366) module 51, x -20.035, y 21.1325, z 751.531
 52277234 (4165) module 49, x -18.7425, y 19.8125, z 706.531
 49899532 (3971) module 47, x -17.4225, y 18.4925, z 660.469
 47808549 (3782) module 45, x -16.1025, y 17.1175, z 615.469
 45727333 (3612) module 43, x -12.6925, y  13.57, z 496.921
 43643034 (3452) module 41, x -9.92875, y 10.6688, z 401.411

Track #17, length 9
 53924337 (4367) module 51, x -19.8675, y 1.5425, z 750.469
 51396874 (4166) module 49, x -18.6025, y   1.47, z 706.531
 49300257 (3972) module 47, x -17.3375, y 1.3875, z 661.531
 47203640 (3783) module 45, x -16.0725, y 1.2775, z 616.531
 45107828 (3611) module 43, x -12.745, y 1.0025, z 497.982
 43011749 (3451) module 41, x -10.0775, y 0.7825, z 402.473
 40915405 (3302) module 39, x -7.8775, y 0.6175, z 325.525
 38818796 (3154) module 37, x -6.1725, y 0.5075, z 263.531
 36721913 (2996) module 35, x -5.4575, y 0.4525, z 238.531

Track #18, length 13
 53889521 (4368) module 51, x -19.8675, y -5.9375, z 750.469
 51429893 (4164) module 49, x -18.8775, y -5.5975, z 706.531
 49331224 (3970) module 47, x -17.8325, y -5.2675, z 661.531
 47232299 (3781) module 45, x -16.76, y -4.8825, z 616.531
 45130590 (3608) module 43, x -13.9825, y -3.8925, z 497.982
 43029895 (3447) module 41, x -11.7275, y -3.1225, z 402.473
 40929960 (3295) module 39, x -9.9125, y -2.5175, z 325.525
 38830787 (3142) module 37, x -8.4275, y -2.0775, z 263.531
 36732879 (2985) module 35, x -7.7675, y -1.9125, z 238.531
 34634970 (2819) module 33, x -7.1625, y -1.7475, z 213.531
 32537061 (2643) module 31, x  -6.53, y -1.5825, z 188.531
 30439153 (2463) module 29, x -5.8975, y -1.4175, z 163.531
 28340988 (2289) module 27, x -5.2925, y -1.225, z 138.531

Track #19, length 6
 54379492 (4369) module 51, x -19.8425, y 20.5825, z 751.531
 52276219 (4167) module 49, x -18.55, y  19.29, z 706.531
 49900565 (3973) module 47, x -17.2025, y 17.9975, z 660.469
 47809324 (3784) module 45, x -15.9375, y 16.705, z 615.469
 45727849 (3613) module 43, x -12.555, y  13.35, z 496.921
 43643034 (3452) module 41, x -9.92875, y 10.6688, z 401.411

Track #20, length 9
 53555717 (4370) module 51, x -18.8775, y -11.8675, z 751.531
 51455515 (4168) module 49, x -17.6675, y -11.2075, z 706.531
 49355313 (3974) module 47, x -16.4575, y -10.5475, z 661.531
 47255111 (3785) module 45, x -15.2475, y -9.8875, z 616.531
 45150593 (3615) module 43, x -12.0575, y -8.1825, z 497.982
 43046320 (3456) module 41, x -9.4725, y -6.6425, z 402.473
 40942549 (3305) module 39, x -7.4375, y -5.2125, z 325.525
 38840051 (3158) module 37, x -5.7875, y -4.0575, z 263.531
 36740607 (3003) module 35, x -5.1275, y  -3.59, z 238.531

Track #21, length 10
 53613332 (4371) module 51, x -18.0525, y -24.3525, z 751.531
 51509289 (4169) module 49, x -16.8975, y -22.785, z 706.531
 49404990 (3975) module 47, x -15.7425, y -21.2175, z 661.531
 47300690 (3788) module 45, x -14.615, y -19.6775, z 616.531
 45184393 (3617) module 43, x -11.6175, y -15.58, z 497.982
 43072182 (3461) module 41, x -9.1425, y -12.3075, z 402.473
 40962777 (3307) module 39, x -7.2175, y -9.6675, z 325.525
 38856182 (3161) module 37, x -5.6225, y -7.5225, z 263.531
 36370411 (2849) module 34, x -4.6325, y -6.2275, z 225.469
 34270203 (2668) module 32, x -3.9725, y -5.3475, z 200.469

Track #22, length 15
 54369054 (4372) module 51, x -17.67, y 31.4725, z 751.531
 52267581 (4170) module 49, x -16.7075, y 29.7675, z 706.531
 50165852 (3976) module 47, x -15.7175, y 28.0625, z 661.531
 48064123 (3787) module 45, x -14.7275, y  26.33, z 616.531
 45954767 (3614) module 43, x -12.0875, y 21.7375, z 497.982
 43643156 (3453) module 41, x -9.8875, y 18.0525, z 401.411
 41553482 (3300) module 39, x -8.1825, y 15.0825, z 324.463
 39462774 (3150) module 37, x -6.8075, y 12.6625, z 262.469
 37368199 (2988) module 35, x -6.2575, y   11.7, z 237.469
 35273625 (2821) module 33, x -5.7075, y 10.7375, z 212.469
 33179051 (2646) module 31, x -5.1575, y 9.7475, z 187.469
 31084477 (2466) module 29, x -4.6075, y 8.7575, z 162.469
 28989647 (2291) module 27, x -4.1125, y 7.7675, z 137.469
 26895073 (2114) module 25, x -3.5625, y 6.7775, z 112.469
 24800500 (1947) module 23, x -3.0125, y 5.7325, z 87.469

Track #23, length 11
 53526559 (4373) module 51, x -17.4475, y -5.4875, z 751.531
 51428145 (4172) module 49, x -16.4575, y -5.2125, z 706.531
 49329475 (3978) module 47, x -15.4675, y -4.8825, z 661.531
 47230804 (3789) module 45, x -14.505, y  -4.58, z 616.531
 45130115 (3616) module 43, x -11.9475, y -3.7825, z 497.982
 43029673 (3454) module 41, x -9.8575, y -3.095, z 402.473
 40930248 (3301) module 39, x -8.1525, y -2.5725, z 325.525
 38831072 (3151) module 37, x -6.805, y -2.1325, z 263.531
 36733162 (2990) module 35, x -6.255, y -1.9675, z 238.531
 34635252 (2822) module 33, x -5.705, y -1.8025, z 213.531
 32537342 (2647) module 31, x -5.155, y -1.6375, z 188.531

Track #24, length 9
