Track #0, length 12
 54434008 (3827) module 51, x -31.6675, y 21.2425, z 751.531
 52327408 (3671) module 49, x -29.6325, y 19.9225, z 706.531
 49852940 (3521) module 47, x -27.5425, y 18.4925, z 660.469
 47765284 (3378) module 45, x -25.5075, y 17.145, z 615.469
 45692261 (3244) module 43, x -20.2092, y 13.5608, z 496.921
 43615130 (3100) module 41, x -15.91, y 10.6825, z 401.411
 41534148 (2946) module 39, x -12.4725, y 8.3725, z 324.463
 39450086 (2789) module 37, x -9.6675, y 6.5025, z 262.469
 37357556 (2628) module 35, x -8.5675, y 5.7325, z 237.469
 34603476 (2465) module 33, x -7.4925, y 5.0175, z 213.531
 32509672 (2296) module 31, x -6.3485, y 4.2695, z 188.531
 30416125 (2139) module 29, x -5.2375, y 3.5325, z 163.531

Track #1, length 11
 53806163 (3831) module 51, x -28.5575, y -23.9225, z 750.469
 51716212 (3674) module 49, x -26.7425, y -22.3825, z 705.469
 49626261 (3522) module 47, x  -24.9, y -20.8425, z 660.469
 47536311 (3379) module 45, x -23.0575, y -19.3025, z 615.469
 45183247 (3246) module 43, x  -18.3, y -15.3325, z 497.982
 43071062 (3101) module 41, x -14.4225, y -12.0875, z 402.473
 40961934 (2950) module 39, x -11.3425, y -9.5025, z 325.525
 38855356 (2795) module 37, x -8.8125, y -7.3575, z 263.531
 36754382 (2633) module 35, x -7.795, y -6.5325, z 238.531
 34653153 (2472) module 33, x -6.7775, y -5.6525, z 213.531
 32552179 (2304) module 31, x  -5.76, y -4.8275, z 188.531

Track #2, length 12
 53815921 (3832) module 51, x -26.9075, y -21.8325, z 750.469
 51724943 (3676) module 49, x -25.2575, y -20.485, z 705.469
 49634221 (3525) module 47, x -23.6075, y -19.1375, z 660.469
 47543242 (3381) module 45, x -21.985, y -17.8175, z 615.469
 45178650 (3248) module 43, x -17.7225, y -14.37, z 497.982
 43068249 (3102) module 41, x -14.2575, y -11.51, z 402.473
 40960653 (2948) module 39, x -11.3975, y -9.2275, z 325.525
 38855350 (2791) module 37, x -9.1425, y -7.3575, z 263.531
 36754631 (2629) module 35, x -8.2075, y -6.615, z 238.531
 34654168 (2466) module 33, x -7.2725, y -5.8725, z 213.531
 32553449 (2297) module 31, x -6.3375, y -5.1025, z 188.531
 30452730 (2136) module 29, x -5.4025, y  -4.36, z 163.531

Track #3, length 11
 54051347 (3833) module 51, x -26.6625, y 18.1075, z 750.469
 51961639 (3677) module 49, x -25.04, y 17.0075, z 705.469
 49872187 (3526) module 47, x -23.4175, y  15.88, z 660.469
 47782224 (3382) module 45, x -21.7675, y 14.7525, z 615.469
 45705093 (3249) module 43, x -17.4775, y 11.8375, z 496.921
 43624112 (3104) module 41, x -14.0125, y 9.4725, z 401.411
 41539794 (2951) module 39, x -11.235, y 7.6025, z 324.463
 39452910 (2793) module 37, x  -8.98, y 6.0625, z 262.469
 37359865 (2631) module 35, x -8.0725, y 5.4575, z 237.469
 34604249 (2468) module 33, x  -7.19, y 4.8525, z 213.531
 32509672 (2296) module 31, x -6.3485, y 4.2695, z 188.531

Track #4, length 12
 54052867 (3834) module 51, x -26.3325, y 18.9875, z 750.469
 51963160 (3678) module 49, x -24.7375, y 17.805, z 705.469
 49872942 (3527) module 47, x -23.17, y 16.6225, z 660.469
 47783235 (3383) module 45, x -21.52, y 15.4675, z 615.469
 45706107 (3250) module 43, x -17.2575, y 12.3875, z 496.921
 43624873 (3105) module 41, x -13.8475, y 9.8575, z 401.411
 41540557 (2952) module 39, x -11.0975, y   7.85, z 324.463
