Track #0, length 5
 54428744 (2305) module 51, x -30.6042, y 29.1258, z 751.531
 52318566 (2222) module 49, x -27.7625, y 27.5125, z 706.531
 50208646 (2146) module 47, x -25.0125, y 25.7525, z 661.531
 48099495 (2069) module 45, x -22.3175, y  23.91, z 616.531
 43644486 (1928) module 41, x -9.6125, y 15.3025, z 401.411

Track #1, length 15
 53884985 (2306) module 51, x -29.9875, y -6.845, z 750.469
 51789911 (2219) module 49, x -28.3375, y -6.4325, z 705.469
 49694837 (2143) module 47, x -26.6875, y -5.9925, z 660.469
 47599508 (2066) module 45, x -24.9825, y -5.6075, z 615.469
 45507556 (1992) module 43, x -20.5825, y  -4.48, z 496.921
 43032102 (1916) module 41, x -17.0625, y -3.645, z 402.473
 40931930 (1838) module 39, x -14.2025, y -2.9575, z 325.525
 38832516 (1754) module 37, x -11.865, y -2.4625, z 263.531
 36734358 (1669) module 35, x -10.9025, y -2.2425, z 238.531
 34636199 (1576) module 33, x -9.9675, y -2.0225, z 213.531
 32538040 (1481) module 31, x -9.0325, y -1.8025, z 188.531
 30439881 (1391) module 29, x -8.0975, y -1.5825, z 163.531
 28341723 (1325) module 27, x -7.1075, y -1.3625, z 138.531
 26243564 (1262) module 25, x -6.1725, y  -1.17, z 113.531
 24145662 (1197) module 23, x -5.1825, y -0.9775, z 88.531

Track #2, length 18
 54038959 (2307) module 51, x -29.33, y 9.5275, z 750.469
 51948727 (2221) module 49, x -27.8725, y 9.0875, z 705.469
 49858239 (2144) module 47, x -26.4425, y   8.62, z 660.469
 47768008 (2067) module 45, x -24.9575, y 8.1525, z 615.469
 45688029 (1991) module 43, x -21.1625, y   6.97, z 496.921
 43604975 (1915) module 41, x -18.11, y 6.0075, z 401.411
 41519357 (1836) module 39, x -15.6625, y 5.2375, z 324.463
 38799715 (1750) module 37, x -13.7075, y 4.5775, z 263.531
 36703602 (1664) module 35, x -12.8825, y 4.3575, z 238.531
 34607744 (1568) module 33, x -12.085, y 4.0825, z 213.531
 32511887 (1476) module 31, x -11.2875, y 3.8075, z 188.531
 30415773 (1384) module 29, x -10.49, y 3.5875, z 163.531
 28319916 (1320) module 27, x -9.6925, y 3.3125, z 138.531
 26224058 (1257) module 25, x -8.895, y 3.0375, z 113.531
 24128201 (1193) module 23, x -8.0975, y 2.7625, z 88.531
 22032087 (1116) module 21, x   -7.3, y  2.515, z 63.531
 19936230 (1041) module 19, x -6.5025, y   2.24, z 38.531
 17840372 (958) module 17, x -5.705, y 1.9925, z 13.531

Track #3, length 12
 54041302 (2308) module 51, x -28.8625, y 7.3825, z 750.469
 51952607 (2223) module 49, x -27.0475, y 6.8875, z 705.469
 49863911 (2145) module 47, x -25.2325, y 6.4475, z 660.469
 47775216 (2068) module 45, x -23.4175, y 5.9525, z 615.469
 45090313 (1993) module 43, x -18.6575, y 4.7425, z 497.982
 42997839 (1919) module 41, x -14.8075, y  3.725, z 402.473
 40904584 (1841) module 39, x -11.6725, y 2.9275, z 325.525
 38810549 (1758) module 37, x -9.1975, y 2.2675, z 263.531
 36714695 (1675) module 35, x  -8.18, y 1.9925, z 238.531
 34618586 (1583) module 33, x -7.1625, y 1.7725, z 213.531
 32522732 (1492) module 31, x -6.1725, y 1.4975, z 188.531
 30426623 (1402) module 29, x -5.1275, y 1.2775, z 163.531

Track #4, length 8
 53847120 (2309) module 51, x -28.7225, y -15.095, z 750.469
 51751775 (2220) module 49, x -27.8975, y -14.71, z 705.469
 49656174 (2142) module 47, x -27.0725, y -14.4075, z 660.469
 47560572 (2065) module 45, x -26.3025, y -14.0775, z 615.469
 45467809 (1987) module 43, x -24.2675, y -13.1425, z 496.921
 43374269 (1911) module 41, x  -22.7, y -12.3725, z 401.411
